question,QID,answer,answer_OID
"In how many provinces is the Dominican Republic divided?",NEWEST_e74d_0001,31,NEWEST_OPT_9468_000A
"#10 on the list of highest-grossing films is this Disney animated feature film, which came out in 1937 and earned $1,746,100,000.",NEWEST_777f_0002,"Snow White and the Seven Dwarfs",NEWEST_OPT_f6ed_000D
"# 9 on the list of highest-grossing films is this 1975 film that earned $1,945,100,000 and scared the pants off most of the audience. In fact, people swimming in the ocean dropped that year.",NEWEST_97b7_0003,Jaws,NEWEST_OPT_f05e_000C
"#8 on the list of highest-grossing films is a 1965 film about the Russian Revolution in 1917-1918 and grossed $1,988,600,000.",NEWEST_5f05_0004,"Doctor Zhivago",NEWEST_OPT_b795_000C
"#7 on the list of highest-grossing films was this 1956 religious film starring Charlton Heston. It grossed $2,098,600,000.",NEWEST_4a9e_0005,"The Ten Commandments",NEWEST_OPT_5ef3_000B
"#6 on the list of highest-grossing films is a 1982 sci-fi movie by Steven Spielberg, which grossed $2,216,800,000.",NEWEST_4b9a_0006,"E.T. the Extra-Terrestrial",NEWEST_OPT_6e22_000A
"#5 on the list of highest-grossing films is a musical which takes place in Austria. It was made in 1965 and grossed $2,269,800,000. Sing the scales for me on a hill top.",NEWEST_5d60_0007,"The Sound of Music",NEWEST_OPT_c5b7_000C
"#4 on the list of highest-grossing films is based on a real event. It was made in 1997 and grossed $2,413,800,000. It will leave your heart sinking in the end but Im sure it will go on.",NEWEST_8e3d_0008,Titanic,NEWEST_OPT_05af_000C
"#3 on the list of highest-grossing films is this 1977 sci-fi movie thats had so many sequels and prequels, Ive lost count. It grossed $2,710,800,000.",NEWEST_b916_0009,"Star Wars",NEWEST_OPT_f018_000B
"#2 on the list of highest-grossing films is the only one from the 21st century. It features weird colorful figures. It grossed $2,782,300,000.",NEWEST_cd29_0010,Avatar,NEWEST_OPT_2326_000B
"#1 on the list of highest-grossing films is about the American South. It grossed $3,301,400,000.",NEWEST_7544_0011,"Gone With the Wind",NEWEST_OPT_86b6_000B
"This 1973 horror film was the second of many devilish movies.",NEWEST_e612_0012,"The Exorcist",NEWEST_OPT_5d61_000B
"What movie title was translated in Mexico as title Grow, Run and Stumble?",NEWEST_29e0_0013,Juno,NEWEST_OPT_a437_000B
"In Spain this movie title was translated as Pigs And Diamonds.",NEWEST_5f40_0014,Snatch,NEWEST_OPT_5f43_000B
"To the Devil with the Devil is the Mexican title of this movie.",NEWEST_acde_0015,Bedazzled,NEWEST_OPT_cb0d_000D
"What movie title was translated in Mexico as Dumb But Not That Dumb?",NEWEST_a039_0016,"Billy Madison",NEWEST_OPT_c0b5_000B
"What movie title was translated in Italy as Four Bastards for a Room in Hell?",NEWEST_4b13_0017,Shark!,NEWEST_OPT_d643_000D
"No Rules in Love is the Italian title of this movie.",NEWEST_82ec_0018,Leatherheads,NEWEST_OPT_8741_000D
"The Secret Is In the Sauce is the French title of this movie.",NEWEST_8f15_0019,"Fried Green Tomatoes",NEWEST_OPT_b1f1_000B
"The Teeth From the Sea is the French title of this movie.",NEWEST_31e8_0020,Jaws,NEWEST_OPT_2ca4_000A
"This war movie is titled Voyage to the End of Hell in France.",NEWEST_6942_0021,"The Deer Hunter",NEWEST_OPT_ecc5_000B
"What movie was titled Sexy Dance in France?",NEWEST_a314_0022,"Step Up",NEWEST_OPT_c4a3_000B
"A Supertough Kangaroo is the Spanish title of this movie.",NEWEST_f831_0023,"The Pacifier",NEWEST_OPT_2845_000C
"Breaking the Ice is the Spanish title of this movie.",NEWEST_2bbf_0024,"Happy Feet",NEWEST_OPT_2e6c_000B
"Airport Attack is the Portuguese title of this movie.",NEWEST_5d0b_0025,"Die Hard 2",NEWEST_OPT_96a5_000D
