OID,QID,text
HOBBIES_OPT_4199_000A,HOBBIES_856d_0001,"Hot Dog with Chili and Coleslaw"
HOBBIES_OPT_ca16_000B,HOBBIES_856d_0001,"Lamb Shish - Kabob"
HOBBIES_OPT_f468_000C,HOBBIES_856d_0001,"Hamburger with Lettuce, Tomato and Onion"
HOBBIES_OPT_ce59_000D,HOBBIES_856d_0001,"Tuna Melt on Rye with Lettuce and Dill Chips"
HOBBIES_OPT_9cd9_000A,HOBBIES_cf87_0002,"Cream of wheat , donut and coffee"
HOBBIES_OPT_a103_000B,HOBBIES_cf87_0002,"Hash browns, omelet, and coffee"
HOBBIES_OPT_5868_000C,HOBBIES_cf87_0002,"Buckwheat pancakes, danish, and coffee"
HOBBIES_OPT_9dd2_000D,HOBBIES_cf87_0002,"Shredded wheat, donut and coffee"
HOBBIES_OPT_be6a_000A,HOBBIES_5f52_0003,False
HOBBIES_OPT_9130_000B,HOBBIES_5f52_0003,True
HOBBIES_OPT_7fe2_000A,HOBBIES_8794_0004,"Two hamburgers with onions, cover in ketchup"
HOBBIES_OPT_6a0a_000B,HOBBIES_8794_0004,"Two orders of beef liver and onions with ketchup"
HOBBIES_OPT_4d2a_000C,HOBBIES_8794_0004,"Salisbury steak with American sauce."
HOBBIES_OPT_63d2_000D,HOBBIES_8794_0004,"Double cheeseburger, no onions, special sauce"
HOBBIES_OPT_fe8c_000A,HOBBIES_04d9_0005,"French toast and apple juice"
HOBBIES_OPT_0f19_000B,HOBBIES_04d9_0005,"Link sausage,  toast and juice"
HOBBIES_OPT_263e_000C,HOBBIES_04d9_0005,"Buttered toast with jam and orange juice"
HOBBIES_OPT_ae45_000D,HOBBIES_04d9_0005,"Short stack of pancakes and instant coffee"
HOBBIES_OPT_3f29_000A,HOBBIES_2f02_0006,"Fried chicken basket"
HOBBIES_OPT_8dd8_000B,HOBBIES_2f02_0006,"Chili dog, all the way"
HOBBIES_OPT_6b6f_000C,HOBBIES_2f02_0006,"A slice of key lime pie"
HOBBIES_OPT_567c_000D,HOBBIES_2f02_0006,"Cola with chocolate syrup"
HOBBIES_OPT_164f_000A,HOBBIES_3f52_0007,"Burn the British"
HOBBIES_OPT_64d5_000B,HOBBIES_3f52_0007,"Gravel train"
HOBBIES_OPT_5ad6_000C,HOBBIES_3f52_0007,"Customer will take a chance"
HOBBIES_OPT_8aa5_000D,HOBBIES_3f52_0007,Pittsburgh
HOBBIES_OPT_c6da_000A,HOBBIES_90fc_0008,"Patty melt, no onions"
HOBBIES_OPT_b905_000B,HOBBIES_90fc_0008,"Ham on rye with soup"
HOBBIES_OPT_923d_000C,HOBBIES_90fc_0008,"T - Bone steak with onions"
HOBBIES_OPT_4252_000D,HOBBIES_90fc_0008,"Liver and onions"
HOBBIES_OPT_f0ed_000A,HOBBIES_9cf2_0009,"Tomato only"
HOBBIES_OPT_144f_000B,HOBBIES_9cf2_0009,"Like the sign says..."
HOBBIES_OPT_0bf3_000C,HOBBIES_9cf2_0009,"No parsley"
HOBBIES_OPT_e7cc_000D,HOBBIES_9cf2_0009,"Hold the lettuce"
HOBBIES_OPT_8b72_000A,HOBBIES_b817_0010,"Bratwurst, no bun, mashed potatoes, cherry coke with Ice."
HOBBIES_OPT_d75d_000B,HOBBIES_b817_0010,"Bacon wrapped steak with fries and black coffee."
HOBBIES_OPT_579f_000C,HOBBIES_b817_0010,"Kielbasa, extra mustard, frog legs and a chocolate shake."
HOBBIES_OPT_4a7a_000D,HOBBIES_b817_0010,"Hot dog, burn or toast the bun, side of french fries and a root beer with ice."
