OID,QID,text
NEWEST_OPT_9468_000A,NEWEST_e74d_0001,31
NEWEST_OPT_b936_000B,NEWEST_e74d_0001,21
NEWEST_OPT_5095_000C,NEWEST_e74d_0001,"None of these"
NEWEST_OPT_e1ac_000D,NEWEST_e74d_0001,11
NEWEST_OPT_133e_000A,NEWEST_777f_0002,"Fantasia 2000"
NEWEST_OPT_99ab_000B,NEWEST_777f_0002,"101 Dalmatians"
NEWEST_OPT_591e_000C,NEWEST_777f_0002,"The Three Caballeros"
NEWEST_OPT_f6ed_000D,NEWEST_777f_0002,"Snow White and the Seven Dwarfs"
NEWEST_OPT_ebb6_000A,NEWEST_97b7_0003,"Jaws 2"
NEWEST_OPT_de18_000B,NEWEST_97b7_0003,"Jaws 3-D"
NEWEST_OPT_f05e_000C,NEWEST_97b7_0003,Jaws
NEWEST_OPT_ff36_000D,NEWEST_97b7_0003,"Great White"
NEWEST_OPT_1c4b_000A,NEWEST_5f05_0004,Reds
NEWEST_OPT_b3bd_000B,NEWEST_5f05_0004,"October: Ten Days That Shook the World"
NEWEST_OPT_b795_000C,NEWEST_5f05_0004,"Doctor Zhivago"
NEWEST_OPT_e9a9_000D,NEWEST_5f05_0004,Anastasia
NEWEST_OPT_ab69_000A,NEWEST_4a9e_0005,"Samson and Delilah"
NEWEST_OPT_5ef3_000B,NEWEST_4a9e_0005,"The Ten Commandments"
NEWEST_OPT_1967_000C,NEWEST_4a9e_0005,"The Prince of Egypt"
NEWEST_OPT_87cc_000D,NEWEST_4a9e_0005,Ben-Hur
NEWEST_OPT_6e22_000A,NEWEST_4b9a_0006,"E.T. the Extra-Terrestrial"
NEWEST_OPT_b39d_000B,NEWEST_4b9a_0006,"Blade Runner"
NEWEST_OPT_2b29_000C,NEWEST_4b9a_0006,"The Thing"
NEWEST_OPT_ebde_000D,NEWEST_4b9a_0006,"Star Trek II: The Wrath of Khan"
NEWEST_OPT_24ae_000A,NEWEST_5d60_0007,Help!
NEWEST_OPT_84ae_000B,NEWEST_5d60_0007,"The Great Race"
NEWEST_OPT_c5b7_000C,NEWEST_5d60_0007,"The Sound of Music"
NEWEST_OPT_e9fc_000D,NEWEST_5d60_0007,"Beach Blanket Bingo"
NEWEST_OPT_77b0_000A,NEWEST_8e3d_0008,"The Poseidon Adventure"
NEWEST_OPT_4572_000B,NEWEST_8e3d_0008,"The Hunt for Red October"
NEWEST_OPT_05af_000C,NEWEST_8e3d_0008,Titanic
NEWEST_OPT_2848_000D,NEWEST_8e3d_0008,"The Abyss"
NEWEST_OPT_8619_000A,NEWEST_b916_0009,"The Incredible Hulk"
NEWEST_OPT_f018_000B,NEWEST_b916_0009,"Star Wars"
NEWEST_OPT_a696_000C,NEWEST_b916_0009,"The Island of Dr. Moreau"
NEWEST_OPT_df8d_000D,NEWEST_b916_0009,"Close Encounters of the Third Kind"
NEWEST_OPT_7d60_000A,NEWEST_cd29_0010,"The Twilight Saga: Breaking Dawn Part I"
NEWEST_OPT_2326_000B,NEWEST_cd29_0010,Avatar
