OID,QID,text
KIDS_OPT_3eb5_000A,KIDS_879c_0001,sloshy
KIDS_OPT_56a3_000B,KIDS_879c_0001,"Peter Frampton"
KIDS_OPT_89f6_000C,KIDS_879c_0001,Limozeen
KIDS_OPT_2763_000D,KIDS_879c_0001,Taranchula
KIDS_OPT_af3f_000A,KIDS_e221_0002,Rampion
KIDS_OPT_47ed_000B,KIDS_e221_0002,Turnip
KIDS_OPT_125d_000C,KIDS_e221_0002,Lettuce
KIDS_OPT_5a87_000D,KIDS_e221_0002,Safflower
KIDS_OPT_95e2_000A,KIDS_b0e3_0003,"Collects the finished thread"
KIDS_OPT_e3fa_000B,KIDS_b0e3_0003,"Powers the wheel"
KIDS_OPT_26bd_000C,KIDS_b0e3_0003,"Twists the fibres into a thread"
KIDS_OPT_8356_000D,KIDS_b0e3_0003,"Sorts the finished threads"
KIDS_OPT_95f6_000A,KIDS_45ac_0004,"Glass shoes sound like something a princess would wear."
KIDS_OPT_c2e1_000B,KIDS_45ac_0004,"Vair (fur), was mistaken for verre (glass)."
KIDS_OPT_d5dd_000C,KIDS_45ac_0004,"They were a symbol of her purity."
KIDS_OPT_eaf0_000D,KIDS_45ac_0004,"Glass shoes were worn by royalty."
KIDS_OPT_0196_000A,KIDS_86f8_0005,"A block-buster animated film."
KIDS_OPT_41d2_000B,KIDS_86f8_0005,"Foam on the waves."
KIDS_OPT_a5b9_000C,KIDS_86f8_0005,"A mermaid again."
KIDS_OPT_4c8e_000D,KIDS_86f8_0005,"A daughter of the air."
KIDS_OPT_8704_000A,KIDS_e102_0006,"Hemophiliac lips."
KIDS_OPT_9182_000B,KIDS_e102_0006,"Rosaceae cheeks."
KIDS_OPT_c220_000C,KIDS_e102_0006,"Ice crystal eyes."
KIDS_OPT_18bf_000D,KIDS_e102_0006,"Wooden hair."
KIDS_OPT_8567_000A,KIDS_5d1a_0007,"Dried stalks of marsh plant."
KIDS_OPT_65a1_000B,KIDS_5d1a_0007,"Dry stalks of grass."
KIDS_OPT_1d3b_000C,KIDS_5d1a_0007,"Dry stalks of corn."
KIDS_OPT_a5d5_000D,KIDS_5d1a_0007,"Dry stalks of wheat."
KIDS_OPT_fad9_000A,KIDS_1223_0008,England
KIDS_OPT_f3de_000B,KIDS_1223_0008,Italy
KIDS_OPT_d779_000C,KIDS_1223_0008,"Eastern Europe"
KIDS_OPT_3d6b_000D,KIDS_1223_0008,"The Middle East"
KIDS_OPT_adb1_000A,KIDS_1278_0009,"Saladin - righteousness"
KIDS_OPT_f03c_000B,KIDS_1278_0009,"Fallow - pale in colour"
KIDS_OPT_e8a7_000C,KIDS_1278_0009,"Falada - to speak"
KIDS_OPT_d5a7_000D,KIDS_1278_0009,"Salada - white as salt"
KIDS_OPT_eead_000A,KIDS_6916_0010,Belladonna
KIDS_OPT_52cf_000B,KIDS_6916_0010,Urticaria
KIDS_OPT_a620_000C,KIDS_6916_0010,Belonidae
KIDS_OPT_b774_000D,KIDS_6916_0010,Urticaceae
KIDS_OPT_046d_000A,KIDS_fed4_0011,6
KIDS_OPT_eb93_000B,KIDS_fed4_0011,8
KIDS_OPT_a586_000C,KIDS_fed4_0011,3
KIDS_OPT_48d2_000D,KIDS_fed4_0011,none
KIDS_OPT_11a0_000A,KIDS_d47f_0012,"Being poor"
KIDS_OPT_b58d_000B,KIDS_d47f_0012,"Being the youngest boy in his family"
KIDS_OPT_5fb1_000C,KIDS_d47f_0012,"Being unpopular"
KIDS_OPT_f8f9_000D,KIDS_d47f_0012,"Not being in Slytherin"
KIDS_OPT_964b_000A,KIDS_266a_0013,"Parvati Patil"
KIDS_OPT_2f95_000B,KIDS_266a_0013,"Padma Patil"
KIDS_OPT_e311_000C,KIDS_266a_0013,"Hermione Granger"
KIDS_OPT_a2ab_000D,KIDS_266a_0013,"Ginny Weasley"
KIDS_OPT_0eef_000A,KIDS_5286_0014,True
KIDS_OPT_5dd2_000B,KIDS_5286_0014,False
KIDS_OPT_1b85_000A,KIDS_c2c9_0015,"Ronald Perkins Weasley"
KIDS_OPT_bb2b_000B,KIDS_c2c9_0015,"Ronald Arthur Weasley"
KIDS_OPT_3993_000C,KIDS_c2c9_0015,"Ronald J. Weasley"
KIDS_OPT_8399_000D,KIDS_c2c9_0015,"Ronald Bilius Weasley"
KIDS_OPT_e857_000A,KIDS_8cff_0016,No
KIDS_OPT_01e3_000B,KIDS_8cff_0016,Yes
KIDS_OPT_72d3_000A,KIDS_b0b4_0017,"Oliver Wood"
KIDS_OPT_ef77_000B,KIDS_b0b4_0017,"Cedric Diggory"
KIDS_OPT_3e3f_000C,KIDS_b0b4_0017,"Viktor Krum"
KIDS_OPT_4ec9_000D,KIDS_b0b4_0017,"Harry Potter"
KIDS_OPT_edc5_000A,KIDS_e5c9_0018,"Goblet of Fire"
KIDS_OPT_737b_000B,KIDS_e5c9_0018,Never
KIDS_OPT_ba0f_000C,KIDS_e5c9_0018,"Half-Blood Prince"
KIDS_OPT_4071_000D,KIDS_e5c9_0018,"Sorcerers Stone"
KIDS_OPT_9c20_000A,KIDS_3e1b_0019,"A clutter charm"
KIDS_OPT_1c34_000B,KIDS_3e1b_0019,"A disturbance charm"
KIDS_OPT_9764_000C,KIDS_3e1b_0019,"A flutter charm"
KIDS_OPT_d008_000D,KIDS_3e1b_0019,"A hover charm"
KIDS_OPT_62ea_000A,KIDS_5473_0020,"Albus Abelforth Wulfric Brian Dumbledore"
KIDS_OPT_9ddc_000B,KIDS_5473_0020,"Albus Nicholas Abelforth Dumbledore"
KIDS_OPT_51b3_000C,KIDS_5473_0020,"Albus Percival Wulfric Brian Dumbledore"
KIDS_OPT_278a_000D,KIDS_5473_0020,"Albus Wulfric Nicholas Dumbledore"
KIDS_OPT_8bbe_000A,KIDS_1867_0021,"Lacewing flies, leeches, powdered bicorn horn, knotgrass, fluxweed, and boomslang skin"
KIDS_OPT_e681_000B,KIDS_1867_0021,"Porcupine quills, leeches, lacewing flies, valerian roots, and boomslang skin"
KIDS_OPT_ab6f_000C,KIDS_1867_0021,"Powdered dragon horn, moonstone, lacewing flies, boomslang skin, dried nettles, and valerian roots"
KIDS_OPT_611f_000D,KIDS_1867_0021,"Moonstone, lacewing flies, boomslang skin, dried nettles, knotgrass, and bubotuber pus"
KIDS_OPT_2800_000A,KIDS_6c06_0022,"Swedish Short-Snout"
KIDS_OPT_9ef2_000B,KIDS_6c06_0022,"Welsh Green"
KIDS_OPT_8857_000C,KIDS_6c06_0022,"Hungarian Horntail"
KIDS_OPT_f8f0_000D,KIDS_6c06_0022,"Chinese Fireball"
KIDS_OPT_bac5_000A,KIDS_38d4_0023,"His patronus is strong enough to complete its intended task"
KIDS_OPT_37f9_000B,KIDS_38d4_0023,"His patronus is consistent enough to always have a defined shape to it"
KIDS_OPT_9cd4_000C,KIDS_38d4_0023,"His patronus is so dependable that it becomes the same animal everytime"
KIDS_OPT_64cb_000D,KIDS_38d4_0023,"His patronus is so well developed it has a commanding presence whenever it is conjured"
KIDS_OPT_6e54_000A,KIDS_4d77_0024,"He gets a pigs tail"
KIDS_OPT_24db_000B,KIDS_4d77_0024,"He breaks out in horrible zits"
KIDS_OPT_4397_000C,KIDS_4d77_0024,"His tongue is enlarged to almost 4 feet"
KIDS_OPT_0e88_000D,KIDS_4d77_0024,"He gets attacted by dementors"
KIDS_OPT_e11f_000A,KIDS_79cd_0025,"Self-Inking Quills"
KIDS_OPT_f308_000B,KIDS_79cd_0025,"Fever Fudge"
KIDS_OPT_8a94_000C,KIDS_79cd_0025,"Coughing Cakes"
KIDS_OPT_ca21_000D,KIDS_79cd_0025,"Pygmy Puff"
KIDS_OPT_069a_000A,KIDS_a70d_0026,Arithmancy
KIDS_OPT_bbfc_000B,KIDS_a70d_0026,Astronomy
KIDS_OPT_bf20_000C,KIDS_a70d_0026,"Ancient Runes"
KIDS_OPT_a0e7_000D,KIDS_a70d_0026,Alchemy
KIDS_OPT_5979_000A,KIDS_55e3_0027,Hermoine
KIDS_OPT_418a_000B,KIDS_55e3_0027,Ron
KIDS_OPT_39fc_000C,KIDS_55e3_0027,Dumbledore
KIDS_OPT_14b7_000D,KIDS_55e3_0027,Hagrid
KIDS_OPT_91bc_000A,KIDS_2c0b_0028,Nothing
KIDS_OPT_64fe_000B,KIDS_2c0b_0028,"An owl"
KIDS_OPT_047a_000C,KIDS_2c0b_0028,"A fifty pence piece"
KIDS_OPT_71ef_000D,KIDS_2c0b_0028,"A sneak-o-scope"
KIDS_OPT_e12e_000A,KIDS_cde4_0029,Ginny
KIDS_OPT_7bb3_000B,KIDS_cde4_0029,George
KIDS_OPT_d02a_000C,KIDS_cde4_0029,Ginger
KIDS_OPT_6117_000D,KIDS_cde4_0029,Grace
KIDS_OPT_39e7_000A,KIDS_6b31_0030,True
KIDS_OPT_fee3_000B,KIDS_6b31_0030,False
KIDS_OPT_c02d_000A,KIDS_f51d_0031,Pee-wee
KIDS_OPT_0fee_000B,KIDS_f51d_0031,Peeves
KIDS_OPT_1589_000C,KIDS_f51d_0031,Pippy
KIDS_OPT_0776_000D,KIDS_f51d_0031,Petry
KIDS_OPT_5290_000A,KIDS_bdba_0032,"Every Flavor Jellybeans"
KIDS_OPT_6f03_000B,KIDS_bdba_0032,"Lemon Drop"
KIDS_OPT_2456_000C,KIDS_bdba_0032,"Cockroach Cluster"
KIDS_OPT_6ffa_000D,KIDS_bdba_0032,"Mr. Goodbar"
KIDS_OPT_00be_000A,KIDS_651c_0033,False
KIDS_OPT_7ed6_000B,KIDS_651c_0033,True
KIDS_OPT_1185_000A,KIDS_3c51_0034,"Stonewall High"
KIDS_OPT_372b_000B,KIDS_3c51_0034,Yale
KIDS_OPT_e85d_000C,KIDS_3c51_0034,"Stonebridge High"
KIDS_OPT_e2c9_000D,KIDS_3c51_0034,"St. Brutus"
KIDS_OPT_ced3_000A,KIDS_4a52_0035,"Flourish  Blotts"
KIDS_OPT_11d9_000B,KIDS_4a52_0035,Ollivanders
KIDS_OPT_f10d_000C,KIDS_4a52_0035,"J.C. Penneys"
KIDS_OPT_aad7_000D,KIDS_4a52_0035,"Madame Malkins"
KIDS_OPT_f8cb_000A,KIDS_97db_0036,"Proffesor Snape"
KIDS_OPT_2927_000B,KIDS_97db_0036,"Lucious Malfoy"
KIDS_OPT_50fd_000C,KIDS_97db_0036,"Draco Malfoy"
KIDS_OPT_a9d0_000D,KIDS_97db_0036,"Lord Voldemort"
KIDS_OPT_d029_000A,KIDS_7950_0037,Yes
KIDS_OPT_4bb2_000B,KIDS_7950_0037,No
KIDS_OPT_b8e3_000A,KIDS_4cca_0038,False
KIDS_OPT_f5e5_000B,KIDS_4cca_0038,True
KIDS_OPT_fdde_000A,KIDS_25b9_0039,Nobody
KIDS_OPT_5ece_000B,KIDS_25b9_0039,"Ginny Weasley"
KIDS_OPT_b9cd_000C,KIDS_25b9_0039,"Cho Chang"
KIDS_OPT_0b04_000D,KIDS_25b9_0039,"Hermione Granger"
KIDS_OPT_a301_000A,KIDS_fab5_0040,"Luna Lovegood"
