OID,QID,text
SPORTS_OPT_79d5_000A,SPORTS_b89d_0001,Psychology
SPORTS_OPT_f674_000B,SPORTS_b89d_0001,Logic
SPORTS_OPT_b870_000C,SPORTS_b89d_0001,Metaphysics
SPORTS_OPT_bfaa_000D,SPORTS_b89d_0001,Philosophy
SPORTS_OPT_f056_000A,SPORTS_7ceb_0002,"Nation of Domination"
SPORTS_OPT_de33_000B,SPORTS_7ceb_0002,"D-Generation X"
SPORTS_OPT_6753_000C,SPORTS_7ceb_0002,"Legion of Doom"
SPORTS_OPT_b0e5_000D,SPORTS_7ceb_0002,"Hart Foundation"
SPORTS_OPT_c3a2_000A,SPORTS_35cd_0003,Catcher
SPORTS_OPT_d21e_000B,SPORTS_35cd_0003,"First Base"
SPORTS_OPT_7bd9_000C,SPORTS_35cd_0003,Pitcher
SPORTS_OPT_dc3a_000D,SPORTS_35cd_0003,"Third Base"
SPORTS_OPT_5358_000A,SPORTS_408d_0004,"Second Base"
SPORTS_OPT_9c53_000B,SPORTS_408d_0004,Shortstop
SPORTS_OPT_3810_000C,SPORTS_408d_0004,Catcher
SPORTS_OPT_29d5_000D,SPORTS_408d_0004,Pitcher
SPORTS_OPT_abe5_000A,SPORTS_4e3c_0005,"Right Field"
SPORTS_OPT_c98b_000B,SPORTS_4e3c_0005,Catcher
SPORTS_OPT_4451_000C,SPORTS_4e3c_0005,Pitcher
SPORTS_OPT_ca9e_000D,SPORTS_4e3c_0005,Shortstop
SPORTS_OPT_9a84_000A,SPORTS_c259_0006,"First Base"
SPORTS_OPT_ab0d_000B,SPORTS_c259_0006,Shortstop
SPORTS_OPT_aa74_000C,SPORTS_c259_0006,"Third Base"
SPORTS_OPT_f81c_000D,SPORTS_c259_0006,Catcher
SPORTS_OPT_2946_000A,SPORTS_bcdc_0007,Outfield
SPORTS_OPT_2485_000B,SPORTS_bcdc_0007,"None of these"
SPORTS_OPT_f4f6_000C,SPORTS_bcdc_0007,"Second Base"
SPORTS_OPT_3c2a_000D,SPORTS_bcdc_0007,Catcher
SPORTS_OPT_868f_000A,SPORTS_32f2_0008,Pitcher
SPORTS_OPT_1c8c_000B,SPORTS_32f2_0008,Catcher
SPORTS_OPT_624a_000C,SPORTS_32f2_0008,"Third Base"
SPORTS_OPT_1289_000D,SPORTS_32f2_0008,"Second Base"
SPORTS_OPT_2d50_000A,SPORTS_534f_0009,"Right Field"
SPORTS_OPT_534d_000B,SPORTS_534f_0009,Pitcher
SPORTS_OPT_2211_000C,SPORTS_534f_0009,"Second Base"
SPORTS_OPT_2fd7_000D,SPORTS_534f_0009,"Center Field"
SPORTS_OPT_fe67_000A,SPORTS_81bc_0010,Pitcher
SPORTS_OPT_9433_000B,SPORTS_81bc_0010,"Second Base"
SPORTS_OPT_2bd2_000C,SPORTS_81bc_0010,"Right Field"
SPORTS_OPT_df6c_000D,SPORTS_81bc_0010,Catcher
SPORTS_OPT_f072_000A,SPORTS_5167_0011,Pitcher
SPORTS_OPT_ca24_000B,SPORTS_5167_0011,"First Base"
SPORTS_OPT_cd3a_000C,SPORTS_5167_0011,Catcher
SPORTS_OPT_f4cb_000D,SPORTS_5167_0011,Shortstop
SPORTS_OPT_6fb0_000A,SPORTS_c131_0012,Catcher
SPORTS_OPT_e6f8_000B,SPORTS_c131_0012,Pitcher
SPORTS_OPT_2f7a_000C,SPORTS_c131_0012,"Left Field"
SPORTS_OPT_aec1_000D,SPORTS_c131_0012,"None of the Above"
SPORTS_OPT_a86c_000A,SPORTS_d878_0013,"Terry Bradshaw"
SPORTS_OPT_a54c_000B,SPORTS_d878_0013,"Bert Jones Jr"
SPORTS_OPT_faad_000C,SPORTS_d878_0013,"Len Dawson"
SPORTS_OPT_3ab6_000D,SPORTS_d878_0013,"Johnny Unitas"
SPORTS_OPT_1801_000A,SPORTS_6b8d_0014,"San Francisco"
SPORTS_OPT_5d2c_000B,SPORTS_6b8d_0014,Dallas
SPORTS_OPT_c1ba_000C,SPORTS_6b8d_0014,Miami
SPORTS_OPT_6f48_000D,SPORTS_6b8d_0014,Pittsburgh
SPORTS_OPT_7ff4_000A,SPORTS_bd70_0015,71
SPORTS_OPT_525a_000B,SPORTS_bd70_0015,100
SPORTS_OPT_8395_000C,SPORTS_bd70_0015,82
SPORTS_OPT_a9df_000D,SPORTS_bd70_0015,99
SPORTS_OPT_f6a4_000A,SPORTS_8927_0016,"Spud Webb"
SPORTS_OPT_9da1_000B,SPORTS_8927_0016,"Kobe Bryant"
SPORTS_OPT_fbd8_000C,SPORTS_8927_0016,"Moses Malone"
SPORTS_OPT_a0c4_000D,SPORTS_8927_0016,"Michael Jordon"
SPORTS_OPT_d84a_000A,SPORTS_ff2d_0017,"Kobe Bryant"
SPORTS_OPT_a76d_000B,SPORTS_ff2d_0017,"Spud Webb"
