question,QID,answer,answer_OID
"What does the word cretin refer to?",LITERATURE_5211_0001,"An idiot",LITERATURE_OPT_2575_000C
"Leaves of Grass",LITERATURE_501e_0002,"Walt Whitman",LITERATURE_OPT_d706_000D
"At The Mountains of Madness",LITERATURE_af33_0003,"H.P. Lovecraft",LITERATURE_OPT_ed73_000A
"Ape and Essance; Eyeless in Gaza; Point Counter Point",LITERATURE_bb27_0004,"Aldous Huxley",LITERATURE_OPT_d087_000B
"1984; Animal Farm",LITERATURE_7081_0005,"George Orwell",LITERATURE_OPT_d708_000C
"Return of the Native; Jude the Obscure; Far From the Madding Crowd",LITERATURE_48d6_0006,"Thomas Hardy",LITERATURE_OPT_4722_000A
"The Antichrist; The Gay Science; Beyond Good and Evil; Thus Spoke Zarathustra",LITERATURE_6770_0007,"Frederick Nietzche",LITERATURE_OPT_3436_000B
"What language can Harry Potter speak?",LITERATURE_da7a_0008,Parseltounge,LITERATURE_OPT_c630_000D
"Cornelia Fudge is the Minister of Magic.",LITERATURE_a37c_0009,False,LITERATURE_OPT_a340_000A
"Hermione was supposed to turn into this person after drinking the Polyjuice Potion.",LITERATURE_e968_0010,"Millicent Bulstrode",LITERATURE_OPT_5a9e_000A
"What was Hagrid buying in Knockturn Alley?",LITERATURE_427d_0011,"Flesh-Eating Slug Repellent",LITERATURE_OPT_0006_000D
"This book by James Joyce was forbidden by the US authorities for 15 years, because it was considered obsene. The ban was lifted in 1933.",LITERATURE_a865_0012,Ulysses,LITERATURE_OPT_de7b_000A
"This book about the life of a prostitute was written by John Cleland. It has been banned in the past due to frank sexual descriptions.",LITERATURE_9feb_0013,"Fanny Hill",LITERATURE_OPT_94c7_000C
"This book tells the story of two women who meet and fall in love with each other. They openly declare their homosexuality to family and friends. Thats why the Kansas school system ordered the removal of all copies of this book from high school libraries.",LITERATURE_fe65_0014,"Annie on My Mind",LITERATURE_OPT_8a4f_000C
"This book led Austin Miles to the courts in 1992.  Miles was sued because his book was ...a vitriolic attack upon organized Christianity.",LITERATURE_0a8f_0015,"Dont Call Me Brother",LITERATURE_OPT_c10f_000D
"This book by Judy Blume was censored as it discussed adolescent sexuality in too much detail.",LITERATURE_a679_0016,Forever,LITERATURE_OPT_87d2_000D
"This book by George Orwell was banned as it was pro-communist.",LITERATURE_a5f5_0017,1984,LITERATURE_OPT_f43a_000C
"This Lewis Carrolls work was banned in China because in it humans and animals used the same language.",LITERATURE_b06f_0018,"Alices Adventures in Wonderland",LITERATURE_OPT_9d44_000B
"Its translation into local languages was forbidden in Burma.",LITERATURE_e549_0019,"The Bible",LITERATURE_OPT_2858_000D
