question,QID,answer,answer_OID
"If youve ordered a burn one, take it through the garden, pin a rose on it, what can you expect to be placed in front of you?",HOBBIES_856d_0001,"Hamburger with Lettuce, Tomato and Onion",HOBBIES_OPT_f468_000C
"If the girl next to you orders baled hay, life preserver and java for breakfast, what has she ordered?",HOBBIES_cf87_0002,"Shredded wheat, donut and coffee",HOBBIES_OPT_9dd2_000D
"Noahs Boy refers to a fish sandwich.",HOBBIES_5f52_0003,False,HOBBIES_OPT_be6a_000A
"Its your first day on the job at your favorite diner!  The waitress next to you yells out to the short order cook that she needs two cows, make them cry, and paint em red.  What has she requested the short order cook to prepare?",HOBBIES_8794_0004,"Two hamburgers with onions, cover in ketchup",HOBBIES_OPT_7fe2_000A
"Your friends favorite breakfast is a shingle with shimmy and shake, squeeze one.   What does he like to eat for breakfast?",HOBBIES_04d9_0005,"Buttered toast with jam and orange juice",HOBBIES_OPT_263e_000C
"A guy orders a drag it through Georgia for his son.  What has he ordered?",HOBBIES_2f02_0006,"Cola with chocolate syrup",HOBBIES_OPT_567c_000D
"What is diner-speak for an order of hash?",HOBBIES_3f52_0007,"Customer will take a chance",HOBBIES_OPT_5ad6_000C
"Mom always told you to get plenty of iron in your diet, so you order a put out the lights and cry.  What item have you ordered?",HOBBIES_90fc_0008,"Liver and onions",HOBBIES_OPT_4252_000D
"Keep off the grass in diner-speak means this.",HOBBIES_9cf2_0009,"Hold the lettuce",HOBBIES_OPT_e7cc_000D
"The final order of the night is for a Bow - wow, Pittsburgh on the bun, frog sticks, and a 55 with Hail.  What has been ordered?",HOBBIES_b817_0010,"Hot dog, burn or toast the bun, side of french fries and a root beer with ice.",HOBBIES_OPT_4a7a_000D
"A fellow comes in on the night shift and orders a Hockey puck with wax, wreck em, frog sticks in the alley, and draw one in the dark.  What on Earth does he want to eat?",HOBBIES_14d3_0011,"Well done burger with American cheese, fries on the side, scrambled eggs, and black coffee.",HOBBIES_OPT_7592_000D
"Chicks on a raft with blowout patches refers to what?",HOBBIES_f676_0012,"Eggs on toast with pancakes",HOBBIES_OPT_76d8_000B
"Finally, a customer orders Bossy in a bowl, bullets or whistleberries, a blonde with sand, a bucket of cold mud, and belchwater.  What have they ordered?",HOBBIES_47f2_0013,"Beef stew, baked beans, coffee with cream and sugar, chocolate ice cream, and seltzer water.",HOBBIES_OPT_b7d8_000A
"Due to the shape of its fruits, Aztecs called this tree Ahuacuatl, which meant testicle tree.",HOBBIES_02c7_0014,Avocado,HOBBIES_OPT_cd32_000C
"This fruit is generally considered to grow on a tree, but the tree is actually a giant herb. The fruit contains potassium and vitamin B, which are necessary for the production of sex hormones.",HOBBIES_e376_0015,Banana,HOBBIES_OPT_1403_000B
