OID,QID,text
HUMANITIES_OPT_3c89_000A,HUMANITIES_ae1c_0001,"All legumes"
HUMANITIES_OPT_8e52_000B,HUMANITIES_ae1c_0001,"Garlic and onion"
HUMANITIES_OPT_d4cc_000C,HUMANITIES_ae1c_0001,"Eggplants and tomatoes"
HUMANITIES_OPT_8225_000D,HUMANITIES_ae1c_0001,"Cabbage and lettuce"
HUMANITIES_OPT_667c_000A,HUMANITIES_4b95_0002,No
HUMANITIES_OPT_ea90_000B,HUMANITIES_4b95_0002,Yes
HUMANITIES_OPT_371d_000A,HUMANITIES_cfc4_0003,No
HUMANITIES_OPT_f88e_000B,HUMANITIES_cfc4_0003,Yes
HUMANITIES_OPT_3839_000A,HUMANITIES_3180_0004,"From hence to eternity, I will search."
HUMANITIES_OPT_b635_000B,HUMANITIES_3180_0004,"Whence did he come?"
HUMANITIES_OPT_87d9_000C,HUMANITIES_3180_0004,"From whence did he come?"
HUMANITIES_OPT_5db0_000D,HUMANITIES_3180_0004,"If you build it, thence he will come."
HUMANITIES_OPT_9d54_000A,HUMANITIES_8bca_0005,"The capitol building is located in the capitol."
HUMANITIES_OPT_55da_000B,HUMANITIES_8bca_0005,"The capital building is located in the capital."
HUMANITIES_OPT_13f8_000C,HUMANITIES_8bca_0005,"The capitol building is located in the capital."
HUMANITIES_OPT_ca54_000D,HUMANITIES_8bca_0005,"The capital building is located in the capitol."
HUMANITIES_OPT_94ec_000A,HUMANITIES_72bf_0006,principal
HUMANITIES_OPT_ebd8_000B,HUMANITIES_72bf_0006,unprincipled
HUMANITIES_OPT_7f1b_000C,HUMANITIES_72bf_0006,principle
HUMANITIES_OPT_2542_000D,HUMANITIES_72bf_0006,"None of the words is incorrect; the sentence is correct as is."
HUMANITIES_OPT_0fd3_000A,HUMANITIES_1c56_0007,"These are all synonyms of the word reticent."
HUMANITIES_OPT_0304_000B,HUMANITIES_1c56_0007,Restrained
HUMANITIES_OPT_d83c_000C,HUMANITIES_1c56_0007,Silent
HUMANITIES_OPT_bcaa_000D,HUMANITIES_1c56_0007,Reluctant
HUMANITIES_OPT_433a_000A,HUMANITIES_6061_0008,"The class comprised 30 people."
HUMANITIES_OPT_e436_000B,HUMANITIES_6061_0008,"Thirty people comprised the class."
HUMANITIES_OPT_6cb4_000C,HUMANITIES_6061_0008,"These are all correct usages of the word comprised."
HUMANITIES_OPT_d2f9_000D,HUMANITIES_6061_0008,"The class was comprised of 30 people."
HUMANITIES_OPT_e356_000A,HUMANITIES_cade_0009,"He woke up at six."
HUMANITIES_OPT_0c77_000B,HUMANITIES_cade_0009,"All of these sentences are correct."
HUMANITIES_OPT_9c5b_000C,HUMANITIES_cade_0009,"He awoke at six."
HUMANITIES_OPT_6da5_000D,HUMANITIES_cade_0009,"He awakened at six."
HUMANITIES_OPT_99e6_000A,HUMANITIES_2cc6_0010,"Te amo."
HUMANITIES_OPT_997f_000B,HUMANITIES_2cc6_0010,"Kocham cie."
HUMANITIES_OPT_4552_000C,HUMANITIES_2cc6_0010,"Mi amas vin."
HUMANITIES_OPT_e22d_000D,HUMANITIES_2cc6_0010,"Ti amo."
HUMANITIES_OPT_f63a_000A,HUMANITIES_742e_0011,Bulgarian
HUMANITIES_OPT_6bc4_000B,HUMANITIES_742e_0011,French
HUMANITIES_OPT_6bb1_000C,HUMANITIES_742e_0011,Finnish
HUMANITIES_OPT_d3de_000D,HUMANITIES_742e_0011,German
HUMANITIES_OPT_f1da_000A,HUMANITIES_af72_0012,"Jeg elsker dig."
HUMANITIES_OPT_ab32_000B,HUMANITIES_af72_0012,"Volim te."
HUMANITIES_OPT_1f45_000C,HUMANITIES_af72_0012,"I love thee."
HUMANITIES_OPT_4f56_000D,HUMANITIES_af72_0012,"Je taime."
HUMANITIES_OPT_968b_000A,HUMANITIES_4ea5_0013,Swedish
HUMANITIES_OPT_8f0e_000B,HUMANITIES_4ea5_0013,Italian
HUMANITIES_OPT_52a0_000C,HUMANITIES_4ea5_0013,German
HUMANITIES_OPT_ba41_000D,HUMANITIES_4ea5_0013,French
HUMANITIES_OPT_b19e_000A,HUMANITIES_3b9e_0014,"Ich liebe Dich."
HUMANITIES_OPT_9b17_000B,HUMANITIES_3b9e_0014,"Te amo."
HUMANITIES_OPT_baa2_000C,HUMANITIES_3b9e_0014,"Volim te."
HUMANITIES_OPT_9964_000D,HUMANITIES_3b9e_0014,"Je taime."
HUMANITIES_OPT_8891_000A,HUMANITIES_b9d8_0015,Croatian
HUMANITIES_OPT_0547_000B,HUMANITIES_b9d8_0015,Bosnian
HUMANITIES_OPT_3aed_000C,HUMANITIES_b9d8_0015,Italian
HUMANITIES_OPT_084e_000D,HUMANITIES_b9d8_0015,Serbian
HUMANITIES_OPT_b1d7_000A,HUMANITIES_9265_0016,"Te quiero"
HUMANITIES_OPT_1544_000B,HUMANITIES_9265_0016,Nakupenda
HUMANITIES_OPT_dbac_000C,HUMANITIES_9265_0016,"Ti amo"
HUMANITIES_OPT_bfd1_000D,HUMANITIES_9265_0016,"Je taime"
HUMANITIES_OPT_89c0_000A,HUMANITIES_42c6_0017,Navajo
HUMANITIES_OPT_dcd7_000B,HUMANITIES_42c6_0017,Hebrew
HUMANITIES_OPT_2bfe_000C,HUMANITIES_42c6_0017,Icelandic
HUMANITIES_OPT_637b_000D,HUMANITIES_42c6_0017,Turkish
HUMANITIES_OPT_b8cf_000A,HUMANITIES_18de_0018,Thai
HUMANITIES_OPT_88c8_000B,HUMANITIES_18de_0018,Navajo
HUMANITIES_OPT_98e2_000C,HUMANITIES_18de_0018,Spanish
HUMANITIES_OPT_9b0b_000D,HUMANITIES_18de_0018,Esperanto
HUMANITIES_OPT_a0bc_000A,HUMANITIES_1551_0019,"Ti amo."
HUMANITIES_OPT_fbf9_000B,HUMANITIES_1551_0019,"Ik hou van jou."
HUMANITIES_OPT_b03b_000C,HUMANITIES_1551_0019,"Ne mohotatse."
HUMANITIES_OPT_80c7_000D,HUMANITIES_1551_0019,"Ich liebe Dich."
HUMANITIES_OPT_bed9_000A,HUMANITIES_fbe2_0020,Candleberry
HUMANITIES_OPT_8641_000B,HUMANITIES_fbe2_0020,Candleholder
HUMANITIES_OPT_5b12_000C,HUMANITIES_fbe2_0020,Candlestick
HUMANITIES_OPT_778a_000D,HUMANITIES_fbe2_0020,Candlesnuffer
HUMANITIES_OPT_3adc_000A,HUMANITIES_cf4c_0021,Acidiferous
HUMANITIES_OPT_908a_000B,HUMANITIES_cf4c_0021,Acidophilous
HUMANITIES_OPT_ada9_000C,HUMANITIES_cf4c_0021,Acidimetric
HUMANITIES_OPT_79f9_000D,HUMANITIES_cf4c_0021,Acidifiable
HUMANITIES_OPT_1797_000A,HUMANITIES_c0c3_0022,Biomedicine
HUMANITIES_OPT_86b6_000B,HUMANITIES_c0c3_0022,Bipartisanism
HUMANITIES_OPT_c777_000C,HUMANITIES_c0c3_0022,Biosystematy
HUMANITIES_OPT_e83d_000D,HUMANITIES_c0c3_0022,Biotelemetry
HUMANITIES_OPT_5b8b_000A,HUMANITIES_f4ec_0023,Disease
HUMANITIES_OPT_e15b_000B,HUMANITIES_f4ec_0023,"Medical condition"
HUMANITIES_OPT_f1fb_000C,HUMANITIES_f4ec_0023,Enzyme
HUMANITIES_OPT_15a2_000D,HUMANITIES_f4ec_0023,Hormone
HUMANITIES_OPT_3572_000A,HUMANITIES_a015_0024,Diaphoresis
HUMANITIES_OPT_d58e_000B,HUMANITIES_a015_0024,Deuterogamy
HUMANITIES_OPT_b4e9_000C,HUMANITIES_a015_0024,Detumescence
HUMANITIES_OPT_4668_000D,HUMANITIES_a015_0024,Diabolisation
HUMANITIES_OPT_218c_000A,HUMANITIES_1612_0025,Adults
HUMANITIES_OPT_4d95_000B,HUMANITIES_1612_0025,Elderly
HUMANITIES_OPT_f801_000C,HUMANITIES_1612_0025,"Blind people"
HUMANITIES_OPT_59dd_000D,HUMANITIES_1612_0025,Children
HUMANITIES_OPT_08e2_000A,HUMANITIES_e677_0026,Homologisation
HUMANITIES_OPT_fc3a_000B,HUMANITIES_e677_0026,Homomorphic
HUMANITIES_OPT_fae0_000C,HUMANITIES_e677_0026,Homomorphism
HUMANITIES_OPT_5dde_000D,HUMANITIES_e677_0026,Homolographic
HUMANITIES_OPT_f11b_000A,HUMANITIES_866f_0027,Species
HUMANITIES_OPT_a4e4_000B,HUMANITIES_866f_0027,Habitat
HUMANITIES_OPT_0634_000C,HUMANITIES_866f_0027,Teeth
HUMANITIES_OPT_53d5_000D,HUMANITIES_866f_0027,Cells
HUMANITIES_OPT_9779_000A,HUMANITIES_40ca_0028,Mastigophoran
HUMANITIES_OPT_9436_000B,HUMANITIES_40ca_0028,Magistrature
HUMANITIES_OPT_cd77_000C,HUMANITIES_40ca_0028,Magistrateship
HUMANITIES_OPT_0514_000D,HUMANITIES_40ca_0028,Magisterium
HUMANITIES_OPT_c0a4_000A,HUMANITIES_2ad4_0029,Blood
HUMANITIES_OPT_3035_000B,HUMANITIES_2ad4_0029,Animal
HUMANITIES_OPT_0e40_000C,HUMANITIES_2ad4_0029,Human
HUMANITIES_OPT_436d_000D,HUMANITIES_2ad4_0029,Monster
HUMANITIES_OPT_b501_000A,HUMANITIES_7dfa_0030,Hanging
HUMANITIES_OPT_3d62_000B,HUMANITIES_7dfa_0030,Disembowelment
HUMANITIES_OPT_ff3a_000C,HUMANITIES_7dfa_0030,Impalement
HUMANITIES_OPT_99c2_000D,HUMANITIES_7dfa_0030,Beheading
HUMANITIES_OPT_19f1_000A,HUMANITIES_e69e_0031,True
HUMANITIES_OPT_7f18_000B,HUMANITIES_e69e_0031,False
HUMANITIES_OPT_70a0_000A,HUMANITIES_f90b_0032,Vegetables
HUMANITIES_OPT_4370_000B,HUMANITIES_f90b_0032,Flesh
HUMANITIES_OPT_0e2b_000C,HUMANITIES_f90b_0032,Brains
HUMANITIES_OPT_e72b_000D,HUMANITIES_f90b_0032,Aura
HUMANITIES_OPT_6d13_000A,HUMANITIES_a43c_0033,"Beautiful women"
HUMANITIES_OPT_24a3_000B,HUMANITIES_a43c_0033,"Ugly Men"
HUMANITIES_OPT_7f46_000C,HUMANITIES_a43c_0033,"Wounded Wolves"
HUMANITIES_OPT_6ea4_000D,HUMANITIES_a43c_0033,"Innocent Children"
HUMANITIES_OPT_a033_000A,HUMANITIES_743e_0034,False
