OID,QID,text
HISTORY_OPT_553f_000A,HISTORY_a326_0001,Michigan
HISTORY_OPT_d68c_000B,HISTORY_a326_0001,Ohio
HISTORY_OPT_f70b_000C,HISTORY_a326_0001,Washington
HISTORY_OPT_4369_000D,HISTORY_a326_0001,"New York"
HISTORY_OPT_afd7_000A,HISTORY_3154_0002,"Big Foot"
HISTORY_OPT_c6da_000B,HISTORY_3154_0002,Sasquatch
HISTORY_OPT_282f_000C,HISTORY_3154_0002,Nessie
HISTORY_OPT_5e1d_000D,HISTORY_3154_0002,Oetzi
HISTORY_OPT_7933_000A,HISTORY_b213_0003,Matador
HISTORY_OPT_6625_000B,HISTORY_b213_0003,BOLERO
HISTORY_OPT_d75c_000C,HISTORY_b213_0003,"Determined Force"
HISTORY_OPT_f11e_000D,HISTORY_b213_0003,"Desert Storm"
HISTORY_OPT_1b99_000A,HISTORY_71cb_0004,"Organ Transplant"
HISTORY_OPT_2f78_000B,HISTORY_71cb_0004,Cloning
HISTORY_OPT_c772_000C,HISTORY_71cb_0004,"Bloodless Surgery"
HISTORY_OPT_a354_000D,HISTORY_71cb_0004,"Laser Surgery"
HISTORY_OPT_fa13_000A,HISTORY_b662_0005,Electro
HISTORY_OPT_ffdb_000B,HISTORY_b662_0005,Trance
HISTORY_OPT_4e8e_000C,HISTORY_b662_0005,Techno
HISTORY_OPT_72dd_000D,HISTORY_b662_0005,Dance
HISTORY_OPT_e37d_000A,HISTORY_84e5_0006,"Greta Garbo"
HISTORY_OPT_1cb4_000B,HISTORY_84e5_0006,"Nancy Marchand"
HISTORY_OPT_f1d1_000C,HISTORY_84e5_0006,"Madam C. J. Walker"
HISTORY_OPT_f095_000D,HISTORY_84e5_0006,"Princess Diana"
HISTORY_OPT_43f8_000A,HISTORY_c129_0007,"American Labor Union"
HISTORY_OPT_b51a_000B,HISTORY_c129_0007,"Oxford Union"
HISTORY_OPT_87b5_000C,HISTORY_c129_0007,"The European Union"
HISTORY_OPT_a8f4_000D,HISTORY_c129_0007,"European Trade Union"
HISTORY_OPT_88ea_000A,HISTORY_b2da_0008,"The Chat programs"
HISTORY_OPT_631e_000B,HISTORY_b2da_0008,"The URL"
HISTORY_OPT_524c_000C,HISTORY_b2da_0008,"The E-mail"
HISTORY_OPT_e771_000D,HISTORY_b2da_0008,"The Website"
HISTORY_OPT_2c71_000A,HISTORY_e8c1_0009,"George Bush"
HISTORY_OPT_5025_000B,HISTORY_e8c1_0009,"Ronald Reagan"
HISTORY_OPT_5d52_000C,HISTORY_e8c1_0009,"Bill Clinton"
HISTORY_OPT_9849_000D,HISTORY_e8c1_0009,"Richard Nixon"
HISTORY_OPT_2da3_000A,HISTORY_da08_0010,Earthquake
HISTORY_OPT_8a78_000B,HISTORY_da08_0010,Tsunami
HISTORY_OPT_c7a4_000C,HISTORY_da08_0010,Avalanche
HISTORY_OPT_b6f6_000D,HISTORY_da08_0010,"Volcano eruption"
HISTORY_OPT_30ac_000A,HISTORY_74e3_0011,"Dating sites"
HISTORY_OPT_6237_000B,HISTORY_74e3_0011,"Virtual reality systems"
HISTORY_OPT_dd40_000C,HISTORY_74e3_0011,"Video Game consoles"
HISTORY_OPT_946b_000D,HISTORY_74e3_0011,"Computer games"
HISTORY_OPT_91e2_000A,HISTORY_cb52_0012,"Rome and Athens"
HISTORY_OPT_1437_000B,HISTORY_cb52_0012,"Athens and Sparta"
HISTORY_OPT_e3dd_000C,HISTORY_cb52_0012,"Carthage and Athens"
HISTORY_OPT_3600_000D,HISTORY_cb52_0012,"Rome and Carthage"
HISTORY_OPT_d0bf_000A,HISTORY_2617_0013,Ansatz
HISTORY_OPT_3b2d_000B,HISTORY_2617_0013,Abwer
HISTORY_OPT_b42c_000C,HISTORY_2617_0013,Anschluss
HISTORY_OPT_4f5c_000D,HISTORY_2617_0013,Ahnentafel
HISTORY_OPT_c0ee_000A,HISTORY_0ac6_0014,"President of the Senate"
HISTORY_OPT_c8a5_000B,HISTORY_0ac6_0014,"Speaker of the House of Representatives"
HISTORY_OPT_04f5_000C,HISTORY_0ac6_0014,"National Security Advisor"
HISTORY_OPT_2997_000D,HISTORY_0ac6_0014,"Secretary of State"
HISTORY_OPT_7393_000A,HISTORY_001b_0015,Kyoto
HISTORY_OPT_5a59_000B,HISTORY_001b_0015,Yokohama
HISTORY_OPT_9789_000C,HISTORY_001b_0015,Hiroshima
HISTORY_OPT_2f78_000D,HISTORY_001b_0015,Osaka
HISTORY_OPT_afa2_000A,HISTORY_ae22_0016,True
HISTORY_OPT_24ff_000B,HISTORY_ae22_0016,False
HISTORY_OPT_9d60_000A,HISTORY_1080_0017,Caligula
HISTORY_OPT_83db_000B,HISTORY_1080_0017,Tiberius
HISTORY_OPT_3328_000C,HISTORY_1080_0017,Nero
HISTORY_OPT_8baf_000D,HISTORY_1080_0017,Claudius
HISTORY_OPT_9e6a_000A,HISTORY_d56e_0018,"Childrens Crusade"
HISTORY_OPT_bfb8_000B,HISTORY_d56e_0018,"Albigensian Crusade"
HISTORY_OPT_bb86_000C,HISTORY_d56e_0018,"Fourth Crusade"
HISTORY_OPT_4b15_000D,HISTORY_d56e_0018,"Third Crusade"
HISTORY_OPT_38bd_000A,HISTORY_7ae4_0019,"Xia Dynasty"
HISTORY_OPT_d076_000B,HISTORY_7ae4_0019,"Qing (Manchu) Dynasty"
HISTORY_OPT_ab47_000C,HISTORY_7ae4_0019,"Ming Dynasty"
HISTORY_OPT_456f_000D,HISTORY_7ae4_0019,"Yuan Dynasty"
HISTORY_OPT_9c6f_000A,HISTORY_05b6_0020,"Erwin Rommel"
HISTORY_OPT_5dd4_000B,HISTORY_05b6_0020,"Hermann Goring"
HISTORY_OPT_b01f_000C,HISTORY_05b6_0020,"George Patton"
HISTORY_OPT_d8e2_000D,HISTORY_05b6_0020,"Bernard Montgomery"
HISTORY_OPT_7df2_000A,HISTORY_c176_0021,False
HISTORY_OPT_b084_000B,HISTORY_c176_0021,True
HISTORY_OPT_55eb_000A,HISTORY_42d7_0022,Four
HISTORY_OPT_36d9_000B,HISTORY_42d7_0022,Six
HISTORY_OPT_274a_000C,HISTORY_42d7_0022,Five
HISTORY_OPT_1aca_000D,HISTORY_42d7_0022,Three
HISTORY_OPT_e4d3_000A,HISTORY_d91b_0023,P-51
HISTORY_OPT_df54_000B,HISTORY_d91b_0023,Hurricane
HISTORY_OPT_de01_000C,HISTORY_d91b_0023,Me-262
HISTORY_OPT_1b52_000D,HISTORY_d91b_0023,MIG-3
HISTORY_OPT_beab_000A,HISTORY_75fa_0024,"Rudolph Hess"
HISTORY_OPT_306b_000B,HISTORY_75fa_0024,"Albert Speer"
HISTORY_OPT_6370_000C,HISTORY_75fa_0024,"Hermann Goring"
HISTORY_OPT_8992_000D,HISTORY_75fa_0024,"Joseph Mengele"
HISTORY_OPT_62fc_000A,HISTORY_a123_0025,Brest
HISTORY_OPT_6bc7_000B,HISTORY_a123_0025,Cherbourg
HISTORY_OPT_1524_000C,HISTORY_a123_0025,Dunkirk
HISTORY_OPT_c927_000D,HISTORY_a123_0025,Toulon
HISTORY_OPT_a0f2_000A,HISTORY_1fa7_0026,"Benjamin Franklin"
HISTORY_OPT_80dd_000B,HISTORY_1fa7_0026,"Thomas Jefferson"
HISTORY_OPT_0aa4_000C,HISTORY_1fa7_0026,"Abraham Lincoln"
HISTORY_OPT_6c99_000D,HISTORY_1fa7_0026,"George Washington"
HISTORY_OPT_0dc8_000A,HISTORY_69c9_0027,"William J. Clinton"
HISTORY_OPT_3ba2_000B,HISTORY_69c9_0027,"Franklin D. Roosevelt"
HISTORY_OPT_9c43_000C,HISTORY_69c9_0027,"Abraham Lincoln"
HISTORY_OPT_7014_000D,HISTORY_69c9_0027,"John F. Kennedy"
HISTORY_OPT_6809_000A,HISTORY_eef8_0028,"Abraham Lincoln"
HISTORY_OPT_3f64_000B,HISTORY_eef8_0028,"Thomas Jefferson"
HISTORY_OPT_3dfa_000C,HISTORY_eef8_0028,"Benjamen Franklin"
HISTORY_OPT_58e1_000D,HISTORY_eef8_0028,"John F. Kennedy"
HISTORY_OPT_a756_000A,HISTORY_3e14_0029,"George W. Bush"
HISTORY_OPT_e447_000B,HISTORY_3e14_0029,"Thomas Jefferson"
HISTORY_OPT_4e92_000C,HISTORY_3e14_0029,"John Adams"
HISTORY_OPT_69d5_000D,HISTORY_3e14_0029,"George Washington"
HISTORY_OPT_fab2_000A,HISTORY_1721_0030,False
HISTORY_OPT_7ea9_000B,HISTORY_1721_0030,True
HISTORY_OPT_32e7_000A,HISTORY_bae4_0031,"Benjamin Franklin"
HISTORY_OPT_f393_000B,HISTORY_bae4_0031,"Abraham Lincoln"
HISTORY_OPT_36f5_000C,HISTORY_bae4_0031,"George Washington"
HISTORY_OPT_5480_000D,HISTORY_bae4_0031,"Thomas Jefferson"
HISTORY_OPT_8aef_000A,HISTORY_d10d_0032,Winchester
HISTORY_OPT_d094_000B,HISTORY_d10d_0032,Kalashnikov
HISTORY_OPT_ddf4_000C,HISTORY_d10d_0032,"GIAT Industries"
HISTORY_OPT_a3f4_000D,HISTORY_d10d_0032,"Magnum Research Inc."
HISTORY_OPT_43a9_000A,HISTORY_0caf_0033,245
HISTORY_OPT_60a4_000B,HISTORY_0caf_0033,345
HISTORY_OPT_9bd3_000C,HISTORY_0caf_0033,153
HISTORY_OPT_98a2_000D,HISTORY_0caf_0033,120
HISTORY_OPT_824b_000A,HISTORY_8d7a_0034,"Alexander The Great"
HISTORY_OPT_7737_000B,HISTORY_8d7a_0034,Darius
HISTORY_OPT_3fdb_000C,HISTORY_8d7a_0034,"Julius Caesar"
HISTORY_OPT_0044_000D,HISTORY_8d7a_0034,Augustus
HISTORY_OPT_1770_000A,HISTORY_c431_0035,Augustus
HISTORY_OPT_e86a_000B,HISTORY_c431_0035,"Gaius Marius"
