question,QID,answer,answer_OID
"Which vegetables are considered taboo food in Buddhist tradition?",HUMANITIES_ae1c_0001,"Garlic and onion",HUMANITIES_OPT_8e52_000B
"Is this the correct usage of the word inferring? By saying that I look good today, are you inferring that I did not look good yesterday?",HUMANITIES_4b95_0002,No,HUMANITIES_OPT_667c_000A
"Is this the correct usage of the word continually? Professor Smith gave a speech yesterday. He spoke continually for 3 hours.",HUMANITIES_cfc4_0003,No,HUMANITIES_OPT_371d_000A
"Which of these sentences is correct?",HUMANITIES_3180_0004,"Whence did he come?",HUMANITIES_OPT_b635_000B
"Which of these is correct?",HUMANITIES_8bca_0005,"The capitol building is located in the capital.",HUMANITIES_OPT_13f8_000C
"In the following sentence, which word is incorrect? The schools unprincipled principal understands the principle of the argument.",HUMANITIES_72bf_0006,"None of the words is incorrect; the sentence is correct as is.",HUMANITIES_OPT_2542_000D
"Which of the following is NOT a synonym of the word reticent?",HUMANITIES_1c56_0007,"These are all synonyms of the word reticent.",HUMANITIES_OPT_0fd3_000A
"Which of the following is incorrect?",HUMANITIES_6061_0008,"These are all correct usages of the word comprised.",HUMANITIES_OPT_6cb4_000C
"Which of these is incorrect?",HUMANITIES_cade_0009,"All of these sentences are correct.",HUMANITIES_OPT_0c77_000B
"Which of these sentences means I love you in Spanish?",HUMANITIES_2cc6_0010,"Te amo.",HUMANITIES_OPT_99e6_000A
"Rakastan sinua is one of the ways to say I love you in which European language?",HUMANITIES_742e_0011,Finnish,HUMANITIES_OPT_6bb1_000C
"Which expression would you use to say I love you in Danish?",HUMANITIES_af72_0012,"Jeg elsker dig.",HUMANITIES_OPT_f1da_000A
"In what European language does Je taime mean I love you?",HUMANITIES_4ea5_0013,French,HUMANITIES_OPT_ba41_000D
"Which of the following sentences means I love you in German?",HUMANITIES_3b9e_0014,"Ich liebe Dich.",HUMANITIES_OPT_b19e_000A
"Volim te means I love you in three of these European languages. Which is the odd one?",HUMANITIES_b9d8_0015,Italian,HUMANITIES_OPT_3aed_000C
"What is the Swahili expression for I love you?",HUMANITIES_9265_0016,Nakupenda,HUMANITIES_OPT_1544_000B
"In which Turkic language does Seni seviyorum mean I love you?",HUMANITIES_42c6_0017,Turkish,HUMANITIES_OPT_637b_000D
"Name this artificially-constructed international language, in which Mi amas vin means I love you.",HUMANITIES_18de_0018,Esperanto,HUMANITIES_OPT_9b0b_000D
"Which of these sentences means I love you in Dutch?",HUMANITIES_1551_0019,"Ik hou van jou.",HUMANITIES_OPT_fbf9_000B
"The implement, used to extinguish the flame of a candle, is called this.",HUMANITIES_fbe2_0020,Candlesnuffer,HUMANITIES_OPT_778a_000D
"When something contains or yields an acid, it is this.",HUMANITIES_cf4c_0021,Acidiferous,HUMANITIES_OPT_3adc_000A
"The monitoring, recording, and measuring of a living organisms basic physiological functions is known as this.",HUMANITIES_c0c3_0022,Biotelemetry,HUMANITIES_OPT_e83d_000D
"Enterokinase is this.",HUMANITIES_f4ec_0023,Enzyme,HUMANITIES_OPT_f1fb_000C
"Copious perspiration is known as this.",HUMANITIES_a015_0024,Diaphoresis,HUMANITIES_OPT_3572_000A
"Gerontology is the branch of medical science that deals with diseases and problems specific to these people.",HUMANITIES_1612_0025,Elderly,HUMANITIES_OPT_4d95_000B
"One of these terms means preserving the mutual relations of parts, especially as to size and form; maintaining relative proportion.",HUMANITIES_e677_0026,Homolographic,HUMANITIES_OPT_5dde_000D
"Hyperplasia is the abnormal increase in the number of these.",HUMANITIES_866f_0027,Cells,HUMANITIES_OPT_53d5_000D
"The authority to teach religious doctrine is referred to as this.",HUMANITIES_40ca_0028,Magisterium,HUMANITIES_OPT_0514_000D
"The word vampire is a very controversial one, when it comes to its etymology. There are many theories about its origin and meaning. According to one of these theories, vampire comes from the Magyar words vam, meaning blood, and pir. What does pir mean in Magyar?",HUMANITIES_2ad4_0029,Monster,HUMANITIES_OPT_436d_000D
"One of the most famous vampires is Dracula (some believe that he was the first vampire). In Romanian Dracul means either Dragon or Devil and therefore Dracula is translated as Son of the Dragon or Son of the Devil. Due to his favorite sadistic punishment, Vlad Dracula was nicknamed Tepes.  He preferred to kill those who opposed him in this manner.",HUMANITIES_7dfa_0030,Impalement,HUMANITIES_OPT_ff3a_000C
"Vlad Tepes was one of the major allies of the Ottoman Empire, therefore Romania was never put under Ottoman rule.",HUMANITIES_e69e_0031,False,HUMANITIES_OPT_7f18_000B
"Of course everybody knows about the Blood Vampires. They feed on the blood of their victims and prefer sucking it from the neck, the wrist or the groin. But there is another, less known, kind of vampires.  What do they feed on?",HUMANITIES_f90b_0032,Aura,HUMANITIES_OPT_e72b_000D
"Vampires are common to the folklore of many countries. The Civatateo is an Aztec vampire, created when a noblewoman died at childbirth. In aboriginal mythology, vampires had suckers on their fingers. What are the Yakshis (sort of Indian vampires) like?",HUMANITIES_a43c_0033,"Beautiful women",HUMANITIES_OPT_6d13_000A
"It is believed that you can stop a vampire, by throwing rice or marbles on the floor.",HUMANITIES_743e_0034,True,HUMANITIES_OPT_e0ab_000B
"One of the most popular ways of killing a vampire (apart from the trivial sharp wooden stick in the heart), is to expose the creature to sunlight. However, there is a disease, that has similar symptoms. People who suffer from it are very sensitive to sunlight and avoid going out during the day. What is this horrible disease?",HUMANITIES_98d4_0035,Porphyria,HUMANITIES_OPT_dbe5_000D
"This woman was believed to be a vampire. She was obsessed with her beauty and youth, and slaughtered as many as six hundred innocent women in an attempt to maintain her vitality. Although her guilt has never been proven, she is still one of the most famous serial killers in Hungarian and Slovak history.",HUMANITIES_585f_0036,"Elizabeth Bathory",HUMANITIES_OPT_561e_000D
"Silver doesnt harm vampires.",HUMANITIES_fca5_0037,False,HUMANITIES_OPT_fef5_000A
"Peter Kurten was called a vampire, because he consumed the blood of some of his victims. He was accused of nine murders and seven attempted murders and was sentenced to death. He was guillotined on 2 June 1932. What was his nationality?",HUMANITIES_0889_0038,German,HUMANITIES_OPT_f027_000D
"The great circle on the celestial sphere, midway between the celestial poles is called this.",HUMANITIES_59d4_0039,Equinoctial,HUMANITIES_OPT_dd96_000D
"If I am famous for my steadiness of mind under stress, then I am famous for this.",HUMANITIES_a9b0_0040,Equanimity,HUMANITIES_OPT_d296_000C
"If a statement is ambiguous, it is said to be this.",HUMANITIES_e49b_0041,Equivocal,HUMANITIES_OPT_6025_000C
"One of the four pairs of words below contains two synonyms.",HUMANITIES_c566_0042,"Equal - Equivalent",HUMANITIES_OPT_7a2a_000A
"Do the words equivoke and equivoque mean the same?",HUMANITIES_2564_0043,Yes,HUMANITIES_OPT_aa47_000B
"Gilgamesh is a character from the Sumerian mythology.",HUMANITIES_4caa_0044,True,HUMANITIES_OPT_684d_000A
"Athena was the Greek equivalent of the goddess Minerva.",HUMANITIES_5852_0045,True,HUMANITIES_OPT_0703_000A
"Nike was a goddess, who personified triumph and victory (Greek mythology). Ironically, she was paralyzed and could not move her legs.",HUMANITIES_56e6_0046,False,HUMANITIES_OPT_113a_000A
"Helicon is the name of an ancient lake, where the Muses were born.",HUMANITIES_015b_0047,False,HUMANITIES_OPT_b47d_000B
"Calliope was the muse for music.",HUMANITIES_55fa_0048,False,HUMANITIES_OPT_29ae_000B
"Marduk was a Mesopotamian deity.",HUMANITIES_e0fb_0049,True,HUMANITIES_OPT_b59c_000B
"Svarog is the highest god of the pantheon (Slavic mythology) and the god of thunder and lightning.",HUMANITIES_7860_0050,False,HUMANITIES_OPT_fd65_000B
"The creature from Slavic mythology known as Zmey actually resembles a dragon.",HUMANITIES_4756_0051,True,HUMANITIES_OPT_179e_000B
"Loki is the god of mischief of Norse mythology.",HUMANITIES_078d_0052,True,HUMANITIES_OPT_d625_000A
"One of these words has mid-17th century Latin origins and is a synonym of the word, wavy.",HUMANITIES_d9ed_0053,Undulate,HUMANITIES_OPT_86e3_000D
"Which of these definitions does not describe a present day meaning of the word sesquipedalian?",HUMANITIES_e2c9_0054,"Having a lot of feet",HUMANITIES_OPT_2163_000B
"The archaic word wittol, already out of use and found mostly in old books, stands for a person who is very wise.",HUMANITIES_11f5_0055,False,HUMANITIES_OPT_bf5b_000B
"Which of these words is used to describe something with a yellow color or tending toward a yellow color?",HUMANITIES_5495_0056,Xanthic,HUMANITIES_OPT_f5b1_000D
"The word “promiscuous�? is used in physical description to refer to someone with exclusive charm and sex appeal.",HUMANITIES_4644_0057,False,HUMANITIES_OPT_4765_000A
"We all know purple and its numerous variations, but can you name the odd one in this synonymic order dedicated to the shade of purple?",HUMANITIES_7df2_0058,Indigo,HUMANITIES_OPT_a8d6_000B
"Having in mind the words meaning, does it  fit in the following analogy: Juvenile is to young as *geriatric* is to aged.",HUMANITIES_2b17_0059,Yes,HUMANITIES_OPT_51c8_000B
"The amarok, which is typical for the mythology of the Eskimos, is what kind of an animal?",HUMANITIES_37fd_0060,wolf,HUMANITIES_OPT_1f56_000D
"The banshee, a female spirit in Irish mythology, is known for doing what?",HUMANITIES_28a3_0061,Wailing,HUMANITIES_OPT_0c7b_000D
"The hippocampus, a mythical monster with the head of a horse and body of a fish, pulled the chariot of which god?",HUMANITIES_22a9_0062,Poseidon,HUMANITIES_OPT_08ef_000B
"Anubis was the jackal-headed judge of the dead from what mythology?",HUMANITIES_928b_0063,Egyptian,HUMANITIES_OPT_c623_000A
"The Kraken from seafaring lore was a monster often described as what?",HUMANITIES_b2b5_0064,"Giant squid",HUMANITIES_OPT_b960_000D
"A brownie is a legendary elf popular in the folklore of which two countries?",HUMANITIES_44ba_0065,"England  Scotland",HUMANITIES_OPT_a42e_000B
"A cuero is a mythical giant octopus of which continent?",HUMANITIES_a7bd_0066,"South America",HUMANITIES_OPT_7f53_000A
"A dwarf is a little humanoid creature with a large head and a long beard, typical for what mythology?",HUMANITIES_e284_0067,Scandinavian,HUMANITIES_OPT_bf6b_000D
"A ghul is an evil spirit encountered by travelers in what area of the world?",HUMANITIES_af06_0068,"Arabian Dessert",HUMANITIES_OPT_4398_000A
"The wodewose is a club-wielding ogre with green hair who suffers from what malady?",HUMANITIES_e7cb_0069,"He was mute",HUMANITIES_OPT_907c_000A
"The gods Atum and Ra merged.  The dominant of the two was Ra.",HUMANITIES_54a2_0070,True,HUMANITIES_OPT_1adb_000A
"Priests often wore a mask of this god during mummification ceremonies.",HUMANITIES_2295_0071,Anubis,HUMANITIES_OPT_0652_000D
"God Bes was depicted as this.",HUMANITIES_10bb_0072,"Dwarf with lion and human features",HUMANITIES_OPT_1266_000A
"Osiris had an equivalent in Greek mythology.  Who was this counterpart of his?",HUMANITIES_cedb_0073,Hades,HUMANITIES_OPT_2a0f_000C
"Tefnut had the body of a lioness.",HUMANITIES_9dfa_0074,False,HUMANITIES_OPT_fdde_000A
"The name of god Amen means this.",HUMANITIES_544b_0075,"The Hidden One",HUMANITIES_OPT_6d6b_000D
"At first, there was only this god. He was the dark waters of chaos.",HUMANITIES_7c19_0076,Nun,HUMANITIES_OPT_6e92_000A
"The word tycoon means a wealthy businessperson.  What language does it come from?",HUMANITIES_478a_0077,Chinese,HUMANITIES_OPT_729e_000D
"Apart from being the name of a well-known rock group, placebo also means an innocuous medicine, prescribed only for psychological effect over the patient or for experimentations. But what is its true meaning in Latin?",HUMANITIES_68a1_0078,"I shall please",HUMANITIES_OPT_3e99_000C
"The original meaning of the word grotesque was very different from the one we know. What was it?",HUMANITIES_58ab_0079,Fantastic,HUMANITIES_OPT_c7bc_000D
"The Amazon estuary is truly magnificent. The word estuary comes from this language.",HUMANITIES_ec42_0080,Latin,HUMANITIES_OPT_d3c9_000A
"The word devil is derived from the Greek word diabolos. What does diabolos mean?",HUMANITIES_83d2_0081,Accuser,HUMANITIES_OPT_47fd_000B
"After a divorce, the court might order one of the sides to pay an alimony. What are the origins of the word alimony?",HUMANITIES_a271_0082,Latin,HUMANITIES_OPT_991b_000C
"The Greek word kome means hair of the head. Which one of these words derives from it?",HUMANITIES_3c6c_0083,Comet,HUMANITIES_OPT_e170_000C
"The name of the flower dandelion comes from this language.",HUMANITIES_b529_0084,French,HUMANITIES_OPT_36ac_000C
"A good sense of humor is highly valued everywhere. The original meaning of the word humor in Latin (more accurately umor) is this.",HUMANITIES_c059_0085,"Body fluid",HUMANITIES_OPT_5000_000B
"The word nice is very popular nowadays, but its original meaning in Latin is not as nice.",HUMANITIES_e282_0086,Ignorant,HUMANITIES_OPT_334f_000C
"The longest word in the English language is pneumonoultramicroscopicsilicovolcanoconiosis. It consists of 45 letters and stands for this.",HUMANITIES_ab2b_0087,Disease,HUMANITIES_OPT_1c18_000C
"One of the following words is a synonym of the word cognoscente.",HUMANITIES_6127_0088,Connoisseur,HUMANITIES_OPT_b81f_000D
"The word razzmatazz means this.",HUMANITIES_2d6c_0089,"Ambiguous language",HUMANITIES_OPT_a1c3_000A
"A nap in the early afternoon is called by this word taken from Spanish.",HUMANITIES_e08c_0090,Siesta,HUMANITIES_OPT_05da_000D
"Crwth is a fascinating word. It has no vowels. This is what it means.",HUMANITIES_d451_0091,"Musical instrument",HUMANITIES_OPT_b593_000B
"The she-goat Amalthea, which nursed baby Zeus, is represented by what constellation?",HUMANITIES_4817_0092,Capra,HUMANITIES_OPT_b886_000C
"This constellation was named after a Greek goddess. She was beautiful, but conceited. In order to punish her for that, Poseidon sent her figure to the skies upside down.",HUMANITIES_b903_0093,Cassiopeia,HUMANITIES_OPT_20bd_000D
"There are many myths about this constellation. The earliest one, however, comes from a Sumerian legend about a female dragon, who ruled over the primordial ocean before the creation. But new gods rebelled against her and sent her to the skies.",HUMANITIES_9258_0094,Draco,HUMANITIES_OPT_ec53_000B
"Although it is a galaxy, the story about its creation is not less intriguing. Many legends associate its formation with milk spilled in one way or another. However, a Mesopotamian legend explains another thing. After the deluge the ark of Utnapishtim, the Sumerian Noah, was stuck on Mount Ararat. He then made a sacrifice to the gods and this galaxy was created out of the smoke of the fire.",HUMANITIES_a676_0095,"The Milky Way",HUMANITIES_OPT_841d_000D
"This constellation was named after a creature from the Greek mythology which is a combination between a human and a horse. Such creatures were of violent nature but there was one exception - Chiron, who was the tutor of Hercules.",HUMANITIES_0ebe_0096,Centaur,HUMANITIES_OPT_7563_000D
"This is a star group in Taurus. It was called after the seven daughters of the Titan Atlas and the Nymph Plieone - Alcyone, Maia, Electra, Merope, Taygeta, Celaeno, and Sterope.",HUMANITIES_8b1b_0097,Pleiades,HUMANITIES_OPT_5a61_000C
"This constellation was named after a Greek hero who bragged to be the greatest hunter. Goddess Hera heard that and sent a scorpion after him to test his skills. The hero was stung to death by the scorpion. Zeus felt sorry and sent him to the sky.",HUMANITIES_0855_0098,Orion,HUMANITIES_OPT_8fd8_000D
"This constellation is often associated with Ganymede, who was a beautiful Phrygian youngster. Jupiter once saw him, fell in love with the lad and came to the earth as a bird, which took him to the skies. Since then he has served as the cup bearer of the gods.",HUMANITIES_65ae_0099,Aquarius,HUMANITIES_OPT_dcbd_000B
