question,QID,answer,answer_OID
"I would rather be a ghost drifting by your side as a condemned soul than enter heaven without you. Because of your love, I will never be a lonely spirit. (2000)",MOVIES_ca44_0001,"Crouching Tiger, Hidden Dragon",MOVIES_OPT_faec_000C
"There are only four questions of value in life. What is sacred? Of what is the spirit made of? What is worth living for? What is worth dying for? The answer to each is the same. Only love. (1995)",MOVIES_12ff_0002,"Don Juan DeMarco",MOVIES_OPT_6122_000B
"I have crossed oceans of time to find you. (1992)",MOVIES_5bda_0003,Dracula,MOVIES_OPT_2b60_000D
"I came here tonight because when you realize you want to spend the rest of your life with somebody, you want the rest of your life to start as soon as possible. (1989)",MOVIES_4309_0004,"When Harry Met Sally",MOVIES_OPT_0348_000A
"Love has given me wings so I must fly. (2001)",MOVIES_672b_0005,"A Knights Tale",MOVIES_OPT_4e90_000A
"Love? Above all things I believe in love! Love is like oxygen! Love is a many splendored thing, love lifts us up where we belong, all you need is love! (2001)",MOVIES_473f_0006,"Moulin Rouge",MOVIES_OPT_66de_000D
"It doesnt matter if the guy is perfect or the girl is perfect, as long as they are perfect for each other. (1997)",MOVIES_bb70_0007,"Good Will Hunting",MOVIES_OPT_8f0c_000D
"I am someone else when Im with you, someone more like myself. (2001)",MOVIES_7af6_0008,"Original Sin",MOVIES_OPT_beb1_000D
"If he loved you with all the power of his soul for a whole lifetime, he couldnt love you as much as I do in a single day. (1992)",MOVIES_2c82_0009,"Wuthering Heights",MOVIES_OPT_6fa7_000B
"Take love, multiply it by infinity and take it to the depths of forever� and you still have only a glimpse of how I feel for you. (1998)",MOVIES_0157_0010,"Meet Joe Black",MOVIES_OPT_b8d1_000D
"One of these James Bond movies was not released during the 80s.",MOVIES_c0ec_0011,Moonraker,MOVIES_OPT_1b01_000C
"It is a dark time for the Rebellion. Although the Death Star has been destroyed, Imperial troops have driven the Rebel forces from their hidden base and pursued them across the galaxy. The above-quoted opening scroll belongs to this movie.",MOVIES_00a5_0012,"The Empire Strikes Back",MOVIES_OPT_8518_000D
"This is Babys real name in Dirty Dancing (1987).",MOVIES_da4c_0013,Frances,MOVIES_OPT_22bb_000B
"In A Nightmare On Elm Street, Nancy lives on Elm Street, located in this fictional city in Ohio.",MOVIES_eb47_0014,Springwood,MOVIES_OPT_5006_000C
"In the movie Rain Man, Raymond and Charlie are at the restaurant when a waitress drops a box of toothpicks. This prompts Raymond to instantly calculate the number of toothpicks on the floor. This was their number.",MOVIES_d295_0015,246,MOVIES_OPT_a0d8_000A
"One of these actors did not star in Tootsie.",MOVIES_0013_0016,"Larry Gelbart",MOVIES_OPT_9739_000D
"Axel Foley in Beverly Hills Cop is originally a policeman from this city.",MOVIES_5479_0017,Detroit,MOVIES_OPT_fcdb_000A
"Indiana Jones from the movie of the same name could write and speak this number of languages.",MOVIES_6ace_0018,27,MOVIES_OPT_94f2_000B
"A group of Earth children help a stranded alien botanist return home is the plot outline of this movie.",MOVIES_d40f_0019,"E.T. the Extra-Terrestrial",MOVIES_OPT_7186_000D
"What year did the movie The Shawshank Redemption hit the movie theatres?",MOVIES_9634_0020,1994,MOVIES_OPT_43fe_000B
"What was the name of the Warden in the hit movie The Shawshank Redemption ?",MOVIES_9e6b_0021,"Samuel Norton",MOVIES_OPT_9989_000B
"What decade was Andy Dufresne sent to the Shawshank prison in the movie The Shawshank Redemption?",MOVIES_bc90_0022,1940s,MOVIES_OPT_0f0f_000A
"In the popular movie The Shawshank Redemption Andy Dufresne has a poster hanging on his wall in his jail cell. Who is the famous actress on this poster?",MOVIES_6f9a_0023,"Rita Hayworth",MOVIES_OPT_533c_000C
"In the movie The Shawshank Redemption Andy Dufresne had a best friend in jail named Red. Why did they call him Red?",MOVIES_5727_0024,"It was short for his last name.",MOVIES_OPT_2aa6_000B
"Andy Dufresne, the main character in the movie The Shawshank Redemption, asks Captain Byron Hadley for some suds for his fellow workers, while they are working together on the roof. What kind of beer did the prisoners get?",MOVIES_ce70_0025,Strohs,MOVIES_OPT_e1ae_000A
"Clancy Brown, who played Captain Byron Hadley in The Shawshank Redemption, appeared in a 1983 movie with actor Sean Penn.",MOVIES_8261_0026,True,MOVIES_OPT_708b_000B
"In the movie The Shawshank Redemption, what was Reds jail cell number?",MOVIES_b484_0027,237,MOVIES_OPT_2053_000A
"Does Andy Dufresne escape in the movie The Shawshank Redemption?",MOVIES_38af_0028,Yes,MOVIES_OPT_9950_000B
"Who was the director of the hit movie The Shawshank Redemption?",MOVIES_f251_0029,"Frank Darabont",MOVIES_OPT_0728_000C
"What was the budget for the movie The Shawshank Redemption?",MOVIES_f272_0030,"$ 25,000,000",MOVIES_OPT_9e01_000D
"In the movie The Shawshank Redemption, the prisoners are shown watching what movie?",MOVIES_73c3_0031,Gilda,MOVIES_OPT_0e1e_000A
"Who directed the blockbuster movie Forrest Gump?",MOVIES_0a63_0032,"Robert Zemeckis",MOVIES_OPT_9ffb_000B
"In the opening scene of the movie Forrest Gump, Forrest is sitting on a bench waiting to catch a bus in what southern U.S. city?",MOVIES_3a67_0033,Savannah,MOVIES_OPT_0612_000D
