OID,QID,text
BRAIN_TEASERS_OPT_ba56_000A,BRAIN_TEASERS_8bf6_0001,"All of these"
BRAIN_TEASERS_OPT_fe3a_000B,BRAIN_TEASERS_8bf6_0001,"They sleep standing up."
BRAIN_TEASERS_OPT_336c_000C,BRAIN_TEASERS_8bf6_0001,"They would fall asleep every 5 to 6 hours."
BRAIN_TEASERS_OPT_6982_000D,BRAIN_TEASERS_8bf6_0001,"They need more than 12 hours of sleep a day."
BRAIN_TEASERS_OPT_e3ec_000A,BRAIN_TEASERS_39d7_0002,"5 cows and 1 sheep"
BRAIN_TEASERS_OPT_4c35_000B,BRAIN_TEASERS_39d7_0002,"9 sheep"
BRAIN_TEASERS_OPT_dcba_000C,BRAIN_TEASERS_39d7_0002,"2 cows"
BRAIN_TEASERS_OPT_68c9_000D,BRAIN_TEASERS_39d7_0002,none
BRAIN_TEASERS_OPT_0899_000A,BRAIN_TEASERS_0a94_0003,"The watch"
BRAIN_TEASERS_OPT_f637_000B,BRAIN_TEASERS_0a94_0003,Fish
BRAIN_TEASERS_OPT_fab9_000C,BRAIN_TEASERS_0a94_0003,"The Mirror"
BRAIN_TEASERS_OPT_f259_000D,BRAIN_TEASERS_0a94_0003,"Old granny"
BRAIN_TEASERS_OPT_2e9d_000A,BRAIN_TEASERS_6f6b_0004,Yes
BRAIN_TEASERS_OPT_2174_000B,BRAIN_TEASERS_6f6b_0004,No
BRAIN_TEASERS_OPT_14f0_000A,BRAIN_TEASERS_2044_0005,"The rust"
BRAIN_TEASERS_OPT_d715_000B,BRAIN_TEASERS_2044_0005,Removed
BRAIN_TEASERS_OPT_9462_000C,BRAIN_TEASERS_2044_0005,"The broken"
BRAIN_TEASERS_OPT_0c43_000D,BRAIN_TEASERS_2044_0005,"The grease"
BRAIN_TEASERS_OPT_8aac_000A,BRAIN_TEASERS_1f1a_0006,"His cousin"
BRAIN_TEASERS_OPT_94b7_000B,BRAIN_TEASERS_1f1a_0006,"His grandfather"
BRAIN_TEASERS_OPT_ecd3_000C,BRAIN_TEASERS_1f1a_0006,"His son"
BRAIN_TEASERS_OPT_49f2_000D,BRAIN_TEASERS_1f1a_0006,"His nephew"
BRAIN_TEASERS_OPT_6b01_000A,BRAIN_TEASERS_dc61_0007,Yes
