OID,QID,text
PEOPLE_OPT_9208_000A,PEOPLE_1062_0001,"On a Night Like This"
PEOPLE_OPT_b65d_000B,PEOPLE_1062_0001,"Red Blooded Woman"
PEOPLE_OPT_4ed6_000C,PEOPLE_1062_0001,Chocolate
PEOPLE_OPT_f629_000D,PEOPLE_1062_0001,Slow
PEOPLE_OPT_9616_000A,PEOPLE_e586_0002,"Winston Churchill"
PEOPLE_OPT_9307_000B,PEOPLE_e586_0002,"Joseph Stalin"
PEOPLE_OPT_dcad_000C,PEOPLE_e586_0002,"Franklin D. Roosevelt"
PEOPLE_OPT_ce80_000D,PEOPLE_e586_0002,"Charles DeGaulle"
PEOPLE_OPT_7451_000A,PEOPLE_a439_0003,"Romulus Augustus"
PEOPLE_OPT_dcea_000B,PEOPLE_a439_0003,"Marcus Aurelius"
PEOPLE_OPT_f422_000C,PEOPLE_a439_0003,Tiberius
PEOPLE_OPT_5eea_000D,PEOPLE_a439_0003,Hadrian
PEOPLE_OPT_cc87_000A,PEOPLE_413b_0004,"Chevy Chase"
PEOPLE_OPT_3f6f_000B,PEOPLE_413b_0004,"Adam Sandler"
PEOPLE_OPT_5a61_000C,PEOPLE_413b_0004,"Dan Aykroyd"
PEOPLE_OPT_76fb_000D,PEOPLE_413b_0004,"Ben Stiller"
PEOPLE_OPT_c03b_000A,PEOPLE_9d15_0005,"George Herbert"
PEOPLE_OPT_d684_000B,PEOPLE_9d15_0005,"Waldo Williams"
PEOPLE_OPT_3b47_000C,PEOPLE_9d15_0005,"Bertrand Russell"
PEOPLE_OPT_f441_000D,PEOPLE_9d15_0005,"Dylan Thomas"
PEOPLE_OPT_e403_000A,PEOPLE_26db_0006,"Isobelle Carmody"
PEOPLE_OPT_0208_000B,PEOPLE_26db_0006,"Kate Morton"
PEOPLE_OPT_5b7b_000C,PEOPLE_26db_0006,"Melina Marchetta"
PEOPLE_OPT_f595_000D,PEOPLE_26db_0006,"Colleen McCullough"
PEOPLE_OPT_6fcf_000A,PEOPLE_750f_0007,"Keren Woodward"
PEOPLE_OPT_9ce1_000B,PEOPLE_750f_0007,"Rozonda Chilli Thomas"
PEOPLE_OPT_0b0e_000C,PEOPLE_750f_0007,"Geri Halliwell"
PEOPLE_OPT_02cc_000D,PEOPLE_750f_0007,"Kelly Rowland"
PEOPLE_OPT_ba2d_000A,PEOPLE_46a0_0008,"John Erskine"
PEOPLE_OPT_9855_000B,PEOPLE_46a0_0008,"Jerome Allen"
PEOPLE_OPT_907d_000C,PEOPLE_46a0_0008,"Herbert Kohl"
PEOPLE_OPT_f904_000D,PEOPLE_46a0_0008,"John Corcoran"
PEOPLE_OPT_2e82_000A,PEOPLE_2e1d_0009,"Charles H. Spurgeon"
PEOPLE_OPT_5ac2_000B,PEOPLE_2e1d_0009,"Hugh Price Hughes"
PEOPLE_OPT_4a6f_000C,PEOPLE_2e1d_0009,"Borden Parker Bowne"
PEOPLE_OPT_163b_000D,PEOPLE_2e1d_0009,"William Burt Pope"
PEOPLE_OPT_1917_000A,PEOPLE_5aea_0010,"Al Sharpton"
PEOPLE_OPT_4865_000B,PEOPLE_5aea_0010,"Louis Farrakhan"
PEOPLE_OPT_dc0b_000C,PEOPLE_5aea_0010,"Jesse Jackson"
PEOPLE_OPT_dc9e_000D,PEOPLE_5aea_0010,"Jeremiah Wright"
PEOPLE_OPT_88fe_000A,PEOPLE_fe5d_0011,"Vince Neil"
PEOPLE_OPT_22bc_000B,PEOPLE_fe5d_0011,"Robert Plant"
PEOPLE_OPT_2efb_000C,PEOPLE_fe5d_0011,"Axl Rose"
PEOPLE_OPT_13cd_000D,PEOPLE_fe5d_0011,"Rob Halford"
PEOPLE_OPT_f81c_000A,PEOPLE_fa4e_0012,"Guru Granth Sahib"
PEOPLE_OPT_6b37_000B,PEOPLE_fa4e_0012,"Guru Nanak"
PEOPLE_OPT_ba35_000C,PEOPLE_fa4e_0012,"Guru Angad"
PEOPLE_OPT_8df9_000D,PEOPLE_fa4e_0012,"Guru Har Gobind"
PEOPLE_OPT_56df_000A,PEOPLE_3d04_0013,"Antony and Cleopatra"
PEOPLE_OPT_ed89_000B,PEOPLE_3d04_0013,"Ptolemy and Cleopatra"
PEOPLE_OPT_252d_000C,PEOPLE_3d04_0013,"Julius Caesar and Cleopatra"
PEOPLE_OPT_3ef0_000D,PEOPLE_3d04_0013,"Octavian and Cleopatra"
PEOPLE_OPT_3bed_000A,PEOPLE_979b_0014,"Alfred Lunt and Lynn Fontanne"
PEOPLE_OPT_c45f_000B,PEOPLE_979b_0014,"Shah Jahan and Raza Devi"
PEOPLE_OPT_bc76_000C,PEOPLE_979b_0014,"Abelard and Heloise"
PEOPLE_OPT_282c_000D,PEOPLE_979b_0014,"Shah Jahan and Mumtaz Mahal"
PEOPLE_OPT_b202_000A,PEOPLE_f7bd_0015,"Anthony and Cleopatra"
PEOPLE_OPT_93e1_000B,PEOPLE_f7bd_0015,"Abigail and John Adams"
PEOPLE_OPT_2346_000C,PEOPLE_f7bd_0015,"John Alden and Priscilla Mullins"
PEOPLE_OPT_28e4_000D,PEOPLE_f7bd_0015,"Marie and Pierre Curie"
PEOPLE_OPT_34d4_000A,PEOPLE_3f0e_0016,"Tutankamun and Cleopatra"
PEOPLE_OPT_d183_000B,PEOPLE_3f0e_0016,"Nefertiti and Ay"
PEOPLE_OPT_0763_000C,PEOPLE_3f0e_0016,"Amenhotep IV and Nefertiti"
PEOPLE_OPT_45e1_000D,PEOPLE_3f0e_0016,"Tutankamun and Nefertiti"
PEOPLE_OPT_21c1_000A,PEOPLE_42ff_0017,"Aspasia and Plutarch"
PEOPLE_OPT_69c6_000B,PEOPLE_42ff_0017,"Aspasia and Plato"
PEOPLE_OPT_f31d_000C,PEOPLE_42ff_0017,"Aspasia and Pericles"
PEOPLE_OPT_4562_000D,PEOPLE_42ff_0017,"Aspasia and Xenophon"
PEOPLE_OPT_7b48_000A,PEOPLE_d7d8_0018,"Marilyn Monroe and Joe DiMagio"
PEOPLE_OPT_ab58_000B,PEOPLE_d7d8_0018,"Marilyn Monroe and John Kennedy"
PEOPLE_OPT_e784_000C,PEOPLE_d7d8_0018,"Ava Gardner and Bobby Kennedy"
PEOPLE_OPT_6c6c_000D,PEOPLE_d7d8_0018,"Ava Gardner and Frank Sinatra"
PEOPLE_OPT_3e00_000A,PEOPLE_fef5_0019,"Charles and Katherine Dickens"
PEOPLE_OPT_b2f6_000B,PEOPLE_fef5_0019,"Robert and Elizabeth Browning"
PEOPLE_OPT_50cd_000C,PEOPLE_fef5_0019,"Marie and Pierre Curie"
PEOPLE_OPT_8ecf_000D,PEOPLE_fef5_0019,"Sappho and Homer"
PEOPLE_OPT_1e12_000A,PEOPLE_93ab_0020,"Napoleon and Josephine Baker"
PEOPLE_OPT_2841_000B,PEOPLE_93ab_0020,"Napoleon and Josephine"
PEOPLE_OPT_b9ec_000C,PEOPLE_93ab_0020,"Alexander the Great and Cleopatra"
PEOPLE_OPT_4939_000D,PEOPLE_93ab_0020,"Amenhotep and Nefertiti"
PEOPLE_OPT_7723_000A,PEOPLE_8419_0021,"Bonnie and Clyde"
PEOPLE_OPT_2b14_000B,PEOPLE_8419_0021,"Cuocolo and Cutinelli"
PEOPLE_OPT_d989_000C,PEOPLE_8419_0021,"Barre and Lebiez"
PEOPLE_OPT_f632_000D,PEOPLE_8419_0021,"Lou Jean Poplin and Clovis"
PEOPLE_OPT_6dee_000A,PEOPLE_7ba0_0022,"Charles and Camilla"
PEOPLE_OPT_a226_000B,PEOPLE_7ba0_0022,"Kate Beckingsale and Len Wisemen"
PEOPLE_OPT_393f_000C,PEOPLE_7ba0_0022,"Catherine Zeta-Jones and Michael Douglas"
PEOPLE_OPT_07f9_000D,PEOPLE_7ba0_0022,"Jason Priestley and Naomi Lowde"
PEOPLE_OPT_e19a_000A,PEOPLE_a362_0023,"The Crusher from Conrad"
PEOPLE_OPT_c2a8_000B,PEOPLE_a362_0023,"The Yankee menace"
PEOPLE_OPT_f6ae_000C,PEOPLE_a362_0023,"The Sultan of Swat"
PEOPLE_OPT_15bb_000D,PEOPLE_a362_0023,"The Prince of Power"
PEOPLE_OPT_5a98_000A,PEOPLE_c4fa_0024,"The Galloping Ghost"
PEOPLE_OPT_7d0a_000B,PEOPLE_c4fa_0024,"The Illini Rocket"
PEOPLE_OPT_3b40_000C,PEOPLE_c4fa_0024,"Greased Lightning"
PEOPLE_OPT_edd8_000D,PEOPLE_c4fa_0024,"The Wheatfield Warrior"
PEOPLE_OPT_e84c_000A,PEOPLE_e493_0025,"Mr. Gearhead"
PEOPLE_OPT_00b5_000B,PEOPLE_e493_0025,"Mr. Amazing"
PEOPLE_OPT_cc7f_000C,PEOPLE_e493_0025,"Mr. Fantastic"
PEOPLE_OPT_a8aa_000D,PEOPLE_e493_0025,"Mr. Clutch"
PEOPLE_OPT_af74_000A,PEOPLE_5b4f_0026,Maradonna
PEOPLE_OPT_fe41_000B,PEOPLE_5b4f_0026,Carmingo
PEOPLE_OPT_708b_000C,PEOPLE_5b4f_0026,"Barloli Dominguez"
PEOPLE_OPT_4e2e_000D,PEOPLE_5b4f_0026,Pele
PEOPLE_OPT_402e_000A,PEOPLE_4ad3_0027,"The Golden Eagle"
PEOPLE_OPT_187e_000B,PEOPLE_4ad3_0027,"The Golden Buckeye"
PEOPLE_OPT_f80e_000C,PEOPLE_4ad3_0027,"The Golden Swing"
PEOPLE_OPT_c761_000D,PEOPLE_4ad3_0027,"The Golden Bear"
PEOPLE_OPT_ffa8_000A,PEOPLE_87d9_0028,Booster
PEOPLE_OPT_21c2_000B,PEOPLE_87d9_0028,Rocket
PEOPLE_OPT_4241_000C,PEOPLE_87d9_0028,Ram
PEOPLE_OPT_2cac_000D,PEOPLE_87d9_0028,"The Australian Lion"
PEOPLE_OPT_5dee_000A,PEOPLE_0a09_0029,"White Shoes"
