question,QID,answer,answer_OID
"Which of these is true about the sleep of zebras?",BRAIN_TEASERS_8bf6_0001,"They sleep standing up.",BRAIN_TEASERS_OPT_fe3a_000B
"A farmer had 12 sheep and 3 cows. All of the animals except 9 sheep died. How many animals did he have left in his farm?",BRAIN_TEASERS_39d7_0002,"9 sheep",BRAIN_TEASERS_OPT_4c35_000B
"I dont speak, I cannot hear, but I always tell the truth.",BRAIN_TEASERS_0a94_0003,"The Mirror",BRAIN_TEASERS_OPT_fab9_000C
"Can a Roman Catholic man from California marry his widows sister who is from Texas?",BRAIN_TEASERS_6f6b_0004,No,BRAIN_TEASERS_OPT_2174_000B
"How does this proverb continue: The squeaking wheel gets ...",BRAIN_TEASERS_2044_0005,"The grease",BRAIN_TEASERS_OPT_0c43_000D
"An old man was looking at a photograph of a young man. Somebody asked him who it was. The mans answer was the following: Brothers and sisters, I have none. But that mans father is my fathers son. Who was in the photograph?",BRAIN_TEASERS_1f1a_0006,"His son",BRAIN_TEASERS_OPT_ecd3_000C
"A shepherd from a village tended the sheep of those of his fellow villagers who did not tend their own. However, he did not tend the sheep of those villagers who tended their own sheep. In that village, there was only one shepherd and he also had several sheep. Can all this be true?",BRAIN_TEASERS_dc61_0007,No,BRAIN_TEASERS_OPT_3cf8_000B
"A famous story begins like that, It was a clear summer day and my family was preparing dinner for the New Years Eve. Can this story be true?",BRAIN_TEASERS_8ca6_0008,Yes,BRAIN_TEASERS_OPT_3837_000A
"In a basket there are five apples. We give the five apples to five kids so that each kid receives an apple. However, in the basket there is still one apple. Is this possible?",BRAIN_TEASERS_5437_0009,Yes,BRAIN_TEASERS_OPT_197e_000A
"Two days ago my son was three years old and next year he will be 6.  This could be a correct statement.",BRAIN_TEASERS_eeff_0010,True,BRAIN_TEASERS_OPT_a2e8_000B
"The single difference between the two cities A and B was that the citizens of A always said the truth, while the citizens of B never did. Once, a man who had never been to either city arrived at one of them. Which question should the man have asked in order to identify the city he was in? Have in mind, that people from A often visited their friends in B and vice versa.",BRAIN_TEASERS_adfa_0011,"Are you a citizen of this city?",BRAIN_TEASERS_OPT_7519_000D
"You have two right triangles. The sides of the first one are 3 m, 4 m and 5 m. The sides of the second are 3 m, 4 m and 7 m. The area of the second triangle is bigger.",BRAIN_TEASERS_16db_0012,False,BRAIN_TEASERS_OPT_572e_000B
"What number comes next in the row - 31, 28, 31, 30, ?",BRAIN_TEASERS_20f0_0013,31,BRAIN_TEASERS_OPT_0a1b_000B
"If you were running a race and passed the person in second place, what place would you be in?",BRAIN_TEASERS_1d25_0014,2nd,BRAIN_TEASERS_OPT_6600_000B
"What number comes next: 1, 11, 21, 1211, 111221, 312211, 13112221?",BRAIN_TEASERS_e96f_0015,1113213211,BRAIN_TEASERS_OPT_699d_000D
"What is the largest number you can write out with numbers 1, 2, and 3?",BRAIN_TEASERS_66f2_0016,"10,460,353,203",BRAIN_TEASERS_OPT_d8e3_000A
"John went to a party one night.  The next day he was asked if he met a lot people at the gathering.  Figure it out for yourself, John said.  Of the girls I spoke to, all but two were blondes, all but two were brunettes, and all but two were redheads.  How many girls did he talk to?",BRAIN_TEASERS_26bc_0017,3,BRAIN_TEASERS_OPT_acca_000A
"A kid found two old coins. The first coin said it was minted in 43 BC, while the other said it was minted during the reign of Emperor Nicholas I. Which of the coins was fake?",BRAIN_TEASERS_d059_0018,Both,BRAIN_TEASERS_OPT_fa14_000B
"A contestant on a TV show had to answer 26 questions. For each correct answer he received 8 points, while a wrong answer penalized him 5 points. How many answers did the man answer correctly, bearing in mind that he eventually had 0 points?",BRAIN_TEASERS_c006_0019,10,BRAIN_TEASERS_OPT_fe6e_000D
"Lets suppose that I offer you a bet under the following conditions: I bet $1 and claim that if you give me $5 I will give you $99 in return. Will you gain something from this bet?",BRAIN_TEASERS_c633_0020,No,BRAIN_TEASERS_OPT_75f4_000B
"You can put something between the digits 2 and 3 so that the resultant number is bigger than 2 and smaller than 3.",BRAIN_TEASERS_effc_0021,True,BRAIN_TEASERS_OPT_424d_000A
"A row consists of 10 letters. The first six are - Z, O, T, T, F, F.  Which is the tenth letter?",BRAIN_TEASERS_7d32_0022,N,BRAIN_TEASERS_OPT_a043_000D
"You have a square and a circle and the perimeter of the square is equal to the circumference of the circle. Which of the two figures covers a bigger area?",BRAIN_TEASERS_1b96_0023,"The circle",BRAIN_TEASERS_OPT_fdbe_000B
"Sometimes we see 10 but say 22, see 4 but say 16.",BRAIN_TEASERS_bb22_0024,True,BRAIN_TEASERS_OPT_b680_000B
"Can you build a house so that all its walls face north?",BRAIN_TEASERS_2790_0025,Yes,BRAIN_TEASERS_OPT_3544_000A
"At the beginning of the day, I was behind a car at a stoplight, whose vanity plate read: 4SBWIU.  What is the driver of this car most likely a fan of?",BRAIN_TEASERS_71be_0026,Movies,BRAIN_TEASERS_OPT_3230_000C
"My first stop was the supermarket.  When I had completed my shopping and was in the parking lot, I spied this snazzy auto with the following vanity plate: 10S42.  What sport is the driver of this vehicle most likely a fan of?",BRAIN_TEASERS_d285_0027,Tennis,BRAIN_TEASERS_OPT_6e7e_000D
"My next errand took me all the way across town.  I decided to take a shortcut which put me on a boulevard of small, eclectic businesses.  One of these businesses I passed on my way was a fortune tellers shop.  A Cadillac was parked out front, which, I assume, belonged to the owner of the shop. What would be the most appropriate vanity plate for this automobile?",BRAIN_TEASERS_b649_0028,N2IT,BRAIN_TEASERS_OPT_6e94_000B
"On the on-ramp to the freeway, I was behind an auto with the following plate:  4IS.  What is the likely profession of the driver of this car?",BRAIN_TEASERS_f355_0029,Optometrist,BRAIN_TEASERS_OPT_579a_000B
"Well, I got caught in noon rush hour.  As luck would have it, I saw yet another vanity plate.  This one told me that the driver at least checks in his / her rear view mirror.  What plate did I see?",BRAIN_TEASERS_c34c_0030,OICU2,BRAIN_TEASERS_OPT_087f_000D
"I went to my favorite restaurant to pick up some carry out for an early dinner.  I saw the owners car parked out front. The vanity plate asked a question.  What do you suppose the plate read?",BRAIN_TEASERS_6e8c_0031,E10YET,BRAIN_TEASERS_OPT_f4ea_000B
"I always go up and down the stairs without moving.",BRAIN_TEASERS_1a9d_0032,"A rug",BRAIN_TEASERS_OPT_abe7_000D
"If the mother of a boy spanks him and then his father comes and does the same, who hurts the most?",BRAIN_TEASERS_80df_0033,"The boy",BRAIN_TEASERS_OPT_8c30_000C
"Which letter behaves as a selfish friend?",BRAIN_TEASERS_5151_0034,P,BRAIN_TEASERS_OPT_3927_000C
"You always wear these flowers.",BRAIN_TEASERS_ab65_0035,Tulips,BRAIN_TEASERS_OPT_60c7_000C
"12 candles were alight. The wind blew out 5 of them. How many candles were left?",BRAIN_TEASERS_72a4_0036,12,BRAIN_TEASERS_OPT_fbff_000C
"A team of two horses ran for 3 miles. How many miles did each of the horses run?",BRAIN_TEASERS_0bc7_0037,3,BRAIN_TEASERS_OPT_407d_000C
"Nine passengers carried with them enough food for five days. Several other passengers joined the first group and they all shared the same food, which was now enough for three days. How many passengers joined the first group?",BRAIN_TEASERS_a239_0038,6,BRAIN_TEASERS_OPT_18d4_000C
"How many times does the digit 3 occur in the numbers from 1 to 50?",BRAIN_TEASERS_780e_0039,15,BRAIN_TEASERS_OPT_2269_000A
"A pole is 20 m high. An ant is climbing it as follows - every day she ascends 5 m and every night she descends 4 m. In how many days will the ant be on the top of the post?",BRAIN_TEASERS_97ea_0040,16,BRAIN_TEASERS_OPT_dc1f_000A
"A butcher had to stick a total number of 50 sheep in a week. Every day he sticked an equal number of sheep and managed to fulfill the task. How many sheep did he kill per day?",BRAIN_TEASERS_5865_0041,10,BRAIN_TEASERS_OPT_a669_000A
"In a basket there are three sorts of apples. How many apples do you have to  take from the basket to make sure you have at least 2 apples of the same sort?",BRAIN_TEASERS_5dbf_0042,4,BRAIN_TEASERS_OPT_01a9_000B
"An old potter was selling pots. Once, a woman came and bought a pot for its sticker price.  She had to pay $1 plus half its price.  What was the price?",BRAIN_TEASERS_e429_0043,2,BRAIN_TEASERS_OPT_e5dc_000A
"Four glasses and a jug weigh as mush  as 17 iron balls do. The jug weighs as much as a glass and 7 balls. How many balls does the jug weigh?",BRAIN_TEASERS_3f06_0044,9,BRAIN_TEASERS_OPT_fd47_000A
"Three cats can eat 3 mice in 1.5 hours. How long will it take 10 cats to eat 20 mice?",BRAIN_TEASERS_7025_0045,"3 hours",BRAIN_TEASERS_OPT_dce2_000C
"Is there a way you can divide 7 identical pieces of bread equally among 12 people?",BRAIN_TEASERS_18d6_0046,Yes,BRAIN_TEASERS_OPT_3631_000B
"A lion can eat a sheep in 2 hours, a wolf - in 3 hours, and a dog - in 6 hours. How long will it take the three animals to eat a sheep if they eat together?",BRAIN_TEASERS_fbd1_0047,"1 hour",BRAIN_TEASERS_OPT_ab62_000D
"Two men were walking towards a river. There was a boat on one of the riverbanks. However, this boat could carry only one man at a time.  Nevertheless, both men managed to cross the river with the boat.  This is possible.",BRAIN_TEASERS_dcc0_0048,True,BRAIN_TEASERS_OPT_d1ad_000A
"Some of my relatives are 600 times younger than me. Can this be true?",BRAIN_TEASERS_fc4d_0049,Yes,BRAIN_TEASERS_OPT_58eb_000A
"A man is carrying three croquet balls across a bridge. The bridge has a sign that says bridge can only hold 200 pounds. The man weighs 195 pounds and the croquet balls weigh 2 pounds each. The man ends up crossing the bridge in one trip and no one else helps him. This is possible.",BRAIN_TEASERS_bff2_0050,True,BRAIN_TEASERS_OPT_b79f_000B
"Which letter comes next in this series: W-L-C-N-I-T-?",BRAIN_TEASERS_6b18_0051,S,BRAIN_TEASERS_OPT_32e6_000C
"A squirrel finds a hollow log with 9 ears of corn in it.  If he can carry out 3 ears every day, how many days will it take him to empty the log?",BRAIN_TEASERS_97b8_0052,9,BRAIN_TEASERS_OPT_216b_000C
"Suppose youre taking a multiple-choice quiz.  One question has three choices - A, B, C.  You do not know the answer and guess A. The instructor then announces that C is incorrect. Should you switch to B before turning in your paper?",BRAIN_TEASERS_a6fd_0053,"Yes, this should help",BRAIN_TEASERS_OPT_6619_000B
"A worm can gnaw through 1 mm of paper for a single day. On a bookshelf there are two volumes, each 4 cm thick. Each of the covers is 2 mm thick. How long will it take the warm to gnaw from the first page of the first volume to the last page of the second volume?",BRAIN_TEASERS_4d94_0054,"4 days",BRAIN_TEASERS_OPT_32cf_000D
"The train leaves in 2 minutes and the distance to the train station is 2 miles. If you drive the first mile at 30 miles/h, at what speed should you drive the second mile?",BRAIN_TEASERS_5185_0055,"It does not matter.",BRAIN_TEASERS_OPT_84b9_000A
"A driver noticed that the dashboard showed he had driven a total number of 15951 miles. He thought that this was a strange number because no matter in what direction it was read (from left to right or from right to left) it was the same. However, in two hours, the dashboard showed a number that had that same characteristic. What was the speed of the car?",BRAIN_TEASERS_a6c9_0056,55,BRAIN_TEASERS_OPT_029c_000B
"Three hunters, different in height, got stuck in a pit. They tried to get out of it and stepped one onto the other. However, the shortest, who was on top, could not reach the edge for just 5 cm. Can these three hunters ever get out of the pit without the help of anyone else or of any additional object?",BRAIN_TEASERS_f1a2_0057,Yes,BRAIN_TEASERS_OPT_40ad_000A
