OID,QID,text
VIDEO_GAMES_OPT_7189_000A,VIDEO_GAMES_e411_0001,"New Chicago"
VIDEO_GAMES_OPT_f740_000B,VIDEO_GAMES_e411_0001,"New New York"
VIDEO_GAMES_OPT_177d_000C,VIDEO_GAMES_e411_0001,"New San Francisco"
VIDEO_GAMES_OPT_9319_000D,VIDEO_GAMES_e411_0001,"None of these"
VIDEO_GAMES_OPT_5b08_000A,VIDEO_GAMES_9c09_0002,Drone
VIDEO_GAMES_OPT_43bf_000B,VIDEO_GAMES_9c09_0002,Brute
VIDEO_GAMES_OPT_307d_000C,VIDEO_GAMES_9c09_0002,Elite
VIDEO_GAMES_OPT_4090_000D,VIDEO_GAMES_9c09_0002,Grunt
VIDEO_GAMES_OPT_30f3_000A,VIDEO_GAMES_23eb_0003,Gravemind
VIDEO_GAMES_OPT_29c6_000B,VIDEO_GAMES_23eb_0003,"The Prophet of Truth"
VIDEO_GAMES_OPT_df3b_000C,VIDEO_GAMES_23eb_0003,"The Arbiter"
VIDEO_GAMES_OPT_fb63_000D,VIDEO_GAMES_23eb_0003,"No one"
VIDEO_GAMES_OPT_63a0_000A,VIDEO_GAMES_9cc1_0004,"A Genetically modified super soldier"
VIDEO_GAMES_OPT_8a1d_000B,VIDEO_GAMES_9cc1_0004,"A higher ranking soldier than a ODST"
VIDEO_GAMES_OPT_95e7_000C,VIDEO_GAMES_9cc1_0004,"Troopers that went through military training at the age of five"
VIDEO_GAMES_OPT_3477_000D,VIDEO_GAMES_9cc1_0004,"All of these"
VIDEO_GAMES_OPT_d3be_000A,VIDEO_GAMES_4efa_0005,Forerunner
VIDEO_GAMES_OPT_cead_000B,VIDEO_GAMES_4efa_0005,Precursor
VIDEO_GAMES_OPT_0a4d_000C,VIDEO_GAMES_4efa_0005,Promethean
VIDEO_GAMES_OPT_cc8d_000D,VIDEO_GAMES_4efa_0005,Yamne
VIDEO_GAMES_OPT_2a56_000A,VIDEO_GAMES_2d60_0006,True
VIDEO_GAMES_OPT_d724_000B,VIDEO_GAMES_2d60_0006,False
VIDEO_GAMES_OPT_aafb_000A,VIDEO_GAMES_9713_0007,Falcons
VIDEO_GAMES_OPT_2882_000B,VIDEO_GAMES_9713_0007,Hornets
VIDEO_GAMES_OPT_a3b0_000C,VIDEO_GAMES_9713_0007,Phantoms
VIDEO_GAMES_OPT_2bea_000D,VIDEO_GAMES_9713_0007,Pelicans
VIDEO_GAMES_OPT_6920_000A,VIDEO_GAMES_81ec_0008,"None of the above"
VIDEO_GAMES_OPT_2477_000B,VIDEO_GAMES_81ec_0008,"United Nations Space Council"
VIDEO_GAMES_OPT_30fe_000C,VIDEO_GAMES_81ec_0008,"United Nations Space Command"
VIDEO_GAMES_OPT_0d41_000D,VIDEO_GAMES_81ec_0008,"Unified Nations Supreme Court"
VIDEO_GAMES_OPT_5310_000A,VIDEO_GAMES_9cc6_0009,"UNSC In Amber Clad"
VIDEO_GAMES_OPT_831c_000B,VIDEO_GAMES_9cc6_0009,"UNSC Infinity"
VIDEO_GAMES_OPT_fb64_000C,VIDEO_GAMES_9cc6_0009,"UNSC Spirit of Fire"
VIDEO_GAMES_OPT_ee9d_000D,VIDEO_GAMES_9cc6_0009,"UNSC Pillar of Autumn"
VIDEO_GAMES_OPT_5b55_000A,VIDEO_GAMES_bf1e_0010,Voi
VIDEO_GAMES_OPT_b3d3_000B,VIDEO_GAMES_bf1e_0010,"New Mombasa"
VIDEO_GAMES_OPT_54a6_000C,VIDEO_GAMES_bf1e_0010,Toronto
VIDEO_GAMES_OPT_63ec_000D,VIDEO_GAMES_bf1e_0010,"New York"
VIDEO_GAMES_OPT_1505_000A,VIDEO_GAMES_8264_0011,Brute
VIDEO_GAMES_OPT_aff6_000B,VIDEO_GAMES_8264_0011,Hunter
VIDEO_GAMES_OPT_0cfa_000C,VIDEO_GAMES_8264_0011,Jackal
VIDEO_GAMES_OPT_e760_000D,VIDEO_GAMES_8264_0011,Elite
VIDEO_GAMES_OPT_bd6d_000A,VIDEO_GAMES_402a_0012,"The Galactic Federation built her as a next generation Aurora Unit."
VIDEO_GAMES_OPT_ae09_000B,VIDEO_GAMES_402a_0012,"It is unknown who made her but she was made to control Zebes."
VIDEO_GAMES_OPT_18dc_000C,VIDEO_GAMES_402a_0012,"The Space Pirates built her to be one of their generals."
VIDEO_GAMES_OPT_367d_000D,VIDEO_GAMES_402a_0012,"The Chozo built her to be a organic Supercomputer."
VIDEO_GAMES_OPT_83a4_000A,VIDEO_GAMES_ea1c_0013,"They discovered Phazon and developed Phazon Madness causing them to wipe each other out."
VIDEO_GAMES_OPT_8262_000B,VIDEO_GAMES_ea1c_0013,"Gorea wiped them out."
VIDEO_GAMES_OPT_7c69_000C,VIDEO_GAMES_ea1c_0013,"The entire species used up their life energy to imprison Gorea."
VIDEO_GAMES_OPT_4811_000D,VIDEO_GAMES_ea1c_0013,"The Metroids wiped them out."
VIDEO_GAMES_OPT_90a3_000A,VIDEO_GAMES_2c4a_0014,Metroid
VIDEO_GAMES_OPT_5f95_000B,VIDEO_GAMES_2c4a_0014,"Space Pirate"
VIDEO_GAMES_OPT_e16f_000C,VIDEO_GAMES_2c4a_0014,Kihunter
VIDEO_GAMES_OPT_5444_000D,VIDEO_GAMES_2c4a_0014,Hornoad
VIDEO_GAMES_OPT_7b26_000A,VIDEO_GAMES_ee42_0015,"Lyle Smithsonian"
VIDEO_GAMES_OPT_59e3_000B,VIDEO_GAMES_ee42_0015,"Adam Malkovich"
VIDEO_GAMES_OPT_37e5_000C,VIDEO_GAMES_ee42_0015,"K.G Misawa"
VIDEO_GAMES_OPT_55df_000D,VIDEO_GAMES_ee42_0015,"James Pierce"
VIDEO_GAMES_OPT_8bbd_000A,VIDEO_GAMES_fdc0_0016,True
VIDEO_GAMES_OPT_ca4c_000B,VIDEO_GAMES_fdc0_0016,False
VIDEO_GAMES_OPT_6208_000A,VIDEO_GAMES_0fc1_0017,Steambot
VIDEO_GAMES_OPT_a485_000B,VIDEO_GAMES_0fc1_0017,"Warp Hound"
VIDEO_GAMES_OPT_3da3_000C,VIDEO_GAMES_0fc1_0017,Steamspider
VIDEO_GAMES_OPT_febc_000D,VIDEO_GAMES_0fc1_0017,Vaporwing
VIDEO_GAMES_OPT_557c_000A,VIDEO_GAMES_29a6_0018,Worm
VIDEO_GAMES_OPT_c9f1_000B,VIDEO_GAMES_29a6_0018,Beast
VIDEO_GAMES_OPT_9f1d_000C,VIDEO_GAMES_29a6_0018,Destroyer
VIDEO_GAMES_OPT_71c2_000D,VIDEO_GAMES_29a6_0018,Consumer
VIDEO_GAMES_OPT_cde8_000A,VIDEO_GAMES_b00d_0019,True
VIDEO_GAMES_OPT_be73_000B,VIDEO_GAMES_b00d_0019,False
VIDEO_GAMES_OPT_e743_000A,VIDEO_GAMES_abd3_0020,"Space Pirate Homeworld"
VIDEO_GAMES_OPT_3436_000B,VIDEO_GAMES_abd3_0020,Unknown
VIDEO_GAMES_OPT_7757_000C,VIDEO_GAMES_abd3_0020,SR388
VIDEO_GAMES_OPT_926b_000D,VIDEO_GAMES_abd3_0020,Zebes
