question,QID,answer,answer_OID
"In which US state is the active Mount Rainier volcano located?",HISTORY_a326_0001,Washington,HISTORY_OPT_f70b_000C
"In 1990, this 5000 year old body was found in the Alps. Scientists discovered some tattoos on his leg which indicated that acupuncture was used as far back as the Copper-stone Age.",HISTORY_3154_0002,Oetzi,HISTORY_OPT_5e1d_000D
"After unsuccessful  talks about oil production and debt repayment, Iraq occupied Kuwait.  In January 1991 the US launched an air attack against military targets in Iraq and Kuwait in this operation.",HISTORY_b213_0003,"Desert Storm",HISTORY_OPT_f11e_000D
"It is the process of producing identical copies of a DNA segment asexually.  In 1996 the first successful one of an animal was made. The animals name was Dolly.  Dolly later died, but Richard Seed announced that he intended try it on humans.",HISTORY_71cb_0004,Cloning,HISTORY_OPT_2f78_000B
"This kind of music became largely popular in Europe and America in the 1990s. It is a melodic, free form combination between techno and house, having hypnotic qualities. The first distinctive track of this kind was Age Of Love, released in 1990.",HISTORY_b662_0005,Trance,HISTORY_OPT_ffdb_000B
"This womans death was arguably the most shocking one of the decade. She died in 1997 in a car crash while evading paparazzi. The woman was taken to a hospital, but the two-hour efforts of surgeons to save her life were unsuccessful.",HISTORY_84e5_0006,"Princess Diana",HISTORY_OPT_f095_000D
"This union, made up of European countries, was established by the Maastricht Treaty in 1992. Starting as a trade body it is now an economic and political partnership between its members.",HISTORY_c129_0007,"The European Union",HISTORY_OPT_87b5_000C
"Although the first one was sent in 1971, it became widely popular in 1998. Its popularity caused explosive growth of the internet.",HISTORY_b2da_0008,"The E-mail",HISTORY_OPT_524c_000C
"Impeachment stands for quickly removing dangerously criminal officials from high office. The Impeachment Trial in the Senate for this US President commenced on January 7, 1999.",HISTORY_e8c1_0009,"Bill Clinton",HISTORY_OPT_5d52_000C
"On August 17, 1999 this disaster took the lives of 15 000 and injured 23 000 people in western Turkey.",HISTORY_da08_0010,Earthquake,HISTORY_OPT_2da3_000A
"These became more advanced and more popular in the 1990, with some of the most influential ones being  the Super Nintendo Entertainment System, the Sony Playstation, and the Sega Dreamcast.",HISTORY_74e3_0011,"Video Game consoles",HISTORY_OPT_dd40_000C
"The Punic Wars were a series of three wars fought between these two powers.",HISTORY_cb52_0012,"Rome and Carthage",HISTORY_OPT_3600_000D
"The 1938 incorporation of Austria in Greater Germany under the Nazi Regime is known as this.",HISTORY_2617_0013,Anschluss,HISTORY_OPT_b42c_000C
"Henry Kissinger held this US post from 1974 to 1977.",HISTORY_0ac6_0014,"Secretary of State",HISTORY_OPT_2997_000D
"One of these cities has been Japans capital in the past.",HISTORY_001b_0015,Kyoto,HISTORY_OPT_7393_000A
"Anne of Austria was the mother of Louis XIV of France (the Sun King).",HISTORY_ae22_0016,True,HISTORY_OPT_afa2_000A
"Valeria Messalina was the third wife of this Roman emperor.",HISTORY_1080_0017,Claudius,HISTORY_OPT_8baf_000D
"Philip II of France, Richard I of England and Frederick I led this campaign.",HISTORY_d56e_0018,"Third Crusade",HISTORY_OPT_4b15_000D
"Yu the Great was the legendary first Chinese monarch of this dynasty.",HISTORY_7ae4_0019,"Xia Dynasty",HISTORY_OPT_38bd_000A
"This German general was nicknamed The Desert Fox due to the skillful military campaigns he waged in North Africa, during World War II.",HISTORY_05b6_0020,"Erwin Rommel",HISTORY_OPT_9c6f_000A
"The term Blitzkrieg, referring to swift, sudden military offensive, is translated as Thunder War.",HISTORY_c176_0021,False,HISTORY_OPT_7df2_000A
"How many landing beaches were there in the 1944 Normandy Invasion, known as Operation Overlord?",HISTORY_42d7_0022,Five,HISTORY_OPT_274a_000C
"What was the name of the first jet-powered fighter used in World War II?",HISTORY_d91b_0023,Me-262,HISTORY_OPT_de01_000C
"Which member of the Nazi Party was known as Adolph Hitlers first architect of the Third Reich?",HISTORY_75fa_0024,"Albert Speer",HISTORY_OPT_306b_000B
"The British evacuation from which French port was codenamed Operation Dynamo, in 1940?",HISTORY_a123_0025,Dunkirk,HISTORY_OPT_1524_000C
"Which American politician said the following about liberty: They that can give up essential liberty to obtain a little temporary safety deserve neither liberty nor safety.”?",HISTORY_1fa7_0026,"Benjamin Franklin",HISTORY_OPT_a0f2_000A
"Which US President delivered the following words: Ask not what your country can do for you, ask what you can do for your country.?",HISTORY_69c9_0027,"John F. Kennedy",HISTORY_OPT_7014_000D
"Which US President said these words: A democracy is nothing more than mob rule, where fifty-one percent of the people may take away the rights of the other forty-nine.?",HISTORY_eef8_0028,"Thomas Jefferson",HISTORY_OPT_3f64_000B
"Which US President made the following statement: America stands for liberty, for the pursuit of happiness and for the unalienable right for life. This right to life cannot be granted or denied by government because it does not come from the government, it comes from the creator of life.?",HISTORY_3e14_0029,"George W. Bush",HISTORY_OPT_a756_000A
