question,QID,answer,answer_OID
"What music video portrays Kylie Minogue lying amongst many men and women by a poolside?",PEOPLE_1062_0001,Slow,PEOPLE_OPT_f629_000D
"Which statesman uttered these words: “Thus, by every device from the stick to the carrot, the emaciated Austrian donkey is made to pull the Nazi barrow up an ever-steepening hill”?",PEOPLE_e586_0002,"Winston Churchill",PEOPLE_OPT_9616_000A
"There is no glory in outstripping donkeys” was a statement by this Greek Emperor.",PEOPLE_a439_0003,"Marcus Aurelius",PEOPLE_OPT_dcea_000B
"Which modern day comedian annoyed his wife with this saying: “I kept giving her donkey ears.”?",PEOPLE_413b_0004,"Chevy Chase",PEOPLE_OPT_cc87_000A
"This Welsh-born English poet said: If a donkey bray at you, dont bray at him”.",PEOPLE_9d15_0005,"George Herbert",PEOPLE_OPT_c03b_000A
"“I lived in the US for donkeys years so it has been a journey back in time for me. If you have had personal experience of something, it is always more authentic.” is a quote by this Australian author.",PEOPLE_26db_0006,"Colleen McCullough",PEOPLE_OPT_f595_000D
"“In school nativity plays I was always the bloody little donkey, I was never Mary.” says this singer-songwriter who is also famous as a member of an all female group. Who is she?",PEOPLE_750f_0007,"Geri Halliwell",PEOPLE_OPT_0b0e_000C
"“That which is called firmness in a king is called obstinacy in a donkey” is a quote by an American author and educator.",PEOPLE_46a0_0008,"John Erskine",PEOPLE_OPT_ba2d_000A
"“Do you think yourself wise? Then theres a donkey inside your waistcoat” is a quote from one of the British preacher/theologians of the 19th century.",PEOPLE_2e1d_0009,"Charles H. Spurgeon",PEOPLE_OPT_2e82_000A
"“I do believe the Democratic party has moved far to the right. I do believe that the party has a bunch of elephants running around in donkey clothes.” is a quote by this outstanding American reverend.",PEOPLE_5aea_0010,"Al Sharpton",PEOPLE_OPT_1917_000A
"“Yeah, blindfolds, just like pin the tail on us. Were the donkey.” is a quote from an American lead vocalist and musician of a heavy metal band. Who is he?",PEOPLE_fe5d_0011,"Vince Neil",PEOPLE_OPT_88fe_000A
"“Let him not recite the Veda on horseback, nor on a tree, nor on an elephant, nor in a boat ,or ship , nor on a donkey, nor on camel, nor standing on barren ground, nor riding in a carriage.” was spoken by one of the 11 gurus of India. Which one?",PEOPLE_fa4e_0012,"Guru Nanak",PEOPLE_OPT_6b37_000B
"After the death of her lover, Cleopatra found true love.  Though Egypt and Rome did not get along,  these two people married in 36 B.C, planning to conquer Rome.",PEOPLE_3d04_0013,"Antony and Cleopatra",PEOPLE_OPT_56df_000A
"When the ruler of the Mughal Empire married his favorite wife, they were still teenagers. She gave birth to 14 children. After her death  in 1629, the grieving emperor created one of worlds most beautiful edifices - Taj Mahal, paying tribute to his beloved wife.",PEOPLE_979b_0014,"Shah Jahan and Mumtaz Mahal",PEOPLE_OPT_282c_000D
