OID,QID,text
RATED_OPT_ccad_000A,RATED_abcc_0001,2007
RATED_OPT_9c75_000B,RATED_abcc_0001,2004
RATED_OPT_cf81_000C,RATED_abcc_0001,2006
RATED_OPT_09e3_000D,RATED_abcc_0001,2005
RATED_OPT_5529_000A,RATED_5227_0002,"New York"
RATED_OPT_bdea_000B,RATED_5227_0002,Boston
RATED_OPT_3a95_000C,RATED_5227_0002,Chicago
RATED_OPT_ae1b_000D,RATED_5227_0002,"Los Angeles"
RATED_OPT_8e75_000A,RATED_2b4f_0003,"meets her in an alley and divulges the information"
RATED_OPT_4e08_000B,RATED_2b4f_0003,"sends her a tape/dvd in the mail"
RATED_OPT_791c_000C,RATED_2b4f_0003,"calls her on the phone"
RATED_OPT_71f3_000D,RATED_2b4f_0003,"leaves her a note"
RATED_OPT_8166_000A,RATED_8d2d_0004,"Frank Costello"
RATED_OPT_1fa8_000B,RATED_8d2d_0004,"Billy Costigan"
RATED_OPT_d936_000C,RATED_8d2d_0004,"Capt. George Ellerby"
RATED_OPT_568e_000D,RATED_8d2d_0004,"Staff Sgt. Sean Dignam"
RATED_OPT_8d5c_000A,RATED_952e_0005,"a castoroides"
RATED_OPT_b4b1_000B,RATED_952e_0005,"a mouse"
RATED_OPT_08c0_000C,RATED_952e_0005,"a capybara"
RATED_OPT_e769_000D,RATED_952e_0005,"a rat"
RATED_OPT_9273_000A,RATED_9e63_0006,1975
RATED_OPT_fa18_000B,RATED_9e63_0006,1976
RATED_OPT_ad5c_000C,RATED_9e63_0006,1977
RATED_OPT_1bb5_000D,RATED_9e63_0006,1978
RATED_OPT_15af_000A,RATED_a662_0007,"Golden Girls"
RATED_OPT_4930_000B,RATED_a662_0007,Maude
RATED_OPT_62de_000C,RATED_a662_0007,"Empty Nest"
RATED_OPT_86a8_000D,RATED_a662_0007,"The Facts of Life"
RATED_OPT_1785_000A,RATED_1684_0008,"John Ritter"
RATED_OPT_772d_000B,RATED_1684_0008,"Alan Alda"
