OID,QID,text
TELEVISION_OPT_38c1_000A,TELEVISION_31e7_0001,"Florida St."
TELEVISION_OPT_b6a9_000B,TELEVISION_31e7_0001,"Bowling Green"
TELEVISION_OPT_51f5_000C,TELEVISION_31e7_0001,"University of Florida"
TELEVISION_OPT_edf8_000D,TELEVISION_31e7_0001,"University of Miami"
TELEVISION_OPT_f881_000A,TELEVISION_6c74_0002,24
TELEVISION_OPT_1e40_000B,TELEVISION_6c74_0002,"3 South"
TELEVISION_OPT_1961_000C,TELEVISION_6c74_0002,"60 Minutes"
TELEVISION_OPT_82e2_000D,TELEVISION_6c74_0002,20/20
TELEVISION_OPT_6683_000A,TELEVISION_f1fb_0003,"Battlestar Galactica"
TELEVISION_OPT_542b_000B,TELEVISION_f1fb_0003,"3rd Rock from the Sun"
TELEVISION_OPT_abb2_000C,TELEVISION_f1fb_0003,"The A-Team"
TELEVISION_OPT_e4d0_000D,TELEVISION_f1fb_0003,"7th Heaven"
TELEVISION_OPT_5836_000A,TELEVISION_9156_0004,"Dawsons Creek"
TELEVISION_OPT_1793_000B,TELEVISION_9156_0004,ALF
TELEVISION_OPT_2769_000C,TELEVISION_9156_0004,"Beverly Hills 90210"
TELEVISION_OPT_e484_000D,TELEVISION_9156_0004,"All My Children"
TELEVISION_OPT_03f8_000A,TELEVISION_f6d4_0005,"Hobie Buchannon"
TELEVISION_OPT_ffe9_000B,TELEVISION_f6d4_0005,"Jill Riley"
TELEVISION_OPT_d5cf_000C,TELEVISION_f6d4_0005,"Kelly Taylor"
TELEVISION_OPT_998d_000D,TELEVISION_f6d4_0005,"Craig Pomeroy"
TELEVISION_OPT_a91b_000A,TELEVISION_f688_0006,"The City"
TELEVISION_OPT_0e50_000B,TELEVISION_f688_0006,"CSI: Crime Scene Investigation"
TELEVISION_OPT_1467_000C,TELEVISION_f688_0006,"CSI: New York"
TELEVISION_OPT_5bf5_000D,TELEVISION_f688_0006,"CSI: Miami"
TELEVISION_OPT_99c2_000A,TELEVISION_d9a2_0007,"Gregory Pratt"
TELEVISION_OPT_bff0_000B,TELEVISION_d9a2_0007,"Ray Barnett"
TELEVISION_OPT_ffad_000C,TELEVISION_d9a2_0007,"Dave Malucci"
TELEVISION_OPT_720a_000D,TELEVISION_d9a2_0007,"Samantha Taggart"
TELEVISION_OPT_431e_000A,TELEVISION_7b26_0008,"Mr. Jones"
TELEVISION_OPT_0dc9_000B,TELEVISION_7b26_0008,"Mr. Slate"
TELEVISION_OPT_0ddf_000C,TELEVISION_7b26_0008,"Mr. Garret"
TELEVISION_OPT_b530_000D,TELEVISION_7b26_0008,"Mr. Smith"
TELEVISION_OPT_0ed0_000A,TELEVISION_e896_0009,"Dawsons Creek"
TELEVISION_OPT_921f_000B,TELEVISION_e896_0009,"The O.C."
TELEVISION_OPT_7564_000C,TELEVISION_e896_0009,"Beverly Hills 90210"
TELEVISION_OPT_423b_000D,TELEVISION_e896_0009,"One Tree Hill"
TELEVISION_OPT_3020_000A,TELEVISION_12d4_0010,"Desperate Housewives"
TELEVISION_OPT_a8fb_000B,TELEVISION_12d4_0010,"Sex and the City"
TELEVISION_OPT_e3b1_000C,TELEVISION_12d4_0010,"Gilmore Girls"
TELEVISION_OPT_0bd7_000D,TELEVISION_12d4_0010,Smallville
TELEVISION_OPT_94b7_000A,TELEVISION_332d_0011,"Married... with Children"
TELEVISION_OPT_b110_000B,TELEVISION_332d_0011,"Happy Family"
TELEVISION_OPT_daeb_000C,TELEVISION_332d_0011,"The Partridge Family"
TELEVISION_OPT_4288_000D,TELEVISION_332d_0011,"All in the Family"
TELEVISION_OPT_cc0c_000A,TELEVISION_0978_0012,"Mermaid Man and Barnicle Boy 3"
TELEVISION_OPT_617f_000B,TELEVISION_0978_0012,"Fry Cook Games"
TELEVISION_OPT_1246_000C,TELEVISION_0978_0012,"Mermaid Man and Barnicle Boy 2"
TELEVISION_OPT_adb8_000D,TELEVISION_0978_0012,Bubblestand
TELEVISION_OPT_5396_000A,TELEVISION_f8ea_0013,"In a coconut"
TELEVISION_OPT_bd26_000B,TELEVISION_f8ea_0013,"In an apple"
TELEVISION_OPT_b515_000C,TELEVISION_f8ea_0013,"In a pineapple"
TELEVISION_OPT_f403_000D,TELEVISION_f8ea_0013,"In a watermelon"
TELEVISION_OPT_8a96_000A,TELEVISION_84b0_0014,Alaska
TELEVISION_OPT_7d57_000B,TELEVISION_84b0_0014,Florida
TELEVISION_OPT_2a4c_000C,TELEVISION_84b0_0014,Texas
TELEVISION_OPT_5ca5_000D,TELEVISION_84b0_0014,Georgia
TELEVISION_OPT_6be8_000A,TELEVISION_4942_0015,"Jellyfish jelly"
TELEVISION_OPT_ffcc_000B,TELEVISION_4942_0015,"Extra salt"
TELEVISION_OPT_ac21_000C,TELEVISION_4942_0015,"A cup of love"
TELEVISION_OPT_4cfa_000D,TELEVISION_4942_0015,"Four heaping pounds of plankton"
TELEVISION_OPT_836f_000A,TELEVISION_3d2c_0016,"Magic Clam shell"
TELEVISION_OPT_92a0_000B,TELEVISION_3d2c_0016,"Hermit Crab Shell Toy"
TELEVISION_OPT_efac_000C,TELEVISION_3d2c_0016,Spiral
TELEVISION_OPT_274a_000D,TELEVISION_3d2c_0016,"Magic conch shell"
TELEVISION_OPT_8d87_000A,TELEVISION_1a4b_0017,"Krusty Krab"
TELEVISION_OPT_2529_000B,TELEVISION_1a4b_0017,"Chum Bucket"
TELEVISION_OPT_b5dc_000C,TELEVISION_1a4b_0017,"Tuff Tavern"
TELEVISION_OPT_b2be_000D,TELEVISION_1a4b_0017,"Beach Bums"
TELEVISION_OPT_ab6d_000A,TELEVISION_48e2_0018,"Patrick Star"
TELEVISION_OPT_d5dd_000B,TELEVISION_48e2_0018,"Squidward Tentacles"
TELEVISION_OPT_c04a_000C,TELEVISION_48e2_0018,Mr.Crabs
TELEVISION_OPT_e55e_000D,TELEVISION_48e2_0018,Gary
