question,QID,answer,answer_OID
"In what fictional city is the TV show Futurama set?",VIDEO_GAMES_e411_0001,"New New York",VIDEO_GAMES_OPT_f740_000B
"What is the lowest ranking species in the Covenant hierarchy in the Halo series?",VIDEO_GAMES_9c09_0002,Grunt,VIDEO_GAMES_OPT_4090_000D
"Who controls the Flood in the Halo series?",VIDEO_GAMES_23eb_0003,Gravemind,VIDEO_GAMES_OPT_30f3_000A
"What is a SPARTAN in the Halo series?",VIDEO_GAMES_9cc1_0004,"All of these",VIDEO_GAMES_OPT_3477_000D
"What species is the Didact in the Halo series?",VIDEO_GAMES_4efa_0005,Forerunner,VIDEO_GAMES_OPT_d3be_000A
"In the Halo series, Zealots use Energy Swords.",VIDEO_GAMES_2d60_0006,True,VIDEO_GAMES_OPT_2a56_000A
"Which of the following does the UNSC use to transport troops in the halo series?",VIDEO_GAMES_9713_0007,Pelicans,VIDEO_GAMES_OPT_2bea_000D
"What does UNSC stand for in the Halo series?",VIDEO_GAMES_81ec_0008,"United Nations Space Command",VIDEO_GAMES_OPT_30fe_000C
"What is the largest UNSC ship in the Halo series?",VIDEO_GAMES_9cc6_0009,"UNSC Infinity",VIDEO_GAMES_OPT_831c_000B
"What city does Halo 3 ODST take place in?",VIDEO_GAMES_bf1e_0010,"New Mombasa",VIDEO_GAMES_OPT_b3d3_000B
"What is the largest species of the Covenant in the Halo series?",VIDEO_GAMES_8264_0011,Hunter,VIDEO_GAMES_OPT_aff6_000B
"Who made the fictional Mother Brain and for what purpose?",VIDEO_GAMES_402a_0012,"The Chozo built her to be a organic Supercomputer.",VIDEO_GAMES_OPT_367d_000D
"How did the Alimbics become extinct in the Metroid series?",VIDEO_GAMES_ea1c_0013,"The entire species used up their life energy to imprison Gorea.",VIDEO_GAMES_OPT_7c69_000C
"What creature passes on the X Parasite to Samus in the Metroid series?",VIDEO_GAMES_2c4a_0014,Hornoad,VIDEO_GAMES_OPT_5444_000D
"Who is the Deleter in the Metroid series?",VIDEO_GAMES_ee42_0015,"James Pierce",VIDEO_GAMES_OPT_55df_000D
"Kraid is the only one of his species encountered in the Metroid game.",VIDEO_GAMES_fdc0_0016,False,VIDEO_GAMES_OPT_ca4c_000B
"What do Steamlords keep as pets in the Metroid series of games?",VIDEO_GAMES_0fc1_0017,Vaporwing,VIDEO_GAMES_OPT_febc_000D
"An ancient Chozo prophecy predicts the coming of Phazon and the Metroid Prime. In this prophecy the Metroid Prime is referred to as which of the following?",VIDEO_GAMES_29a6_0018,Worm,VIDEO_GAMES_OPT_557c_000A
"King Worm can be fought after Mother Brainin Metroid Zero Mission.",VIDEO_GAMES_b00d_0019,True,VIDEO_GAMES_OPT_cde8_000A
"What planet are Kihunters from in the Metroid games?",VIDEO_GAMES_abd3_0020,Unknown,VIDEO_GAMES_OPT_3436_000B
"What planet is Samus from  in the Metorid games?",VIDEO_GAMES_ec13_0021,K-2L,VIDEO_GAMES_OPT_6e53_000B
"What is the name of the enemy faction in the first N.O.V.A?",VIDEO_GAMES_def4_0022,Xenos,VIDEO_GAMES_OPT_9b49_000A
"The N.O.V.A 3 Shotgun is both semi and fully automatic.",VIDEO_GAMES_9bfb_0023,True,VIDEO_GAMES_OPT_2405_000B
"On which planet does the first two missions in N.O.V.A 2 take place?",VIDEO_GAMES_6901_0024,Aquarius,VIDEO_GAMES_OPT_f523_000D
"Who helps Kal Wardin find the Judger artifact aboard Therrius in N.O.V.A?",VIDEO_GAMES_862b_0025,MazRah,VIDEO_GAMES_OPT_8da5_000C
"In N.O.V.A, Kal Wardin is rewarded for finding out what happened aboard the Colonial Pride by almost being killed.",VIDEO_GAMES_d58a_0026,True,VIDEO_GAMES_OPT_08bc_000B
"Who is the leader of the Volterites in N.O.V.A?",VIDEO_GAMES_2616_0027,"The Overseer",VIDEO_GAMES_OPT_24e2_000D
"Which Xeno is capable of teleporting in N.O.V.A?",VIDEO_GAMES_7b5f_0028,"Heavy Demon",VIDEO_GAMES_OPT_966a_000A
