OID,QID,text
LITERATURE_OPT_9ccc_000A,LITERATURE_5211_0001,"Cyst on the brain stem"
LITERATURE_OPT_8aa0_000B,LITERATURE_5211_0001,"None of these"
LITERATURE_OPT_2575_000C,LITERATURE_5211_0001,"An idiot"
LITERATURE_OPT_6475_000D,LITERATURE_5211_0001,"Swelling of the cerebrum caused by spinal fluid"
LITERATURE_OPT_1744_000A,LITERATURE_501e_0002,"Carl Sandberg"
LITERATURE_OPT_5a54_000B,LITERATURE_501e_0002,"T.S. Eliot"
LITERATURE_OPT_21cb_000C,LITERATURE_501e_0002,"Robert Frost"
LITERATURE_OPT_d706_000D,LITERATURE_501e_0002,"Walt Whitman"
LITERATURE_OPT_ed73_000A,LITERATURE_af33_0003,"H.P. Lovecraft"
LITERATURE_OPT_e583_000B,LITERATURE_af33_0003,"Peter Straub"
LITERATURE_OPT_3875_000C,LITERATURE_af33_0003,"Edgar Allan Poe"
LITERATURE_OPT_0f1b_000D,LITERATURE_af33_0003,"C.S. Lewis"
LITERATURE_OPT_3222_000A,LITERATURE_bb27_0004,"J.D. Salinger"
LITERATURE_OPT_d087_000B,LITERATURE_bb27_0004,"Aldous Huxley"
LITERATURE_OPT_fd47_000C,LITERATURE_bb27_0004,"Maya Angelou"
LITERATURE_OPT_e85c_000D,LITERATURE_bb27_0004,"William Butler Yeatts"
LITERATURE_OPT_0721_000A,LITERATURE_7081_0005,"Herman Hesse"
LITERATURE_OPT_6b35_000B,LITERATURE_7081_0005,"Rudyard Kipling"
LITERATURE_OPT_d708_000C,LITERATURE_7081_0005,"George Orwell"
LITERATURE_OPT_0fbf_000D,LITERATURE_7081_0005,"Aldous Huxley"
LITERATURE_OPT_4722_000A,LITERATURE_48d6_0006,"Thomas Hardy"
LITERATURE_OPT_69ba_000B,LITERATURE_48d6_0006,"William Faulkner"
LITERATURE_OPT_7d85_000C,LITERATURE_48d6_0006,"Rudyard Kipling"
LITERATURE_OPT_c60b_000D,LITERATURE_48d6_0006,"James Dickey"
LITERATURE_OPT_4c19_000A,LITERATURE_6770_0007,"none of these"
LITERATURE_OPT_3436_000B,LITERATURE_6770_0007,"Frederick Nietzche"
LITERATURE_OPT_3ba5_000C,LITERATURE_6770_0007,"Amari Baraka"
LITERATURE_OPT_305c_000D,LITERATURE_6770_0007,"Stephen King"
LITERATURE_OPT_984c_000A,LITERATURE_da7a_0008,Goblin
LITERATURE_OPT_3926_000B,LITERATURE_da7a_0008,English
LITERATURE_OPT_fe1e_000C,LITERATURE_da7a_0008,Mermish
LITERATURE_OPT_c630_000D,LITERATURE_da7a_0008,Parseltounge
LITERATURE_OPT_a340_000A,LITERATURE_a37c_0009,False
LITERATURE_OPT_64b6_000B,LITERATURE_a37c_0009,True
LITERATURE_OPT_5a9e_000A,LITERATURE_e968_0010,"Millicent Bulstrode"
LITERATURE_OPT_1df9_000B,LITERATURE_e968_0010,Crabbe
LITERATURE_OPT_6a60_000C,LITERATURE_e968_0010,"Millie Vanilli"
LITERATURE_OPT_132e_000D,LITERATURE_e968_0010,"Pansy Parkins"
LITERATURE_OPT_0ff2_000A,LITERATURE_427d_0011,"Flesh-Eating Slug Attractor"
LITERATURE_OPT_1fe6_000B,LITERATURE_427d_0011,"Fresh-Skin Slug Repellent"
LITERATURE_OPT_97e7_000C,LITERATURE_427d_0011,"Flesh-Eating Ant Repellent"
LITERATURE_OPT_0006_000D,LITERATURE_427d_0011,"Flesh-Eating Slug Repellent"
LITERATURE_OPT_de7b_000A,LITERATURE_a865_0012,Ulysses
LITERATURE_OPT_e908_000B,LITERATURE_a865_0012,"Portrait of the Artist"
LITERATURE_OPT_a7c4_000C,LITERATURE_a865_0012,Dubliners
LITERATURE_OPT_a45a_000D,LITERATURE_a865_0012,"Fanny Hill"
LITERATURE_OPT_467b_000A,LITERATURE_9feb_0013,Candide
LITERATURE_OPT_47de_000B,LITERATURE_9feb_0013,Lysistrata
LITERATURE_OPT_94c7_000C,LITERATURE_9feb_0013,"Fanny Hill"
LITERATURE_OPT_a8fb_000D,LITERATURE_9feb_0013,Decameron
LITERATURE_OPT_fb3f_000A,LITERATURE_fe65_0014,"Daddys Roommate"
LITERATURE_OPT_3b78_000B,LITERATURE_fe65_0014,Andersonville
LITERATURE_OPT_8a4f_000C,LITERATURE_fe65_0014,"Annie on My Mind"
LITERATURE_OPT_176f_000D,LITERATURE_fe65_0014,"Catch 22"
LITERATURE_OPT_56d7_000A,LITERATURE_0a8f_0015,"Leaves of Grass"
LITERATURE_OPT_1b27_000B,LITERATURE_0a8f_0015,"Dictionary of American Slang"
LITERATURE_OPT_f728_000C,LITERATURE_0a8f_0015,"Jerusalem Delivered"
LITERATURE_OPT_c10f_000D,LITERATURE_0a8f_0015,"Dont Call Me Brother"
LITERATURE_OPT_15b9_000A,LITERATURE_a679_0016,"Grapes of Wrath"
LITERATURE_OPT_4397_000B,LITERATURE_a679_0016,Lolita
LITERATURE_OPT_552a_000C,LITERATURE_a679_0016,"Freedom and Order"
LITERATURE_OPT_87d2_000D,LITERATURE_a679_0016,Forever
LITERATURE_OPT_09bc_000A,LITERATURE_a5f5_0017,"The Sun Also Rises"
LITERATURE_OPT_3f6a_000B,LITERATURE_a5f5_0017,"Coming Up for Air"
LITERATURE_OPT_f43a_000C,LITERATURE_a5f5_0017,1984
LITERATURE_OPT_e36c_000D,LITERATURE_a5f5_0017,Deliverance
LITERATURE_OPT_9bcb_000A,LITERATURE_b06f_0018,"Sylvie and Bruno"
LITERATURE_OPT_9d44_000B,LITERATURE_b06f_0018,"Alices Adventures in Wonderland"
LITERATURE_OPT_200b_000C,LITERATURE_b06f_0018,"Through The Looking Glass"
LITERATURE_OPT_d055_000D,LITERATURE_b06f_0018,"The Hunting of the Snark"
LITERATURE_OPT_04eb_000A,LITERATURE_e549_0019,"The Quran"
LITERATURE_OPT_a29a_000B,LITERATURE_e549_0019,"The Cabala"
LITERATURE_OPT_2ecc_000C,LITERATURE_e549_0019,"Arabian Nights"
LITERATURE_OPT_2858_000D,LITERATURE_e549_0019,"The Bible"
LITERATURE_OPT_d452_000A,LITERATURE_0747_0020,"Arabian Nights"
LITERATURE_OPT_7f0d_000B,LITERATURE_0747_0020,"Don Quixote"
LITERATURE_OPT_8f71_000C,LITERATURE_0747_0020,Analects
LITERATURE_OPT_93ef_000D,LITERATURE_0747_0020,"Brave New World"
LITERATURE_OPT_ab7f_000A,LITERATURE_5041_0021,"Human skin"
LITERATURE_OPT_ca73_000B,LITERATURE_5041_0021,"Golden plates"
LITERATURE_OPT_1987_000C,LITERATURE_5041_0021,"Bears fur"
LITERATURE_OPT_7e22_000D,LITERATURE_5041_0021,"Used newspapers"
LITERATURE_OPT_8a03_000A,LITERATURE_04f2_0022,"Because of lack of any other proper material"
LITERATURE_OPT_8c76_000B,LITERATURE_04f2_0022,"Because this sold the books more quickly than anything"
LITERATURE_OPT_1d2f_000C,LITERATURE_04f2_0022,"Because the narrative in the book was about the story of the hides owner"
LITERATURE_OPT_9e64_000D,LITERATURE_04f2_0022,"Because it was fashionable at the time"
LITERATURE_OPT_30e2_000A,LITERATURE_4bcf_0023,"She actually likes cats and not dogs"
LITERATURE_OPT_e113_000B,LITERATURE_4bcf_0023,"She is the owner of the dalmatians"
LITERATURE_OPT_257b_000C,LITERATURE_4bcf_0023,"She doesnt give them any food"
LITERATURE_OPT_df18_000D,LITERATURE_4bcf_0023,"She wants the puppies for their fur"
LITERATURE_OPT_1793_000A,LITERATURE_cff2_0024,Edmund
LITERATURE_OPT_92ea_000B,LITERATURE_cff2_0024,"Richard III"
LITERATURE_OPT_bacf_000C,LITERATURE_cff2_0024,"Aaron the Moor"
LITERATURE_OPT_d1e7_000D,LITERATURE_cff2_0024,Othello
LITERATURE_OPT_dfd2_000A,LITERATURE_4b07_0025,"They help children decide what is bad"
LITERATURE_OPT_adb9_000B,LITERATURE_4b07_0025,"They make the story really funny"
LITERATURE_OPT_9d2a_000C,LITERATURE_4b07_0025,"They are interesting models of behaviour"
LITERATURE_OPT_7fd7_000D,LITERATURE_4b07_0025,"They always lose the battle"
LITERATURE_OPT_5d79_000A,LITERATURE_4def_0026,"A Norse legend"
LITERATURE_OPT_ad83_000B,LITERATURE_4def_0026,"An Uzbekistanian fairy-tale"
LITERATURE_OPT_e4e1_000C,LITERATURE_4def_0026,"A Moroccan song"
LITERATURE_OPT_2c4b_000D,LITERATURE_4def_0026,"Russian folklore"
LITERATURE_OPT_5d5c_000A,LITERATURE_ef8c_0027,"Most of its characters are strange beings"
LITERATURE_OPT_e199_000B,LITERATURE_ef8c_0027,"Its characters are mainly clad in black clothes"
LITERATURE_OPT_dcac_000C,LITERATURE_ef8c_0027,"It comprises too many volulmes"
LITERATURE_OPT_bf54_000D,LITERATURE_ef8c_0027,"It is about witchcraft"
LITERATURE_OPT_45f6_000A,LITERATURE_40e5_0028,"Agatha Christie"
LITERATURE_OPT_9edd_000B,LITERATURE_40e5_0028,"Ben Johnson"
LITERATURE_OPT_4f24_000C,LITERATURE_40e5_0028,"Edgar-Allan Poe"
LITERATURE_OPT_7927_000D,LITERATURE_40e5_0028,"Virginia Woolf"
LITERATURE_OPT_b12e_000A,LITERATURE_e2e8_0029,"Georges Sands"
LITERATURE_OPT_c74c_000B,LITERATURE_e2e8_0029,"Edgar Allan Poe"
LITERATURE_OPT_ce64_000C,LITERATURE_e2e8_0029,"Washington Irving"
LITERATURE_OPT_a70c_000D,LITERATURE_e2e8_0029,"Nathaniel Hawthorne"
LITERATURE_OPT_9995_000A,LITERATURE_260f_0030,"Jonathan Kellerman"
LITERATURE_OPT_e7ed_000B,LITERATURE_260f_0030,"Kathy Reichs"
LITERATURE_OPT_8fdc_000C,LITERATURE_260f_0030,"Faye Kellerman"
LITERATURE_OPT_9b08_000D,LITERATURE_260f_0030,"Ross McDonald"
LITERATURE_OPT_25ef_000A,LITERATURE_2418_0031,False
LITERATURE_OPT_f106_000B,LITERATURE_2418_0031,True
LITERATURE_OPT_3f1d_000A,LITERATURE_7b48_0032,False
LITERATURE_OPT_1050_000B,LITERATURE_7b48_0032,True
