question,QID,answer,answer_OID
"Urban Meyer left the head coach position at the Utah Utes to become head coach of this team.",TELEVISION_31e7_0001,"University of Florida",TELEVISION_OPT_51f5_000C
"Jack Bauer, Nina Myers and George Mason are three of the characters of this TV series.",TELEVISION_6c74_0002,24,TELEVISION_OPT_f881_000A
"Harry Solomon, Dick Solomon and Dr. Mary Albright.",TELEVISION_f1fb_0003,"3rd Rock from the Sun",TELEVISION_OPT_542b_000B
"The annoying neighbours, the Ochmoneks are from this TV show.",TELEVISION_9156_0004,ALF,TELEVISION_OPT_1793_000B
"One of these characters is not from Baywatch.",TELEVISION_f6d4_0005,"Kelly Taylor",TELEVISION_OPT_d5cf_000C
"Gilbert (Gil) Arthur Grissom is the night shift team supervisor from this TV show.",TELEVISION_f688_0006,"CSI: Crime Scene Investigation",TELEVISION_OPT_0e50_000B
"One of these ER characters is not a doctor.",TELEVISION_d9a2_0007,"Samantha Taggart",TELEVISION_OPT_720a_000D
"This was one of the best known bosses of Fred Flintstone.",TELEVISION_7b26_0008,"Mr. Slate",TELEVISION_OPT_0dc9_000B
"Julie Cooper and Summer Roberts are two characters from this TV series.",TELEVISION_e896_0009,"The O.C.",TELEVISION_OPT_921f_000B
"Charlotte York, Miranda Hobbes and Samantha Jones are female characters from this TV show.",TELEVISION_12d4_0010,"Sex and the City",TELEVISION_OPT_a8fb_000B
"Kelly and Bud are the kids of a family depicted in this TV series.",TELEVISION_332d_0011,"Married... with Children",TELEVISION_OPT_94b7_000A
"What is the name of the episode of SpongeBob SquarePants in which Sponge and friends all had superpowers?",TELEVISION_0978_0012,"Mermaid Man and Barnicle Boy 3",TELEVISION_OPT_cc0c_000A
"Where does SpongeBob SquarePants live in the self-titled series?",TELEVISION_f8ea_0013,"In a pineapple",TELEVISION_OPT_b515_000C
"Sandy Cheeks, the popular character from the animated series SpongeBob SquarePants, is from what state?",TELEVISION_84b0_0014,Texas,TELEVISION_OPT_2a4c_000C
"What is the secret ingredient of The Fake Krabby Patty, a sandwich mentioned in the series SpongeBob SquarePants?",TELEVISION_4942_0015,"Four heaping pounds of plankton",TELEVISION_OPT_4cfa_000D
"What was the name of the toy shell SpongeBob and Patrick had with them in the Kelp Woods?",TELEVISION_3d2c_0016,"Magic conch shell",TELEVISION_OPT_274a_000D
"Where does the cartoon character SpongeBob work?",TELEVISION_1a4b_0017,"Krusty Krab",TELEVISION_OPT_8d87_000A
"Which character from the animated series SpongeBob SquarePants spoke the words from the sound clip?",TELEVISION_48e2_0018,"Squidward Tentacles",TELEVISION_OPT_d5dd_000B
"Which SpongeBob SquarePants character spoke the following words?",TELEVISION_a4ca_0019,"SpongeBob SquarePants",TELEVISION_OPT_01c6_000B
"Rachel from Friends moves to live with the rest of the friends after escaping her marriage to this man.",TELEVISION_a0a5_0020,Barry,TELEVISION_OPT_08e4_000D
"Alf from the sitcom series has very few friends outside the Tanners. One of them is the boy that lives with Trevor and Raquel Ochmonek. This is their relation to him.",TELEVISION_4dfd_0021,"He is their nephew.",TELEVISION_OPT_4d31_000B
"Doctor Peter Benton was a fictional medical doctor on the television series ER from season one through season eight. What is characteristic of his son?",TELEVISION_a082_0022,"He is deaf.",TELEVISION_OPT_be6f_000C
"Jefferson DArcy is Marcys second husband in Married... with Children. She married him for money.",TELEVISION_5e11_0023,False,TELEVISION_OPT_92e0_000B
"The last episode of Everybody Loves Raymonds ninth season depicts a medical accident that affects this character.",TELEVISION_7452_0024,Raymond,TELEVISION_OPT_38f3_000A
"Rose (Kate Winslet) from Titanic (1997) is this old when the ship sinks.",TELEVISION_d8f5_0025,17,TELEVISION_OPT_4c40_000D
"Before Neo joins Morpheus and his group (The Matrix) he works as this.",TELEVISION_7866_0026,"Software programmer",TELEVISION_OPT_65d3_000C
"Darth Sidious is portrayed in all of these Star Wars movies except this one.",TELEVISION_53a7_0027,"Star Wars Episode IV: A New Hope",TELEVISION_OPT_f435_000D
"This fictional TV character was Mikes wife, and a mother to Greg, Marcia, Peter, Jan, Bobby and Cindy.",TELEVISION_a52d_0028,"Carol Brady",TELEVISION_OPT_44e7_000D
"This TV mom, who had a daughter named Gloria, was married to the working class bigot Archie.",TELEVISION_2827_0029,"Edith Bunker",TELEVISION_OPT_fbe9_000D
"This TV character and her husband Barney had an extremely strong son named Bamm Bamm.",TELEVISION_164f_0030,"Betty Rubble",TELEVISION_OPT_3d3d_000C
