question,QID,answer,answer_OID
"What science did Aristotle define as ‘the knowledge of immaterial being’?",SPORTS_b89d_0001,Metaphysics,SPORTS_OPT_b870_000C
"Which WWF group does this theme music belong to?",SPORTS_7ceb_0002,"D-Generation X",SPORTS_OPT_de33_000B
"What position is former Major League Baseball player, Rollie Fingers famous for playing?",SPORTS_35cd_0003,Pitcher,SPORTS_OPT_7bd9_000C
"What position is former baseball player for the Cincinnati Reds, Johnny Bench famous for playing?",SPORTS_408d_0004,Catcher,SPORTS_OPT_3810_000C
"Baltimore Orioles, Cal Ripken Jr. is most known for playing what position?",SPORTS_4e3c_0005,Shortstop,SPORTS_OPT_ca9e_000D
"Steve Garvey is a famous former baseball player, who is known for playing what position?",SPORTS_c259_0006,"First Base",SPORTS_OPT_9a84_000A
"What position is former Major League Baseball player, Joe Morgan most known to have played?",SPORTS_bcdc_0007,"Second Base",SPORTS_OPT_f4f6_000C
"What position is former professional baseball player, Mike Schmidt famous for playing?",SPORTS_32f2_0008,"Third Base",SPORTS_OPT_624a_000C
"Which of these positions is former baseball player, Dwight Evans most famous for?",SPORTS_534f_0009,"Right Field",SPORTS_OPT_2d50_000A
"Successful Major League Baseball player and coach, Donald Edward Don Gullett, was famous for playing what position?",SPORTS_81bc_0010,Pitcher,SPORTS_OPT_fe67_000A
"Whitey Ford was a successful Major League Baseball player, who played in what position?",SPORTS_5167_0011,Pitcher,SPORTS_OPT_f072_000A
"Carlton Fisk was a successful Major League Baseball player, who played for 24 years with the Boston Red Sox and Chicago White Sox, in what position?",SPORTS_c131_0012,Catcher,SPORTS_OPT_6fb0_000A
"The Pittsburgh Steelers of the 50s had a third string quarterback from Louisville, who was not making it. They cut him and he landed with the Colts. Who was he?",SPORTS_d878_0013,"Johnny Unitas",SPORTS_OPT_3ab6_000D
"Which was the first football team to win back to back Super Bowls with different coaches?",SPORTS_6b8d_0014,"San Francisco",SPORTS_OPT_1801_000A
"How many points did Wilt Chamberlain score in his best game versus New York?",SPORTS_bd70_0015,100,SPORTS_OPT_525a_000B
"He is the youngest NBA player to score 10,000 points.",SPORTS_8927_0016,"Kobe Bryant",SPORTS_OPT_9da1_000B
"He is the shortest player ever to win the Slam Dunk Contest.",SPORTS_ff2d_0017,"Spud Webb",SPORTS_OPT_a76d_000B
"He retired with the NBAs highest scoring average (30.1 points per game).",SPORTS_e428_0018,"Michael Jordan",SPORTS_OPT_beb3_000D
"Karl Malone received the award Most Valuable Player in 1996-97. What team did he play for?",SPORTS_13d7_0019,"Utah Jazz",SPORTS_OPT_0677_000D
"He is the NBAs All-Time scorer.",SPORTS_a712_0020,"Kareem Abdul-Jabbar",SPORTS_OPT_1f09_000A
