OID,QID,text
MOVIES_OPT_3260_000A,MOVIES_ca44_0001,"Don Juan DeMarco"
MOVIES_OPT_8812_000B,MOVIES_ca44_0001,"Ever After"
MOVIES_OPT_faec_000C,MOVIES_ca44_0001,"Crouching Tiger, Hidden Dragon"
MOVIES_OPT_fea1_000D,MOVIES_ca44_0001,Dracula
MOVIES_OPT_d83a_000A,MOVIES_12ff_0002,"When Harry Met Sally"
MOVIES_OPT_6122_000B,MOVIES_12ff_0002,"Don Juan DeMarco"
MOVIES_OPT_c7c7_000C,MOVIES_12ff_0002,"Cant Hardly Wait"
MOVIES_OPT_29b8_000D,MOVIES_12ff_0002,"Ten Things I Hate About You"
MOVIES_OPT_1711_000A,MOVIES_5bda_0003,"Moulin Rouge"
MOVIES_OPT_0893_000B,MOVIES_5bda_0003,"Notting Hill"
MOVIES_OPT_02fd_000C,MOVIES_5bda_0003,"A Knights Tale"
MOVIES_OPT_2b60_000D,MOVIES_5bda_0003,Dracula
MOVIES_OPT_0348_000A,MOVIES_4309_0004,"When Harry Met Sally"
MOVIES_OPT_b085_000B,MOVIES_4309_0004,"Wuthering Heights"
MOVIES_OPT_3f48_000C,MOVIES_4309_0004,"Youve Got Mail"
MOVIES_OPT_88be_000D,MOVIES_4309_0004,"The Mask of Zorro"
MOVIES_OPT_4e90_000A,MOVIES_672b_0005,"A Knights Tale"
MOVIES_OPT_c5e0_000B,MOVIES_672b_0005,Phenomenon
MOVIES_OPT_a791_000C,MOVIES_672b_0005,"Ever After"
MOVIES_OPT_6fb1_000D,MOVIES_672b_0005,"Forget Paris"
MOVIES_OPT_d11d_000A,MOVIES_473f_0006,"Hope Floats"
MOVIES_OPT_6df6_000B,MOVIES_473f_0006,"Some Like It Hot"
MOVIES_OPT_ef8b_000C,MOVIES_473f_0006,Casablanca
MOVIES_OPT_66de_000D,MOVIES_473f_0006,"Moulin Rouge"
MOVIES_OPT_8bb8_000A,MOVIES_bb70_0007,"Forest Gump"
MOVIES_OPT_feb2_000B,MOVIES_bb70_0007,"The Shawshank Redemption"
MOVIES_OPT_75e6_000C,MOVIES_bb70_0007,"Citizen Kane"
MOVIES_OPT_8f0c_000D,MOVIES_bb70_0007,"Good Will Hunting"
MOVIES_OPT_526b_000A,MOVIES_7af6_0008,"Sunrise: A Song of Two Humans"
