OID,QID,text
GEOGRAPHY_OPT_1cf5_000A,GEOGRAPHY_b891_0001,Tirana
GEOGRAPHY_OPT_9a21_000B,GEOGRAPHY_b891_0001,Kabul
GEOGRAPHY_OPT_a793_000C,GEOGRAPHY_b891_0001,Dushanbe
GEOGRAPHY_OPT_1518_000D,GEOGRAPHY_b891_0001,Tashkent
GEOGRAPHY_OPT_3bb1_000A,GEOGRAPHY_d732_0002,Canberra
GEOGRAPHY_OPT_76dc_000B,GEOGRAPHY_d732_0002,Sydney
GEOGRAPHY_OPT_19ac_000C,GEOGRAPHY_d732_0002,Melbourne
GEOGRAPHY_OPT_5188_000D,GEOGRAPHY_d732_0002,Ottawa
GEOGRAPHY_OPT_fce3_000A,GEOGRAPHY_5695_0003,Amsterdam
GEOGRAPHY_OPT_b013_000B,GEOGRAPHY_5695_0003,Luxemburg
GEOGRAPHY_OPT_7116_000C,GEOGRAPHY_5695_0003,Brussels
GEOGRAPHY_OPT_ba42_000D,GEOGRAPHY_5695_0003,Stockholm
GEOGRAPHY_OPT_cf7e_000A,GEOGRAPHY_fab0_0004,Ankara
GEOGRAPHY_OPT_5342_000B,GEOGRAPHY_fab0_0004,Athens
GEOGRAPHY_OPT_ab0d_000C,GEOGRAPHY_fab0_0004,Sofia
GEOGRAPHY_OPT_5010_000D,GEOGRAPHY_fab0_0004,Thessaloniki
GEOGRAPHY_OPT_f688_000A,GEOGRAPHY_8527_0005,Venice
GEOGRAPHY_OPT_3a31_000B,GEOGRAPHY_8527_0005,Rome
GEOGRAPHY_OPT_e6af_000C,GEOGRAPHY_8527_0005,Naples
GEOGRAPHY_OPT_0798_000D,GEOGRAPHY_8527_0005,Milan
GEOGRAPHY_OPT_9dc5_000A,GEOGRAPHY_3e36_0006,"Tel Aviv"
GEOGRAPHY_OPT_7693_000B,GEOGRAPHY_3e36_0006,Kabul
GEOGRAPHY_OPT_e29f_000C,GEOGRAPHY_3e36_0006,Jerusalem
GEOGRAPHY_OPT_7311_000D,GEOGRAPHY_3e36_0006,Islamabad
GEOGRAPHY_OPT_91bb_000A,GEOGRAPHY_dd81_0007,Frankfurt
GEOGRAPHY_OPT_7095_000B,GEOGRAPHY_dd81_0007,Berlin
GEOGRAPHY_OPT_733c_000C,GEOGRAPHY_dd81_0007,Munich
GEOGRAPHY_OPT_4fff_000D,GEOGRAPHY_dd81_0007,Hamburg
GEOGRAPHY_OPT_91ce_000A,GEOGRAPHY_54b7_0008,Stockholm
GEOGRAPHY_OPT_6ad6_000B,GEOGRAPHY_54b7_0008,Helsinki
GEOGRAPHY_OPT_7bb1_000C,GEOGRAPHY_54b7_0008,Oslo
GEOGRAPHY_OPT_37fc_000D,GEOGRAPHY_54b7_0008,Copenhagen
GEOGRAPHY_OPT_504d_000A,GEOGRAPHY_add9_0009,"Little Rock"
GEOGRAPHY_OPT_71fe_000B,GEOGRAPHY_add9_0009,Dover
GEOGRAPHY_OPT_f33b_000C,GEOGRAPHY_add9_0009,Frankfort
GEOGRAPHY_OPT_3e50_000D,GEOGRAPHY_add9_0009,Honolulu
GEOGRAPHY_OPT_7de4_000A,GEOGRAPHY_c999_0010,Ural
GEOGRAPHY_OPT_1d8c_000B,GEOGRAPHY_c999_0010,Volga
GEOGRAPHY_OPT_f509_000C,GEOGRAPHY_c999_0010,Ob
GEOGRAPHY_OPT_aeff_000D,GEOGRAPHY_c999_0010,Lena
GEOGRAPHY_OPT_b908_000A,GEOGRAPHY_5fcc_0011,"Nevado Mismi"
GEOGRAPHY_OPT_e68f_000B,GEOGRAPHY_5fcc_0011,Misti
GEOGRAPHY_OPT_ef29_000C,GEOGRAPHY_5fcc_0011,Cotopaxi
GEOGRAPHY_OPT_2aa7_000D,GEOGRAPHY_5fcc_0011,"Mount Chimborazo"
GEOGRAPHY_OPT_4fca_000A,GEOGRAPHY_ae6a_0012,Irtysh
GEOGRAPHY_OPT_de9c_000B,GEOGRAPHY_ae6a_0012,"Huai River"
GEOGRAPHY_OPT_7bf9_000C,GEOGRAPHY_ae6a_0012,Yangtze
GEOGRAPHY_OPT_5bbd_000D,GEOGRAPHY_ae6a_0012,Mekong
GEOGRAPHY_OPT_16fd_000A,GEOGRAPHY_27d9_0013,Brown
GEOGRAPHY_OPT_2c07_000B,GEOGRAPHY_27d9_0013,Orange
GEOGRAPHY_OPT_acd3_000C,GEOGRAPHY_27d9_0013,Yellow
GEOGRAPHY_OPT_3c06_000D,GEOGRAPHY_27d9_0013,Red
GEOGRAPHY_OPT_3dd5_000A,GEOGRAPHY_8da8_0014,"Lake Superior"
GEOGRAPHY_OPT_96ac_000B,GEOGRAPHY_8da8_0014,"Lake Pepin"
GEOGRAPHY_OPT_0059_000C,GEOGRAPHY_8da8_0014,"Lake Itasca"
GEOGRAPHY_OPT_d2f5_000D,GEOGRAPHY_8da8_0014,"Cass Lake"
GEOGRAPHY_OPT_7a83_000A,GEOGRAPHY_6ed5_0015,Mekong
GEOGRAPHY_OPT_d92e_000B,GEOGRAPHY_6ed5_0015,Saskatchewan
GEOGRAPHY_OPT_aae4_000C,GEOGRAPHY_6ed5_0015,Angara
GEOGRAPHY_OPT_ddaf_000D,GEOGRAPHY_6ed5_0015,Brahmaputra
GEOGRAPHY_OPT_7f75_000A,GEOGRAPHY_07a9_0016,Don
GEOGRAPHY_OPT_ba52_000B,GEOGRAPHY_07a9_0016,Dniepr
GEOGRAPHY_OPT_6233_000C,GEOGRAPHY_07a9_0016,Danube
GEOGRAPHY_OPT_23f2_000D,GEOGRAPHY_07a9_0016,Emba
GEOGRAPHY_OPT_00d4_000A,GEOGRAPHY_814e_0017,"The Bay of Bengal"
GEOGRAPHY_OPT_de9a_000B,GEOGRAPHY_814e_0017,"Lop Nur"
GEOGRAPHY_OPT_a458_000C,GEOGRAPHY_814e_0017,"The Quarry Bay"
GEOGRAPHY_OPT_0610_000D,GEOGRAPHY_814e_0017,"Kara Sea"
GEOGRAPHY_OPT_f261_000A,GEOGRAPHY_2984_0018,Zambezi
GEOGRAPHY_OPT_97ea_000B,GEOGRAPHY_2984_0018,Congo
GEOGRAPHY_OPT_4808_000C,GEOGRAPHY_2984_0018,Gambia
GEOGRAPHY_OPT_51fa_000D,GEOGRAPHY_2984_0018,Orange
GEOGRAPHY_OPT_dee3_000A,GEOGRAPHY_adb7_0019,"Sudan, Ethiopia and Kenya"
GEOGRAPHY_OPT_7daa_000B,GEOGRAPHY_adb7_0019,"Zambia, Angola and Sudan"
GEOGRAPHY_OPT_0cdf_000C,GEOGRAPHY_adb7_0019,"Uganda, Kenya and Tanzania"
GEOGRAPHY_OPT_0eec_000D,GEOGRAPHY_adb7_0019,"Egypt, Morocco and Zimbabwe"
GEOGRAPHY_OPT_7273_000A,GEOGRAPHY_3f54_0020,"Tropic of Capricorn"
GEOGRAPHY_OPT_d25c_000B,GEOGRAPHY_3f54_0020,Equator
GEOGRAPHY_OPT_1c71_000C,GEOGRAPHY_3f54_0020,"Tropic of Cancer"
GEOGRAPHY_OPT_af7b_000D,GEOGRAPHY_3f54_0020,"Prime Meridian"
GEOGRAPHY_OPT_4bdc_000A,GEOGRAPHY_3a62_0021,"Tropic of Cancer"
GEOGRAPHY_OPT_094a_000B,GEOGRAPHY_3a62_0021,"Prime Meridian"
GEOGRAPHY_OPT_857e_000C,GEOGRAPHY_3a62_0021,"Tropic of Capricorn"
GEOGRAPHY_OPT_6994_000D,GEOGRAPHY_3a62_0021,Equator
GEOGRAPHY_OPT_e5af_000A,GEOGRAPHY_13cd_0022,"South America, Africa, and Australia"
GEOGRAPHY_OPT_ea16_000B,GEOGRAPHY_13cd_0022,"Australia and Antarctica"
GEOGRAPHY_OPT_7285_000C,GEOGRAPHY_13cd_0022,"South America, Australia and Antarctica"
GEOGRAPHY_OPT_0d99_000D,GEOGRAPHY_13cd_0022,"South America and Australia"
GEOGRAPHY_OPT_678b_000A,GEOGRAPHY_295d_0023,"North America and Europe"
GEOGRAPHY_OPT_3a1b_000B,GEOGRAPHY_295d_0023,"Europe, Africa and Asia"
GEOGRAPHY_OPT_8e74_000C,GEOGRAPHY_295d_0023,"North America, Africa, and Asia"
GEOGRAPHY_OPT_1e13_000D,GEOGRAPHY_295d_0023,"North America, Europe, and Asia"
GEOGRAPHY_OPT_535f_000A,GEOGRAPHY_613d_0024,"North America, Europe, and Asia"
GEOGRAPHY_OPT_f609_000B,GEOGRAPHY_613d_0024,"Europe, Asia, Africa, Australia"
GEOGRAPHY_OPT_90ea_000C,GEOGRAPHY_613d_0024,"Australia and Antarctica"
GEOGRAPHY_OPT_a557_000D,GEOGRAPHY_613d_0024,"North America and South America"
GEOGRAPHY_OPT_86b0_000A,GEOGRAPHY_a7c9_0025,"a key"
GEOGRAPHY_OPT_b0af_000B,GEOGRAPHY_a7c9_0025,"a legend"
GEOGRAPHY_OPT_fe27_000C,GEOGRAPHY_a7c9_0025,"a compass rose"
GEOGRAPHY_OPT_0b19_000D,GEOGRAPHY_a7c9_0025,"a scale"
GEOGRAPHY_OPT_ce0c_000A,GEOGRAPHY_62fc_0026,Robinson
GEOGRAPHY_OPT_26a8_000B,GEOGRAPHY_62fc_0026,Crusoe
GEOGRAPHY_OPT_179d_000C,GEOGRAPHY_62fc_0026,Mercator
GEOGRAPHY_OPT_dd7a_000D,GEOGRAPHY_62fc_0026,Interrupted
GEOGRAPHY_OPT_e906_000A,GEOGRAPHY_369d_0027,"South America"
GEOGRAPHY_OPT_0ffc_000B,GEOGRAPHY_369d_0027,Antarctica
GEOGRAPHY_OPT_cc77_000C,GEOGRAPHY_369d_0027,"North America"
GEOGRAPHY_OPT_8d29_000D,GEOGRAPHY_369d_0027,Europe
GEOGRAPHY_OPT_5fbe_000A,GEOGRAPHY_d68f_0028,Seychelles
GEOGRAPHY_OPT_ae89_000B,GEOGRAPHY_d68f_0028,Liechtenstein
GEOGRAPHY_OPT_8816_000C,GEOGRAPHY_d68f_0028,"San Marino"
GEOGRAPHY_OPT_9e71_000D,GEOGRAPHY_d68f_0028,"Marshall Islands"
GEOGRAPHY_OPT_ef47_000A,GEOGRAPHY_b493_0029,Houston
GEOGRAPHY_OPT_dc1b_000B,GEOGRAPHY_b493_0029,Phoenix
GEOGRAPHY_OPT_3948_000C,GEOGRAPHY_b493_0029,Philadelphia
GEOGRAPHY_OPT_8fd4_000D,GEOGRAPHY_b493_0029,"San Antonio"
GEOGRAPHY_OPT_d83a_000A,GEOGRAPHY_3dfd_0030,"Puncak Jaya"
GEOGRAPHY_OPT_6cb9_000B,GEOGRAPHY_3dfd_0030,"Mount McKinley"
GEOGRAPHY_OPT_53e0_000C,GEOGRAPHY_3dfd_0030,"Mount Elbrus"
GEOGRAPHY_OPT_0213_000D,GEOGRAPHY_3dfd_0030,"Mount Kilimanjaro"
GEOGRAPHY_OPT_384a_000A,GEOGRAPHY_80d5_0031,"Caspian Sea"
GEOGRAPHY_OPT_2207_000B,GEOGRAPHY_80d5_0031,"Malawi or Nyasa"
GEOGRAPHY_OPT_3c38_000C,GEOGRAPHY_80d5_0031,Tanganyika
GEOGRAPHY_OPT_6b46_000D,GEOGRAPHY_80d5_0031,Issyk-Kul
GEOGRAPHY_OPT_5668_000A,GEOGRAPHY_983a_0032,Lena
GEOGRAPHY_OPT_cad5_000B,GEOGRAPHY_983a_0032,Huang
GEOGRAPHY_OPT_ab34_000C,GEOGRAPHY_983a_0032,Amur
GEOGRAPHY_OPT_8f4b_000D,GEOGRAPHY_983a_0032,Ob-Irtysh
GEOGRAPHY_OPT_28c1_000A,GEOGRAPHY_681f_0033,Bering
GEOGRAPHY_OPT_4b72_000B,GEOGRAPHY_681f_0033,"Arabian Sea"
GEOGRAPHY_OPT_d712_000C,GEOGRAPHY_681f_0033,Mediterranean
GEOGRAPHY_OPT_51f4_000D,GEOGRAPHY_681f_0033,"Gulf of Mexico"
GEOGRAPHY_OPT_09ce_000A,GEOGRAPHY_92e5_0034,Chihuahuan
GEOGRAPHY_OPT_72d9_000B,GEOGRAPHY_92e5_0034,Syrian
GEOGRAPHY_OPT_35f4_000C,GEOGRAPHY_92e5_0034,Thar
GEOGRAPHY_OPT_f266_000D,GEOGRAPHY_92e5_0034,"Great Sandy"
GEOGRAPHY_OPT_aff0_000A,GEOGRAPHY_b6a9_0035,Moulein
GEOGRAPHY_OPT_06f8_000B,GEOGRAPHY_b6a9_0035,Sylhet
GEOGRAPHY_OPT_5c17_000C,GEOGRAPHY_b6a9_0035,Baguio
GEOGRAPHY_OPT_abb8_000D,GEOGRAPHY_b6a9_0035,Lae
GEOGRAPHY_OPT_c5b5_000A,GEOGRAPHY_e183_0036,"Pacific Ocean"
GEOGRAPHY_OPT_d14c_000B,GEOGRAPHY_e183_0036,"Indian Ocean"
GEOGRAPHY_OPT_5706_000C,GEOGRAPHY_e183_0036,"Atlantic Ocean"
GEOGRAPHY_OPT_8d6a_000D,GEOGRAPHY_e183_0036,"Arctic Ocean"
GEOGRAPHY_OPT_fc41_000A,GEOGRAPHY_76be_0037,Columbia
GEOGRAPHY_OPT_e07d_000B,GEOGRAPHY_76be_0037,Portugal
GEOGRAPHY_OPT_8bc3_000C,GEOGRAPHY_76be_0037,Spain
GEOGRAPHY_OPT_b04d_000D,GEOGRAPHY_76be_0037,Brazil
GEOGRAPHY_OPT_fa59_000A,GEOGRAPHY_9ac3_0038,Japan
GEOGRAPHY_OPT_d27c_000B,GEOGRAPHY_9ac3_0038,Malaysia
GEOGRAPHY_OPT_6628_000C,GEOGRAPHY_9ac3_0038,"North Korea"
GEOGRAPHY_OPT_e94b_000D,GEOGRAPHY_9ac3_0038,Indonesia
GEOGRAPHY_OPT_7158_000A,GEOGRAPHY_9639_0039,Kazakhstan
GEOGRAPHY_OPT_0124_000B,GEOGRAPHY_9639_0039,Mongolia
GEOGRAPHY_OPT_d2bc_000C,GEOGRAPHY_9639_0039,Ukraine
GEOGRAPHY_OPT_a04b_000D,GEOGRAPHY_9639_0039,Russia
GEOGRAPHY_OPT_292e_000A,GEOGRAPHY_74f2_0040,Burma
GEOGRAPHY_OPT_aa68_000B,GEOGRAPHY_74f2_0040,China
GEOGRAPHY_OPT_0916_000C,GEOGRAPHY_74f2_0040,Thailand
GEOGRAPHY_OPT_2bf7_000D,GEOGRAPHY_74f2_0040,India
GEOGRAPHY_OPT_781a_000A,GEOGRAPHY_5879_0041,Argentina
GEOGRAPHY_OPT_3d0f_000B,GEOGRAPHY_5879_0041,Chili
GEOGRAPHY_OPT_74b9_000C,GEOGRAPHY_5879_0041,Brazil
GEOGRAPHY_OPT_2c1d_000D,GEOGRAPHY_5879_0041,Peru
GEOGRAPHY_OPT_ee6b_000A,GEOGRAPHY_de6a_0042,France
GEOGRAPHY_OPT_2a7b_000B,GEOGRAPHY_de6a_0042,Netherlands
GEOGRAPHY_OPT_7778_000C,GEOGRAPHY_de6a_0042,Spain
GEOGRAPHY_OPT_97ae_000D,GEOGRAPHY_de6a_0042,Belgium
GEOGRAPHY_OPT_b63d_000A,GEOGRAPHY_ec19_0043,Niger
GEOGRAPHY_OPT_532d_000B,GEOGRAPHY_ec19_0043,Nigeria
GEOGRAPHY_OPT_e18f_000C,GEOGRAPHY_ec19_0043,Cameroon
GEOGRAPHY_OPT_6026_000D,GEOGRAPHY_ec19_0043,Chad
GEOGRAPHY_OPT_7d56_000A,GEOGRAPHY_9ef6_0044,Indonesia
GEOGRAPHY_OPT_b8e7_000B,GEOGRAPHY_9ef6_0044,Australia
GEOGRAPHY_OPT_4d18_000C,GEOGRAPHY_9ef6_0044,"Papua New Guinea"
