OID,QID,text
RELIGION_OPT_c3b7_000A,RELIGION_700b_0001,"Johnny Depp"
RELIGION_OPT_bf35_000B,RELIGION_700b_0001,"Antonio Banderas"
RELIGION_OPT_efac_000C,RELIGION_700b_0001,"Heath Ledger"
RELIGION_OPT_1b38_000D,RELIGION_700b_0001,"Ryan Phillippe"
RELIGION_OPT_95a5_000A,RELIGION_4546_0002,Enoch
RELIGION_OPT_675f_000B,RELIGION_4546_0002,Cain
RELIGION_OPT_a83e_000C,RELIGION_4546_0002,Abel
RELIGION_OPT_a8c6_000D,RELIGION_4546_0002,Seth
RELIGION_OPT_5b53_000A,RELIGION_0cd8_0003,"raven and hawk"
RELIGION_OPT_7388_000B,RELIGION_0cd8_0003,"hawk and jay"
RELIGION_OPT_5f7a_000C,RELIGION_0cd8_0003,"raven and dove"
RELIGION_OPT_8d72_000D,RELIGION_0cd8_0003,"dove and hawk"
RELIGION_OPT_50fb_000A,RELIGION_9f9d_0004,Zilpah
RELIGION_OPT_3771_000B,RELIGION_9f9d_0004,Leah
RELIGION_OPT_1fc1_000C,RELIGION_9f9d_0004,Rachel
RELIGION_OPT_095d_000D,RELIGION_9f9d_0004,Bilhah
RELIGION_OPT_0af8_000A,RELIGION_1b46_0005,bull
RELIGION_OPT_6bc6_000B,RELIGION_1b46_0005,calf
RELIGION_OPT_ebd2_000C,RELIGION_1b46_0005,duck
RELIGION_OPT_f268_000D,RELIGION_1b46_0005,ram
RELIGION_OPT_e9d7_000A,RELIGION_8a62_0006,"When you see trouble coming, dont be stupid and walk right into it--be smart and hide."
RELIGION_OPT_d7a6_000B,RELIGION_8a62_0006,"Good people are remembered long after they are gone, but the wicked are soon forgotten."
RELIGION_OPT_3983_000C,RELIGION_8a62_0006,"Children with good sense make their parents happy, but foolish children make them sad."
RELIGION_OPT_b840_000D,RELIGION_8a62_0006,"You will say the wrong thing if you talk too much--so be sensible and watch what you say."
RELIGION_OPT_e686_000A,RELIGION_483a_0007,Uriel
RELIGION_OPT_6489_000B,RELIGION_483a_0007,Raphael
RELIGION_OPT_923f_000C,RELIGION_483a_0007,Gabriel
RELIGION_OPT_7eff_000D,RELIGION_483a_0007,Michael
RELIGION_OPT_ee34_000A,RELIGION_38e7_0008,"The Parable of the Mustard Seed"
RELIGION_OPT_7cf9_000B,RELIGION_38e7_0008,"The Parable of the Old Men and the Young"
RELIGION_OPT_3708_000C,RELIGION_38e7_0008,"The Parable of the Prodigal Son"
RELIGION_OPT_387a_000D,RELIGION_38e7_0008,"The Parable of the Ten Servants"
RELIGION_OPT_004d_000A,RELIGION_aa95_0009,"Black Horse (Famine)"
RELIGION_OPT_a4c3_000B,RELIGION_aa95_0009,"Red Horse (War)"
RELIGION_OPT_9973_000C,RELIGION_aa95_0009,"White Horse (Conquest )"
RELIGION_OPT_ecc4_000D,RELIGION_aa95_0009,"Pale/Green Horse (Death)"
RELIGION_OPT_b60e_000A,RELIGION_e75a_0010,"they shall be comforted."
RELIGION_OPT_d8f0_000B,RELIGION_e75a_0010,"shall be called children of God."
RELIGION_OPT_777b_000C,RELIGION_e75a_0010,"they shall see Heaven."
RELIGION_OPT_9cd9_000D,RELIGION_e75a_0010,"theirs is the Kindgom of Heaven."
RELIGION_OPT_540b_000A,RELIGION_7031_0011,Adam
RELIGION_OPT_63ed_000B,RELIGION_7031_0011,Joseph
RELIGION_OPT_c938_000C,RELIGION_7031_0011,Moses
RELIGION_OPT_e04d_000D,RELIGION_7031_0011,Abraham
RELIGION_OPT_c8f7_000A,RELIGION_54c8_0012,2000
RELIGION_OPT_1041_000B,RELIGION_54c8_0012,500
RELIGION_OPT_d080_000C,RELIGION_54c8_0012,1000
RELIGION_OPT_6adf_000D,RELIGION_54c8_0012,100
RELIGION_OPT_e850_000A,RELIGION_ea32_0013,David
RELIGION_OPT_bbd2_000B,RELIGION_ea32_0013,John
RELIGION_OPT_edb1_000C,RELIGION_ea32_0013,Peter
RELIGION_OPT_2369_000D,RELIGION_ea32_0013,Paul
RELIGION_OPT_4eae_000A,RELIGION_a6d2_0014,Paul
RELIGION_OPT_ec48_000B,RELIGION_a6d2_0014,Peter
RELIGION_OPT_81e4_000C,RELIGION_a6d2_0014,James
RELIGION_OPT_a763_000D,RELIGION_a6d2_0014,John
RELIGION_OPT_08e5_000A,RELIGION_efc3_0015,33
RELIGION_OPT_d537_000B,RELIGION_efc3_0015,27
RELIGION_OPT_0232_000C,RELIGION_efc3_0015,40
RELIGION_OPT_c718_000D,RELIGION_efc3_0015,30
RELIGION_OPT_5aa6_000A,RELIGION_a83e_0016,40
RELIGION_OPT_2f5a_000B,RELIGION_a83e_0016,33
RELIGION_OPT_ae85_000C,RELIGION_a83e_0016,27
RELIGION_OPT_97b0_000D,RELIGION_a83e_0016,30
RELIGION_OPT_f9e7_000A,RELIGION_04ed_0017,True
RELIGION_OPT_c2a3_000B,RELIGION_04ed_0017,False
RELIGION_OPT_6fcc_000A,RELIGION_f6ce_0018,True
RELIGION_OPT_2456_000B,RELIGION_f6ce_0018,False
RELIGION_OPT_d1e4_000A,RELIGION_3420_0019,"Joseph of Arimathea"
RELIGION_OPT_61ca_000B,RELIGION_3420_0019,"Joseph of Antioch"
RELIGION_OPT_2568_000C,RELIGION_3420_0019,"Mary Magdalene"
RELIGION_OPT_2900_000D,RELIGION_3420_0019,"Apostle Peter"
RELIGION_OPT_514b_000A,RELIGION_e6c7_0020,False
RELIGION_OPT_b619_000B,RELIGION_e6c7_0020,True
RELIGION_OPT_40bc_000A,RELIGION_e1aa_0021,True
RELIGION_OPT_33fb_000B,RELIGION_e1aa_0021,False
RELIGION_OPT_8d36_000A,RELIGION_9178_0022,"Tax collector"
RELIGION_OPT_4021_000B,RELIGION_9178_0022,Carpenter
RELIGION_OPT_42ea_000C,RELIGION_9178_0022,Physician
RELIGION_OPT_4873_000D,RELIGION_9178_0022,"Boat builder"
RELIGION_OPT_98ff_000A,RELIGION_0a70_0023,Cain
RELIGION_OPT_76a1_000B,RELIGION_0a70_0023,Solomon
RELIGION_OPT_2cb2_000C,RELIGION_0a70_0023,Adam
RELIGION_OPT_9c3f_000D,RELIGION_0a70_0023,Abel
RELIGION_OPT_75c1_000A,RELIGION_ffc2_0024,John
RELIGION_OPT_0ded_000B,RELIGION_ffc2_0024,Peter
RELIGION_OPT_e69f_000C,RELIGION_ffc2_0024,Solomon
RELIGION_OPT_da78_000D,RELIGION_ffc2_0024,Jesus
