question,QID,answer,answer_OID
"What year did the sensational movie The Departed first hit the theatres in the United States?",RATED_abcc_0001,2006,RATED_OPT_cf81_000C
"What city is the movie The Departed set in?",RATED_5227_0002,Boston,RATED_OPT_bdea_000B
"How does Billy Costigan tell Sullivans girlfriend (the criminal psychiatrist) that he is an informant for the Irish mob?",RATED_2b4f_0003,"sends her a tape/dvd in the mail",RATED_OPT_4e08_000B
"Who kills Sgt. Colin Sullivan at the end of the movie The Deprated?",RATED_8d2d_0004,"Staff Sgt. Sean Dignam",RATED_OPT_568e_000D
"The last scene in the movie The Departed shows a rodent crawling on Sullivans balcony railing. The rodent appears after Sullivan was shot in the head. What type of rodent was it?",RATED_952e_0005,"a rat",RATED_OPT_e769_000D
"What year did the sensational movie Rocky first hit the movie theatres?",RATED_9e63_0006,1976,RATED_OPT_fa18_000B
"This Emmy Award-winning comedy series was based on the lives of four women living together in Miami Beach, Florida.",RATED_a662_0007,"Golden Girls",RATED_OPT_15af_000A
"This actor won the Emmy Award for Outstanding Lead Actor in a Comedy Series for his part as the bumbling Jack Tripper in Threes Company.",RATED_1684_0008,"John Ritter",RATED_OPT_1785_000A
"Michael J. Fox won three consecutive Emmy Awards for Outstanding Actor in a Comedy Series for his role as Alex Keaton in the hit comedy series Family Ties.",RATED_9ec8_0009,True,RATED_OPT_97d7_000A
"This comedy starring Don Adams won two Emmy Awards for Outstanding Comedy Series in 1968 and 1969.",RATED_0f0c_0010,"Get Smart",RATED_OPT_872a_000A
"The 60s pop band The Monkees starred in their own show of the same name and won two Emmy Awards for Outstanding Comedy Series in 1966 and 1967.",RATED_5b0e_0011,False,RATED_OPT_6648_000B
"Shelley Long and Kirstie Alley both won Emmy Awards for Outstanding Lead Actress in a Comedy Series for this perennial Emmy nominee.",RATED_7146_0012,Cheers,RATED_OPT_19b2_000A
