question,QID,answer,answer_OID
"One of Johnny Depps earliest film roles was as Gator Lerner in what 1986 movie?",CELEBRITIES_2f3b_0001,Platoon,CELEBRITIES_OPT_5cf7_000B
"Which of these Tim Burton films, starring Johnny Depp, came first?",CELEBRITIES_4196_0002,"Edward Scissorhands",CELEBRITIES_OPT_61b7_000D
"This Scottish author, portrayed by Johnny Depp in the movie Finding Neverland, created the fictional character Peter Pan.",CELEBRITIES_edd7_0003,"James Barrie",CELEBRITIES_OPT_c9ca_000D
"In the 2001 movie Blow, Johny Depps role is based on the real life story of his character.",CELEBRITIES_8c6c_0004,True,CELEBRITIES_OPT_a616_000A
"What is the first name of Johnny Depps character in the 2004 film Secret Window?",CELEBRITIES_bd75_0005,Mort,CELEBRITIES_OPT_0090_000D
"Johnny Depp played the role of Inspector Fred Abberline in what 2001 film?",CELEBRITIES_0d81_0006,"From Hell",CELEBRITIES_OPT_c2a0_000A
"Johnny Depp publicly stated that he, in part, had based his portrayal of Captain Jack Sparrow in Pirates of the Caribbean: The Curse of the Black Pearl on which musician?",CELEBRITIES_23d5_0007,"Keith Richards",CELEBRITIES_OPT_3f87_000D
"In the 1993 movie Whats Eating Gilbert Grape, Gilbert Grape is the name of the character played by Johnny Depp.",CELEBRITIES_65ab_0008,True,CELEBRITIES_OPT_6135_000B
"When was Elvis born?",CELEBRITIES_8f7e_0009,"January 8, 1935",CELEBRITIES_OPT_2f22_000A
"Who were Elviss parents?",CELEBRITIES_8b4b_0010,"Gladys and Vernon",CELEBRITIES_OPT_18e1_000B
"What is Elviss mansion called?",CELEBRITIES_734c_0011,Graceland,CELEBRITIES_OPT_8665_000D
"What town was Elvis born in?",CELEBRITIES_9075_0012,Tupelo,CELEBRITIES_OPT_8656_000C
"He played Nicholas Bradford on the ultra popular 70s sitcom Eight is Enough.",CELEBRITIES_6150_0013,"Adam Rich",CELEBRITIES_OPT_26ad_000A
"Rapper turned actor Will Smith married this actress in 1997.",CELEBRITIES_12a5_0014,"Jada Pinkett",CELEBRITIES_OPT_c3d2_000C
"Former tennis great Steffi Graf married this former tennis great in 2001.",CELEBRITIES_5045_0015,"Andre Agassi",CELEBRITIES_OPT_159a_000C
"In 1997, Actor Matthew Broderick married this Sex and the City star.",CELEBRITIES_4245_0016,"Sarah Jessica Parker",CELEBRITIES_OPT_becd_000B
