question,QID,answer,answer_OID
"Greta Garbo was successfully treated for this disease.",ENTERTAINMENT_6eea_0001,"Breast cancer",ENTERTAINMENT_OPT_1d57_000B
"In 1952, A.S. Douglas developed the first graphical game to run on a computer.  It ran on the EDSAC.  What was the name of this game?",ENTERTAINMENT_6c86_0002,OXO,ENTERTAINMENT_OPT_d6b9_000C
"Nolan Bushnell is considered to be the father of the video arcade industry. In 1972 he founded his own game company and together with Ted Dabney and Al Alcorn released the first arcade video game with major success- Pong. What was the name of his company?",ENTERTAINMENT_04c4_0003,Atari,ENTERTAINMENT_OPT_5ce0_000D
"Pong was first installed at a high school.",ENTERTAINMENT_da6f_0004,False,ENTERTAINMENT_OPT_7b99_000A
"In 1972 a company named Waco released the first handheld electronic game. What was its name?",ENTERTAINMENT_a1d3_0005,"Tic Tac Toe",ENTERTAINMENT_OPT_833c_000B
"In 1978 Taito released one of the most influential arcade video games. It was called Space Invaders and marked the beginning of the Golden Age of arcade games. What was the thing that the player controlled in Space Invaders?",ENTERTAINMENT_f9df_0006,"A movable laser cannon",ENTERTAINMENT_OPT_690c_000C
"Mario, probably the best-known video game character, first appeared in Donkey Kong in 1981.  His brother Luigi first appeared in Mario Bros.",ENTERTAINMENT_a689_0007,True,ENTERTAINMENT_OPT_64ac_000B
"Nintendo is undoubtedly one of the most successful and best known console manufacturers. Nintendo has created several TV consoles and many handheld portables, such as the Game Boy and the Game  Watch. When was the company originally founded?",ENTERTAINMENT_0b97_0008,1889,ENTERTAINMENT_OPT_9c03_000D
"With the introduction of cheap and relatively powerful processors such as Intel 386, Intel 486 and Motorola 68000 3D-graphics became fashionable. It was used in FPS games like the legendary Wolfenstein 3D and Doom. Do you know what FPS stands for in this context?",ENTERTAINMENT_267c_0009,"First Person Shooter",ENTERTAINMENT_OPT_03e7_000D
"Sonic the Hedgehog is a mascot of Sony Playstation.",ENTERTAINMENT_d13d_0010,False,ENTERTAINMENT_OPT_6916_000A
"When in 1996 3dfx released the Voodoo chipset, it made high-resolution and more-detailed 3D games possible. One of the first games to take advantage of this was Quake. Do you know which company released this marvelous game?",ENTERTAINMENT_300f_0011,"id Software",ENTERTAINMENT_OPT_669b_000C
"These fictional superheroes were born, when a container of radioactive waste bounced off a truck and struck a young boy, turning him into Daredevil.",ENTERTAINMENT_439e_0012,"Teenage Mutant Ninja Turtles",ENTERTAINMENT_OPT_f1d1_000A
"This superhero, who first appeared in the comic book Tales of Suspense, used his own invention to keep his heart pumping.",ENTERTAINMENT_4451_0013,"Iron Man",ENTERTAINMENT_OPT_81e7_000C
