question,QID,answer,answer_OID
"What is the capital of Afghanistan?",GEOGRAPHY_b891_0001,Kabul,GEOGRAPHY_OPT_9a21_000B
"What is the capital of Australia?",GEOGRAPHY_d732_0002,Canberra,GEOGRAPHY_OPT_3bb1_000A
"What is the capital of Belgium?",GEOGRAPHY_5695_0003,Brussels,GEOGRAPHY_OPT_7116_000C
"What is the capital of Greece?",GEOGRAPHY_fab0_0004,Athens,GEOGRAPHY_OPT_5342_000B
"What is the capital of Italy?",GEOGRAPHY_8527_0005,Rome,GEOGRAPHY_OPT_3a31_000B
"What is the capital of Israel?",GEOGRAPHY_3e36_0006,Jerusalem,GEOGRAPHY_OPT_e29f_000C
"What is the capital of Germany?",GEOGRAPHY_dd81_0007,Berlin,GEOGRAPHY_OPT_7095_000B
"What is the capital of Norway?",GEOGRAPHY_54b7_0008,Oslo,GEOGRAPHY_OPT_7bb1_000C
"What is the capital and largest city of Hawaii, the 50th US state?",GEOGRAPHY_add9_0009,Honolulu,GEOGRAPHY_OPT_3e50_000D
"When the streams Biya and Katun join in Altai Krai, they form this mighty river. It is located in West Siberia, Russia and has many names- the Siberian Tatars call it Omar or Umar, the Samoyedes- Kolta or Kuay and to the Ostiaks it is known as the As, Yag, Kolta and Yema. It joins the Irtysh river, forming the longest river flow in Russia. What is its name?",GEOGRAPHY_c999_0010,Ob,GEOGRAPHY_OPT_f509_000C
"Although the Amazon river is generally regarded as the second-longest in the world, it is the river with greatest total flow, carrying more than the Mississippi, Nile, and Yangtze rivers combined.  It ends in the Atlantic Ocean, but it is believed to begin its long journey from this mountain peak.",GEOGRAPHY_5fcc_0011,"Nevado Mismi",GEOGRAPHY_OPT_b908_000A
"This is the longest river in Asia and its Chinese name, Chang Jiang, is literally translated to Long River. The critically endangered Chinese River Dolphin and Chinese paddlefish live only in this river. It takes its source in the Qinghai Province, flows for 6,380km (3964miles) and finally empties into the East China Sea. What is the name of this river?",GEOGRAPHY_ae6a_0012,Yangtze,GEOGRAPHY_OPT_7bf9_000C
"Huang He is the second-longest river in China. Its source is in the Kunlun Mountains at 4,500m (14,764 feet) above sea level. Due to the silts that the river carries, the color of its waters becomes so unnatural that it gave the name of the river . What is the color of the waters of Huang He?",GEOGRAPHY_27d9_0013,Yellow,GEOGRAPHY_OPT_acd3_000C
"It is the second-longest river in the United States. The longest one, Missouri, joins it to form the longest river flow in North America. This river flows through ten states- Minnesota, Wisconsin, Iowa, Illinois, Missouri, Kentucky, Arkansas, Tennessee, Mississippi and Louisiana and mouths into the Gulf of Mexico. I am not going to ask you about its name, but about its source. What is the origin of the Mississippi river?",GEOGRAPHY_8da8_0014,"Lake Itasca",GEOGRAPHY_OPT_0059_000C
"This is the twelfth-longest river in the world. It runs through China, Myanmar, Thailand, Laos, Cambodia and Vietnam. There are various theories about the source and the exact length of the river because there are several effluents of it that are too difficult to explore. Due to the many rapids and waterfalls, as well as the extreme changes in the flow of the river, sailing is extremely difficult. What is the name of this river?",GEOGRAPHY_6ed5_0015,Mekong,GEOGRAPHY_OPT_7a83_000A
