OID,QID,text
WORLD_OPT_cc33_000A,WORLD_f4d2_0001,False
WORLD_OPT_110a_000B,WORLD_f4d2_0001,True
WORLD_OPT_53ed_000A,WORLD_2315_0002,Oklahoma
WORLD_OPT_3840_000B,WORLD_2315_0002,Florida
WORLD_OPT_baa3_000C,WORLD_2315_0002,Louisiana
WORLD_OPT_515d_000D,WORLD_2315_0002,Georgia
WORLD_OPT_f14c_000A,WORLD_ce64_0003,Nebraska
WORLD_OPT_e4e1_000B,WORLD_ce64_0003,Nevada
WORLD_OPT_8264_000C,WORLD_ce64_0003,Colorado
WORLD_OPT_ec50_000D,WORLD_ce64_0003,Montana
WORLD_OPT_266d_000A,WORLD_d858_0004,False
WORLD_OPT_dc37_000B,WORLD_d858_0004,True
WORLD_OPT_8102_000A,WORLD_b4ee_0005,Hawaii
WORLD_OPT_0ff9_000B,WORLD_b4ee_0005,Tennessee
WORLD_OPT_430e_000C,WORLD_b4ee_0005,Florida
WORLD_OPT_9f2c_000D,WORLD_b4ee_0005,Alabama
WORLD_OPT_8bb5_000A,WORLD_58a0_0006,"Kentucky - Frankfort"
WORLD_OPT_ab1f_000B,WORLD_58a0_0006,"Kansas - Topeka"
WORLD_OPT_fa0b_000C,WORLD_58a0_0006,"Maine - Augusta"
WORLD_OPT_7e58_000D,WORLD_58a0_0006,"North Dakota - Fargo"
WORLD_OPT_49b7_000A,WORLD_7130_0007,California
WORLD_OPT_9176_000B,WORLD_7130_0007,Washington
WORLD_OPT_9595_000C,WORLD_7130_0007,Oregon
WORLD_OPT_e8a2_000D,WORLD_7130_0007,Massachusetts
WORLD_OPT_a79c_000A,WORLD_b1ff_0008,Nevada
WORLD_OPT_6e21_000B,WORLD_b1ff_0008,Ohio
WORLD_OPT_58de_000C,WORLD_b1ff_0008,Minnesota
WORLD_OPT_e4f8_000D,WORLD_b1ff_0008,Iowa
WORLD_OPT_c067_000A,WORLD_11d7_0009,Olympia
WORLD_OPT_b05e_000B,WORLD_11d7_0009,Seattle
WORLD_OPT_6a01_000C,WORLD_11d7_0009,"Walla Walla"
WORLD_OPT_2088_000D,WORLD_11d7_0009,Spokane
WORLD_OPT_4a57_000A,WORLD_07f3_0010,Bend
WORLD_OPT_36a4_000B,WORLD_07f3_0010,Portland
WORLD_OPT_62dd_000C,WORLD_07f3_0010,Eugene
WORLD_OPT_59ed_000D,WORLD_07f3_0010,Salem
WORLD_OPT_fc00_000A,WORLD_4ee3_0011,Sacramento
WORLD_OPT_0b09_000B,WORLD_4ee3_0011,"Los Angeles"
WORLD_OPT_6318_000C,WORLD_4ee3_0011,"San Diego"
WORLD_OPT_574a_000D,WORLD_4ee3_0011,"San Francisco"
WORLD_OPT_4d0a_000A,WORLD_d59a_0012,Boise
WORLD_OPT_d426_000B,WORLD_d59a_0012,"Idaho Falls"
WORLD_OPT_80b3_000C,WORLD_d59a_0012,Pocatello
WORLD_OPT_1511_000D,WORLD_d59a_0012,"Coeur DAlene"
WORLD_OPT_96bc_000A,WORLD_b14a_0013,Reno
WORLD_OPT_1436_000B,WORLD_b14a_0013,"Las vegas"
WORLD_OPT_16de_000C,WORLD_b14a_0013,"Carson City"
WORLD_OPT_dfd0_000D,WORLD_b14a_0013,Austin
WORLD_OPT_7492_000A,WORLD_6c69_0014,"Cedar City"
WORLD_OPT_40fc_000B,WORLD_6c69_0014,Provo
WORLD_OPT_d04d_000C,WORLD_6c69_0014,Price
WORLD_OPT_9432_000D,WORLD_6c69_0014,"Salt Lake city"
WORLD_OPT_7c7d_000A,WORLD_003e_0015,Phoenix
WORLD_OPT_1289_000B,WORLD_003e_0015,Kingman
WORLD_OPT_fa66_000C,WORLD_003e_0015,Tucson
WORLD_OPT_34b2_000D,WORLD_003e_0015,Flagstaff
WORLD_OPT_5858_000A,WORLD_e9fd_0016,Kodiak
WORLD_OPT_5fbe_000B,WORLD_e9fd_0016,Juneau
WORLD_OPT_7cca_000C,WORLD_e9fd_0016,Anchorage
WORLD_OPT_2ca2_000D,WORLD_e9fd_0016,Fairbanks
WORLD_OPT_2b89_000A,WORLD_8178_0017,Poland
WORLD_OPT_03b2_000B,WORLD_8178_0017,"Czech Republic"
WORLD_OPT_6eb6_000C,WORLD_8178_0017,Finland
WORLD_OPT_3b51_000D,WORLD_8178_0017,Lituania
WORLD_OPT_ab5b_000A,WORLD_9cb9_0018,Colombia
WORLD_OPT_02a2_000B,WORLD_9cb9_0018,Argentina
WORLD_OPT_fbf4_000C,WORLD_9cb9_0018,Bolivia
WORLD_OPT_1cf1_000D,WORLD_9cb9_0018,Brazil
WORLD_OPT_a7bd_000A,WORLD_4a82_0019,Ukraine
WORLD_OPT_13c2_000B,WORLD_4a82_0019,Latvia
WORLD_OPT_798d_000C,WORLD_4a82_0019,Bulgaria
WORLD_OPT_07cc_000D,WORLD_4a82_0019,Belarus
WORLD_OPT_5dfa_000A,WORLD_6c3d_0020,Belgium
WORLD_OPT_39c7_000B,WORLD_6c3d_0020,Denmark
WORLD_OPT_2e34_000C,WORLD_6c3d_0020,Austria
WORLD_OPT_dd9c_000D,WORLD_6c3d_0020,Hungary
WORLD_OPT_60ea_000A,WORLD_f7c7_0021,Sweden
WORLD_OPT_563d_000B,WORLD_f7c7_0021,Denmark
WORLD_OPT_f175_000C,WORLD_f7c7_0021,Finland
WORLD_OPT_8818_000D,WORLD_f7c7_0021,"United Kingdom"
WORLD_OPT_0c4c_000A,WORLD_8e8b_0022,Ukraine
WORLD_OPT_6fb3_000B,WORLD_8e8b_0022,Canada
WORLD_OPT_93e7_000C,WORLD_8e8b_0022,Australia
WORLD_OPT_9c31_000D,WORLD_8e8b_0022,"United Kingdom"
WORLD_OPT_39a1_000A,WORLD_2d47_0023,Peru
WORLD_OPT_0eee_000B,WORLD_2d47_0023,Paraguay
WORLD_OPT_4b58_000C,WORLD_2d47_0023,Chile
WORLD_OPT_2bf9_000D,WORLD_2d47_0023,Uruguay
WORLD_OPT_cab8_000A,WORLD_07e6_0024,Italy
WORLD_OPT_e9f6_000B,WORLD_07e6_0024,Cyprus
WORLD_OPT_2ee3_000C,WORLD_07e6_0024,Greece
WORLD_OPT_c39c_000D,WORLD_07e6_0024,Turkey
WORLD_OPT_d6ff_000A,WORLD_ccea_0025,Thailand
WORLD_OPT_4a4c_000B,WORLD_ccea_0025,Egypt
WORLD_OPT_2024_000C,WORLD_ccea_0025,"Hong Kong"
WORLD_OPT_0e7c_000D,WORLD_ccea_0025,Libya
WORLD_OPT_fdd6_000A,WORLD_3e76_0026,Palestine
WORLD_OPT_19f6_000B,WORLD_3e76_0026,Mexico
WORLD_OPT_41ea_000C,WORLD_3e76_0026,Cuba
WORLD_OPT_5afc_000D,WORLD_3e76_0026,Chile
WORLD_OPT_e764_000A,WORLD_4dac_0027,"Washington D.C."
WORLD_OPT_d51b_000B,WORLD_4dac_0027,"New York"
WORLD_OPT_2864_000C,WORLD_4dac_0027,Boston
WORLD_OPT_3833_000D,WORLD_4dac_0027,"San Francisco"
WORLD_OPT_9404_000A,WORLD_c03e_0028,Oklahoma
WORLD_OPT_29a6_000B,WORLD_c03e_0028,"San Francisco"
WORLD_OPT_dddb_000C,WORLD_c03e_0028,Nevada
WORLD_OPT_bd45_000D,WORLD_c03e_0028,"Los Angeles"
WORLD_OPT_d579_000A,WORLD_2fea_0029,Nagoya
WORLD_OPT_37ae_000B,WORLD_2fea_0029,Osaka
WORLD_OPT_8282_000C,WORLD_2fea_0029,Kyoto
WORLD_OPT_58e8_000D,WORLD_2fea_0029,Tokyo
WORLD_OPT_3a9f_000A,WORLD_5dca_0030,Lille
WORLD_OPT_3efa_000B,WORLD_5dca_0030,Lyon
WORLD_OPT_b124_000C,WORLD_5dca_0030,Marseille
WORLD_OPT_f132_000D,WORLD_5dca_0030,Paris
WORLD_OPT_d824_000A,WORLD_a1c1_0031,Taipei
WORLD_OPT_0da7_000B,WORLD_a1c1_0031,Peking
WORLD_OPT_9fc7_000C,WORLD_a1c1_0031,Shanghai
WORLD_OPT_347c_000D,WORLD_a1c1_0031,"Hong Kong"
WORLD_OPT_591d_000A,WORLD_5b91_0032,Kadis
WORLD_OPT_f83a_000B,WORLD_5b91_0032,Istanbul
WORLD_OPT_f173_000C,WORLD_5b91_0032,Tanjer
WORLD_OPT_6f22_000D,WORLD_5b91_0032,Athens
WORLD_OPT_0917_000A,WORLD_582b_0033,Rome
WORLD_OPT_5f81_000B,WORLD_582b_0033,Paris
WORLD_OPT_8ff9_000C,WORLD_582b_0033,Vienna
WORLD_OPT_c563_000D,WORLD_582b_0033,London
WORLD_OPT_71e6_000A,WORLD_7b3d_0034,Berlin
WORLD_OPT_f4d6_000B,WORLD_7b3d_0034,Munchen
WORLD_OPT_06f3_000C,WORLD_7b3d_0034,Frankfurt
WORLD_OPT_521d_000D,WORLD_7b3d_0034,Bonn
WORLD_OPT_3835_000A,WORLD_ab1e_0035,Barri
WORLD_OPT_783d_000B,WORLD_ab1e_0035,Naples
WORLD_OPT_fc75_000C,WORLD_ab1e_0035,Venice
WORLD_OPT_fc32_000D,WORLD_ab1e_0035,Rome
WORLD_OPT_aaf8_000A,WORLD_8157_0036,Trujillo
WORLD_OPT_0106_000B,WORLD_8157_0036,Cuzco
WORLD_OPT_8790_000C,WORLD_8157_0036,Chimbote
WORLD_OPT_72f8_000D,WORLD_8157_0036,Lima
WORLD_OPT_b1ec_000A,WORLD_9a71_0037,"New Mexico"
WORLD_OPT_a4a5_000B,WORLD_9a71_0037,Utah
WORLD_OPT_052c_000C,WORLD_9a71_0037,Colorado
WORLD_OPT_cc24_000D,WORLD_9a71_0037,Wyoming
WORLD_OPT_3636_000A,WORLD_2c4d_0038,"New Hampshire and Maine."
WORLD_OPT_0168_000B,WORLD_2c4d_0038,"North Carolina and Tennessee."
WORLD_OPT_dfea_000C,WORLD_2c4d_0038,"West Virginia and Maryland."
WORLD_OPT_3ddc_000D,WORLD_2c4d_0038,"Georgia and Alabama."
WORLD_OPT_ce53_000A,WORLD_3e83_0039,Yes
WORLD_OPT_2a8b_000B,WORLD_3e83_0039,No
WORLD_OPT_75ea_000A,WORLD_78d0_0040,"Memphis, Tennessee, Arkansas"
WORLD_OPT_acb2_000B,WORLD_78d0_0040,"Bristol, Tennessee, Virginia"
WORLD_OPT_693c_000C,WORLD_78d0_0040,"Latham,  Maryland,  Pennsylvania"
WORLD_OPT_f02b_000D,WORLD_78d0_0040,"Nogales, Arizona, New Mexico"
WORLD_OPT_e737_000A,WORLD_1c57_0041,"California, near the border with Mexico."
WORLD_OPT_5446_000B,WORLD_1c57_0041,"Washington, near the border with Oregon"
WORLD_OPT_a66f_000C,WORLD_1c57_0041,"California,  near the border with Arizona"
WORLD_OPT_4d3f_000D,WORLD_1c57_0041,"Iowa, near the border with Missouri"
WORLD_OPT_47be_000A,WORLD_aac5_0042,True
WORLD_OPT_b49b_000B,WORLD_aac5_0042,False
WORLD_OPT_032e_000A,WORLD_c3f8_0043,Argentina
WORLD_OPT_da7a_000B,WORLD_c3f8_0043,Venezuela
WORLD_OPT_a6ef_000C,WORLD_c3f8_0043,Panama
WORLD_OPT_0440_000D,WORLD_c3f8_0043,Equador
WORLD_OPT_a623_000A,WORLD_abc5_0044,Thailand
WORLD_OPT_7be3_000B,WORLD_abc5_0044,China
WORLD_OPT_2265_000C,WORLD_abc5_0044,Japan
WORLD_OPT_62e8_000D,WORLD_abc5_0044,Malaysia
WORLD_OPT_5cd4_000A,WORLD_379a_0045,"Sumatra and China"
WORLD_OPT_bfdd_000B,WORLD_379a_0045,"Thailand and Nepal"
WORLD_OPT_d506_000C,WORLD_379a_0045,"China and Nepal"
WORLD_OPT_01c8_000D,WORLD_379a_0045,"Nepal and India"
WORLD_OPT_13ef_000A,WORLD_5cb8_0046,Mexico
WORLD_OPT_a1b0_000B,WORLD_5cb8_0046,Canada
WORLD_OPT_eb13_000C,WORLD_5cb8_0046,USA
WORLD_OPT_f1c9_000D,WORLD_5cb8_0046,Brazil
WORLD_OPT_698e_000A,WORLD_3466_0047,Mexico
WORLD_OPT_a91e_000B,WORLD_3466_0047,Equador
WORLD_OPT_4f1d_000C,WORLD_3466_0047,Canada
WORLD_OPT_666b_000D,WORLD_3466_0047,Argentina
WORLD_OPT_82c8_000A,WORLD_94c9_0048,Tanzania
WORLD_OPT_981a_000B,WORLD_94c9_0048,Zimbabwe
WORLD_OPT_8437_000C,WORLD_94c9_0048,Uruguai
WORLD_OPT_93ad_000D,WORLD_94c9_0048,Zambia
WORLD_OPT_11c7_000A,WORLD_51c3_0049,Armenia
WORLD_OPT_9e8c_000B,WORLD_51c3_0049,Australia
WORLD_OPT_f2bf_000C,WORLD_51c3_0049,Austria
