question,QID,answer,answer_OID
"What is NOT one of Strong Bads favorite bands in the Internet cartoon Homestar Runner?",KIDS_879c_0001,sloshy,KIDS_OPT_3eb5_000A
"Speaking of the famous fairy tale, that girl with the long hair was named which of these plants?",KIDS_e221_0002,Rampion,KIDS_OPT_af3f_000A
"Sleeping Beauty pricked her finger on the part of a spinning wheel that does this.",KIDS_b0e3_0003,"Twists the fibres into a thread",KIDS_OPT_26bd_000C
"Why does Cinderella wear a glass slipper?",KIDS_45ac_0004,"Glass shoes sound like something a princess would wear.",KIDS_OPT_95f6_000A
"The Little Mermaid refused to kill the prince, so she eventually ends up as this.",KIDS_86f8_0005,"A daughter of the air.",KIDS_OPT_4c8e_000D
"Only one of the following descriptions of the features of Snow White is true.  Can you spot it?",KIDS_e102_0006,"Wooden hair.",KIDS_OPT_18bf_000D
"Referring to a well-known fairy tale, the millers daughter had to spin what?",KIDS_5d1a_0007,"Dry stalks of wheat.",KIDS_OPT_a5d5_000D
"The witch in Hansel and Gretel was probably raised in this part of the world.",KIDS_1223_0008,"Eastern Europe",KIDS_OPT_d779_000C
"Referring to the popular fairy tale, what is the name of the goose girls enchanted horse?",KIDS_1278_0009,"Falada - to speak",KIDS_OPT_e8a7_000C
"Poor Eliza of the famous fairy tale, had to make eleven shirts of what plant?",KIDS_6916_0010,Urticaceae,KIDS_OPT_b774_000D
"How many siblings does Ron have?",KIDS_fed4_0011,6,KIDS_OPT_046d_000A
"What does Ron hate the most about himself?",KIDS_d47f_0012,"Being poor",KIDS_OPT_11a0_000A
"Who does Ron take to the Yule ball?",KIDS_266a_0013,"Padma Patil",KIDS_OPT_2f95_000B
"Rons mom is part of the order of the phoenix.",KIDS_5286_0014,True,KIDS_OPT_0eef_000A
"What is Rons full name?",KIDS_c2c9_0015,"Ronald Bilius Weasley",KIDS_OPT_8399_000D
"Has Ron ever been dead?",KIDS_8cff_0016,No,KIDS_OPT_e857_000A
"Who is Rons idol?",KIDS_b0b4_0017,"Viktor Krum",KIDS_OPT_3e3f_000C
"In which of the first six books does Ron face Voldemort?",KIDS_e5c9_0018,Never,KIDS_OPT_737b_000B
"Which charm did Doby the House Elf use to get Harry Potter in huge trouble with his Uncle?",KIDS_3e1b_0019,"A hover charm",KIDS_OPT_d008_000D
"What is the full name of Harry Potters Headmaster, as revealed in the 5th book?",KIDS_5473_0020,"Albus Percival Wulfric Brian Dumbledore",KIDS_OPT_51b3_000C
"Aside from a bit of the person you wish to become, what are the other ingredients used to make Polyjuice Potion, as seen in the 2nd book of Harry Potter?",KIDS_1867_0021,"Lacewing flies, leeches, powdered bicorn horn, knotgrass, fluxweed, and boomslang skin",KIDS_OPT_8bbe_000A
"In the first task of the Triwizard Tournament (Harry Potter and the Goblet of Fire ), each champion has to fight a different breed of dragon.  Which dragon does Fleur Delacour face?",KIDS_6c06_0022,"Welsh Green",KIDS_OPT_9ef2_000B
"At Harry Potters trial during the 5th book, Madam Bones refers to Harrys patronus a corporal patronus.  What makes Harrys patronus corporal?",KIDS_38d4_0023,"His patronus is consistent enough to always have a defined shape to it",KIDS_OPT_37f9_000B
"Harry Potters Dudley Dursley has had many traumatic encounters with wizards.  Which of the following has not happened to him?",KIDS_4d77_0024,"He breaks out in horrible zits",KIDS_OPT_24db_000B
"In the Harry Potter books, Fred and George invented a lot of products for their store, Weasleys Wizard Wheezes.  Which of the following products was not one invited by Fred and George?",KIDS_79cd_0025,"Coughing Cakes",KIDS_OPT_8a94_000C
