question,QID,answer,answer_OID
"Immanuel Kant criticized Emanuel Swedenborg and termed him a “spook hunter”.",SCIENCE_08f4_0001,True,SCIENCE_OPT_da3d_000A
"Clouds are made up of these.",SCIENCE_357a_0002,"Water droplets and ice crystals",SCIENCE_OPT_181c_000B
"This formation is a conical hill or mountain. It is formed by mantle material being pressed through an opening in the Earths crust.",SCIENCE_f170_0003,"A volcano",SCIENCE_OPT_cf47_000A
"Japan suffers from this event very often. It is the sudden, light or violent movement of the earths surface caused by the release of energy in the earths crust.",SCIENCE_1107_0004,Earthquake,SCIENCE_OPT_4e3b_000B
"It is the only continent that does not have land areas below sea level.",SCIENCE_e005_0005,Antarctica,SCIENCE_OPT_a0a8_000C
"It is the longest river in the world",SCIENCE_f5be_0006,"The Nile",SCIENCE_OPT_fc0b_000C
"Why do travelers to La Paz, Bolivia, often become ill as soon as they arrive?",SCIENCE_c117_0007,"Because of the altitude",SCIENCE_OPT_3717_000D
"In the US, why do we change our clocks on the daylight saving time dates in April and October?",SCIENCE_9e6e_0008,"To conserve energy",SCIENCE_OPT_4b0b_000A
"These are places of arid land with really low rainfall and high tempertures variation. Their vegetation is insignificant and the population of people and animals is very limited.",SCIENCE_5ef3_0009,Deserts,SCIENCE_OPT_b5cf_000D
"This is a gemstone made by fossilized tree sap that is at least 30 million years old.",SCIENCE_20e9_0010,Amber,SCIENCE_OPT_1a08_000B
"This is the largest island on Earth and one third of it is a national park.",SCIENCE_315a_0011,Greenland,SCIENCE_OPT_bef1_000A
"Which of these organs has no known function in the human body?",SCIENCE_5f55_0012,appendix,SCIENCE_OPT_b758_000B
"The main function of this organ of respiration is to transport oxygen from the atmosphere into the bloodstream.",SCIENCE_af72_0013,lung,SCIENCE_OPT_fe5e_000D
"This gland is shaped like a butterfly and helps regulate energy in the body.",SCIENCE_0364_0014,thyroid,SCIENCE_OPT_50ae_000B
"The cerebellum section of the brain controls the fine movement and equilibrium, among other things.",SCIENCE_1091_0015,True,SCIENCE_OPT_8d38_000A
"These organs are very sensitive and often fail in people with very high blood pressure or diabetes.",SCIENCE_44a1_0016,kidneys,SCIENCE_OPT_4229_000B
"Tooth enamel is the hardest substance in the body.",SCIENCE_7b8b_0017,True,SCIENCE_OPT_c674_000B
"This is one of the first signs of pregnancy.",SCIENCE_9dc5_0018,"Missed period",SCIENCE_OPT_e315_000B
"This doctor takes care of you and your baby during pregnancy.",SCIENCE_8635_0019,Obstetrician,SCIENCE_OPT_0fa7_000C
"What is the most common method of child birth?",SCIENCE_0eac_0020,Vaginal,SCIENCE_OPT_bc5d_000B
"The mother determines the sex of the baby.",SCIENCE_18f4_0021,False,SCIENCE_OPT_19a3_000A
"What are common side effects of pregnancy?",SCIENCE_4ce5_0022,"All of the these",SCIENCE_OPT_dacb_000C
"How far along are you approximately, when you feel the baby move for the first time?",SCIENCE_7f91_0023,"20 weeks",SCIENCE_OPT_8f63_000D
"What is suggested that you not do several hours before you go into labor?  It could get you embarrassed.",SCIENCE_62f3_0024,"Eat food",SCIENCE_OPT_6a3d_000D
"What is also delivered along with the baby or immediately after its birth?",SCIENCE_ff66_0025,Placenta,SCIENCE_OPT_4b2c_000C
"These small bodies are considered left overs from the formation of the Solar system some 4.6 billion years ago.",SCIENCE_5da3_0026,Asteroids,SCIENCE_OPT_6c50_000D
"These are lumps of ice and dust.  When they get close enough to the Sun they gradually evaporate.  Jets of gas and dust create long tails that people can see from Earth.",SCIENCE_2666_0027,Comets,SCIENCE_OPT_a170_000B
"This planet is slightly smaller than Earth and its closest neighbor (excluding the Moon).",SCIENCE_51fc_0028,Venus,SCIENCE_OPT_fca6_000A
"This planet is has the largest  group of moons - 31, but it is best known for its ring system.",SCIENCE_59f2_0029,Saturn,SCIENCE_OPT_cac6_000C
"This planet of the Solar System was named after a Greek god of the sea and earthquakes. The name is actually the Roman translation of the gods name.",SCIENCE_2884_0030,Neptune,SCIENCE_OPT_1392_000B
"As this is the closest planet to the Sun, its temperatures at the surface range between -300 and 800 F (hot enough for lead to melt).",SCIENCE_cc13_0031,Mercury,SCIENCE_OPT_2337_000B
"The surface of this planet is unique, it is the only one which has water in large quantities.",SCIENCE_8135_0032,Earth,SCIENCE_OPT_305e_000C
"Which Solar System celestial bodys revolution around the Sun takes 248 years?",SCIENCE_7004_0033,Pluto,SCIENCE_OPT_9c6f_000B
"This is the largest planet in our solar system. It is most famous for its Great Red Spot.",SCIENCE_e146_0034,Jupiter,SCIENCE_OPT_8342_000D
"Miranda, Ariel, Umbriel, Titania, Oberon, Caliban, and Sycorax are names of the icy moons of this planet.",SCIENCE_9a32_0035,Uranus,SCIENCE_OPT_bed0_000A
"The popular chat room abbreviation asl or a/s/l stands for age, sex, and location.",SCIENCE_d106_0036,True,SCIENCE_OPT_6810_000A
"An icon or animation to represent a participant used in Internet chat and games is referred to as this.",SCIENCE_90b6_0037,Avatar,SCIENCE_OPT_920d_000D
"If you and I are chatting over the Internet and I write LOL, that means that I am doing this.",SCIENCE_7b60_0038,Laughing,SCIENCE_OPT_93ae_000B
"The terms smiley and emoticon refer to one and the same thing.",SCIENCE_6b43_0039,True,SCIENCE_OPT_7a5a_000A
"http://www.123facts.com/ is referred to as this.",SCIENCE_2fe4_0040,URL,SCIENCE_OPT_fc1a_000C
"One of the following pairs (chat abbreviation - its  meaning) is wrong.",SCIENCE_9356_0041,"TTYL - To Tell You a Lie",SCIENCE_OPT_a862_000C
"One of these things will not help you to get in touch with your neighbours PC.",SCIENCE_ccde_0042,"Cache server",SCIENCE_OPT_3ba1_000C
"If they call me a newbie then I am new to the Internet; and/or new to the subject in general.",SCIENCE_48a3_0043,True,SCIENCE_OPT_de9b_000B
"In chat jargon, the emoticon  [8-] refers to this person.",SCIENCE_b5ee_0044,Frankenstein,SCIENCE_OPT_3863_000C
"The medical term cardio, deriving from a Greek word, refers to which organ of the human body?",SCIENCE_d71b_0045,Heart,SCIENCE_OPT_ed71_000D
"The term arthro is of Greek origin. It refers to which part of the body?",SCIENCE_15e5_0046,Joint,SCIENCE_OPT_4e13_000D
"Gastro is a common medical prefix, derived from the Greek word gastros which means what?",SCIENCE_429e_0047,Stomach,SCIENCE_OPT_221d_000D
"The word hepato, which derives from Greek, refers to the kidney.",SCIENCE_896f_0048,False,SCIENCE_OPT_1e43_000A
"Erythrocytes are a type of blood cells, consisting mainly of hemoglobin. What does the word erythro mean?",SCIENCE_3505_0049,Red,SCIENCE_OPT_2c60_000A
"The term thrombo, which comes from Greek, refers to a blood clot.",SCIENCE_7803_0050,True,SCIENCE_OPT_a840_000B
"The word adeno, deriving from Greek, refers to which to what body part?",SCIENCE_7c0d_0051,Gland,SCIENCE_OPT_6a6b_000C
"The two terms nephro and ren both refer to the kidneys.",SCIENCE_3fba_0052,True,SCIENCE_OPT_66ef_000A
"Onco, coming from the Greek word onkos refers to what?",SCIENCE_722b_0053,Tumor,SCIENCE_OPT_0ac9_000D
"The food colorants, cochineal and carmine, are made from what?",SCIENCE_d35e_0054,"A kind of insect",SCIENCE_OPT_b6fe_000B
"Jell-O, the popular gelatin dessert, is made in part, from what?",SCIENCE_79b7_0055,"Bones and hides",SCIENCE_OPT_7a49_000A
"Twinkies, the sponge cake with creamy filling, created by Hostess, have an indefinite shelf life.",SCIENCE_c5da_0056,False,SCIENCE_OPT_2d08_000B
"Which of these statements, related to the effects of eating turkey, is true?",SCIENCE_9076_0057,"None of these",SCIENCE_OPT_dad0_000D
"The traditional Japanese dish, sushi, is always made with raw fish.",SCIENCE_20e9_0058,False,SCIENCE_OPT_0801_000B
"What food results in negative calories when eaten?",SCIENCE_d659_0059,"All of these",SCIENCE_OPT_2e7f_000C
"Chop Suey, a pasta dish consisting of short noodles, was originally made and served in which country?",SCIENCE_e007_0060,USA,SCIENCE_OPT_75a1_000B
"Gatorade, a non-carbonated sports drink, was invented by researchers at the University of Florida and named in honor of the Florida Gators, the schools football team.",SCIENCE_5aca_0061,True,SCIENCE_OPT_fca8_000B
"In 2003, the FDA issued a warning about a possible connection between green onions and which disease?",SCIENCE_b2c1_0062,"Hepatitis A",SCIENCE_OPT_e662_000C
"In the USA, the color of the plastic tags, used to seal bread bags, indicates on what day the loaves were baked.",SCIENCE_b153_0063,True,SCIENCE_OPT_cf98_000A
"Death of heart tissues due to loss of blood supply correctly describes the condition known as Myocardial Infarction.",SCIENCE_3713_0064,True,SCIENCE_OPT_8baf_000A
"This progressive generative disease of the brain results in loss of cognitive ability and uncontrolled movements, called chorea, the Greek word for dance.",SCIENCE_e450_0065,"Huntingtons Disease",SCIENCE_OPT_5127_000D
"Which of these is best describes the cause of Parkinsons disease?",SCIENCE_a636_0066,"A decrease in a neurotransmitter",SCIENCE_OPT_9eda_000D
"If your physician tells you that you have Presbycusis due to the normal process of aging, he may suggest that you need which of these?",SCIENCE_4d0c_0067,"Hearing aid",SCIENCE_OPT_2115_000D
"Which of these medical terms means difficulty in swallowing.",SCIENCE_1bad_0068,dysphagia,SCIENCE_OPT_3308_000D
"Does the condition known as Hypoglycemia imply that blood sugar levels in the body are too high?",SCIENCE_025a_0069,No,SCIENCE_OPT_3aee_000B
"If you have hyperthyroidism, your body is overproducing what hormone?",SCIENCE_ad8d_0070,Thyroxine,SCIENCE_OPT_fb22_000B
"Which of these most accurately describes the medical term, necrosis?",SCIENCE_a994_0071,"Death of living tissue",SCIENCE_OPT_bb37_000B
"Your physician has ordered an electroencephalogram (EEG), the graphic recording of the electrical activity of what organ?",SCIENCE_9806_0072,Brain,SCIENCE_OPT_1958_000D
"In the US, what was the average street cost of a lid (3/4 ounce bag) of marijuana in the mid 1970s?",SCIENCE_c639_0073,$15.00,SCIENCE_OPT_7743_000C
"Marijuana is known by many names, including all of these but one. Which is the odd name?",SCIENCE_00d3_0074,Janu,SCIENCE_OPT_90f4_000D
"What is marijuanas primary active ingredient?",SCIENCE_776e_0075,THC,SCIENCE_OPT_6970_000A
"How many different chemicals can be found in marijuana?",SCIENCE_c2c7_0076,"More than 400",SCIENCE_OPT_809a_000C
"According to anonymous researches, conducted in the USA in 2002, most teenagers aged 12-17 have at least tried Marijuana.",SCIENCE_dcbd_0077,False,SCIENCE_OPT_628d_000A
"Which side effect is not related to the use of marijuana?",SCIENCE_e030_0078,"Violent behaviour",SCIENCE_OPT_b9c0_000D
"Marijuana is produced from parts of the male cannabis plants.",SCIENCE_5cdf_0079,False,SCIENCE_OPT_69cf_000B
"With the passage of the Marijuana Tax Act, the United States effectively banned recreational and medicinal use of cannabis. What year was this act adopted?",SCIENCE_aa6c_0080,1937,SCIENCE_OPT_b868_000B
"By amending its Opium Act in 1976, the government of which country decided to treat possession of up to 30 grams of marijuana as an activity not for prosecution, detection or arrest?",SCIENCE_b3eb_0081,Holland,SCIENCE_OPT_72b7_000B
"What US state enacted Proposition 215, the Compassionate Use Act, which allowed sick and dying patients to legally use marijuana for medicinal purposes?",SCIENCE_7aa8_0082,California,SCIENCE_OPT_d8bf_000C
"The sphygmomanometer is a device invented by Samuel Siegfried Karl Ritter von Basch, used to measure what?",SCIENCE_0285_0083,"Blood pressure",SCIENCE_OPT_64b4_000A
"This disorder, from a Greek word meaning failure to put in order, is characterised by lack of muscular coordination, and often occurs when parts of the nervous system which control movement are damaged.",SCIENCE_f952_0084,Ataxia,SCIENCE_OPT_f785_000D
"This disorder is the abnormal accumulation of cerebrospinal fluid in the ventricles of the brain.",SCIENCE_9f96_0085,Hydrocephalus,SCIENCE_OPT_f707_000D
"Tourette syndrome is a neurological disorder, characterized by tics -- involuntary, rapid, movements or vocalizations.",SCIENCE_880b_0086,True,SCIENCE_OPT_f7e5_000B
"This is the colloquial equivalent of the medical term Herpes zoster, which is used to define a condition, caused by the varicella zoster virus.",SCIENCE_30fe_0087,Shingles,SCIENCE_OPT_a425_000D
"Pre-eclampsia, thought to be caused by inflammatory mediators, is a medical condition associated with which of these?",SCIENCE_ff64_0088,Pregnancy,SCIENCE_OPT_2784_000A
"Down Syndrome, named after Dr. John Langdon Down, is actually a chromosomal defect.",SCIENCE_ac7e_0089,True,SCIENCE_OPT_f4dd_000A
"What medical term is synonym of jaundice, a condition characterized by yellowing of the skin, sclera and mucous membranes?",SCIENCE_0c26_0090,Icterus,SCIENCE_OPT_2e96_000A
"The presence of gallstones in the gallbladder is defined by what medical term?",SCIENCE_8d53_0091,Cholelithiasis,SCIENCE_OPT_474b_000C
"Arthralgia is a severe heart disorder.",SCIENCE_7b1a_0092,False,SCIENCE_OPT_a015_000A
"The term encephalon, defined as the brain of a vertebrate, derives from a Greek word which means what?",SCIENCE_7300_0093,"In the head",SCIENCE_OPT_cdb9_000D
"Carcino is a word of Greek origin which refers to the small intestines.",SCIENCE_37e9_0094,False,SCIENCE_OPT_c511_000B
"The term blepharo derives from a Greek word and refers to which part of the body?",SCIENCE_7785_0095,Eyelid,SCIENCE_OPT_5a96_000C
"An inguinal hernia occurs in the groin, the area between the abdomen and thigh.",SCIENCE_cff9_0096,True,SCIENCE_OPT_ed60_000B
"Which of these medical terms refers to air passages in the lungs?",SCIENCE_b244_0097,"Bronchial tubes",SCIENCE_OPT_f833_000D
"The word phlebo is of Greek origin, which comes from the root phlein, meaning to gush or to overflow.  What part of the body does this word refer to?",SCIENCE_1ee5_0098,Veins,SCIENCE_OPT_ddb4_000D
"The medical prefix bucco refers to which part of the head?",SCIENCE_757f_0099,Cheek,SCIENCE_OPT_8142_000C
"The medical prefix oophoro, which derives from Greek, refers to which part of the body?",SCIENCE_b4b3_0100,Ovary,SCIENCE_OPT_f5ba_000D
"The prefix neuro, which in Greek means sinew or string, is related to the nervous system.",SCIENCE_5644_0101,True,SCIENCE_OPT_3b70_000A
"The prefix of Greek origin, oto is used in medical terminology to refer to what body part?",SCIENCE_c70e_0102,Ear,SCIENCE_OPT_2441_000C
"Scientists differentiate what three basic types of memory, based on the duration of memory retention?",SCIENCE_b66c_0103,"Sensory memory, short-term memory, and long-term memory",SCIENCE_OPT_5e84_000D
"To which of these essential human abilities is memory closely related?",SCIENCE_7139_0104,"All of these",SCIENCE_OPT_99c5_000A
"Procedural Memory, a category of the long-term memory, refers to which of these basic human abilities?",SCIENCE_3219_0105,"The ability to acquire and develop skills",SCIENCE_OPT_476e_000D
"Typically, how many random items can human short-term memory store?",SCIENCE_fb84_0106,6-8,SCIENCE_OPT_4941_000C
"Déjà Vu is one of the curios brain phenomenon. Which of these most accurately describes the term?",SCIENCE_1a2d_0107,"A sensation of something seen or experienced before",SCIENCE_OPT_7703_000A
"Nearly everybody has experienced the tip-of-the-tongue situation when one is eagerly trying to think of a relatively familiar fact, name or word and is just about to recall it, but it constantly eludes him.  What is the explanation of this strange experience?",SCIENCE_29f7_0108,"Another item is blocking the recollection",SCIENCE_OPT_2ce5_000D
"Which of these most accurately explains the controversial issue of  false memories?",SCIENCE_fe29_0109,"Memories formed under the influence of misleading suggestions and clues",SCIENCE_OPT_f448_000A
"One of the most basic characteristics of our memory is the ability to forget, which is considered to be this type of function.",SCIENCE_a58c_0110,"Adaptive function",SCIENCE_OPT_bdcd_000B
"Amnesia, the loss of significant amount of important information, is a memory impairment which happens as a result of which of these?",SCIENCE_22a8_0111,"All of these",SCIENCE_OPT_3fdb_000D
"In the study of memory, what does the term mnemonist refer to?",SCIENCE_e837_0112,"Individual with exceptional memory",SCIENCE_OPT_0edd_000A
"What is the main cause for most pandemics in history?",SCIENCE_a20f_0113,"The domestication of animals",SCIENCE_OPT_3352_000A
"During which war did the first known pandemic take place?  It dates back to 430 BC.",SCIENCE_9e3e_0114,"The Peloponnesian War",SCIENCE_OPT_8bfe_000A
"Which Roman emperor died of Antonine plague? This plague was actually named after him.",SCIENCE_9941_0115,"Marcus Aurelius",SCIENCE_OPT_c783_000A
"Is there a cure for the plague?",SCIENCE_8f9e_0116,Yes,SCIENCE_OPT_7476_000A
"At this stage of the plague, one of the the symptoms is the presence of black patches on the skin.",SCIENCE_1634_0117,"Septicemic Plague",SCIENCE_OPT_7ec2_000B
"This disease had 7 pandemics and is still causing epidemics.",SCIENCE_a3f8_0118,Cholera,SCIENCE_OPT_0709_000B
"This terrible disease killed as much as 5% of the worlds population and affected almost 20% in just six months.",SCIENCE_a888_0119,"Spanish Flu",SCIENCE_OPT_8ed7_000A
"The smallpox isnt dangerous.",SCIENCE_1dd4_0120,False,SCIENCE_OPT_d607_000B
"Which of these countries did cholera affect most?",SCIENCE_85c6_0121,Russia,SCIENCE_OPT_04ac_000C
"Cancer is considered a pandemic.",SCIENCE_a679_0122,False,SCIENCE_OPT_7b1b_000A
