OID,QID,text
CELEBRITIES_OPT_3081_000A,CELEBRITIES_2f3b_0001,"The Color of Money"
CELEBRITIES_OPT_5cf7_000B,CELEBRITIES_2f3b_0001,Platoon
CELEBRITIES_OPT_bc98_000C,CELEBRITIES_2f3b_0001,"Top Gun"
CELEBRITIES_OPT_4fc2_000D,CELEBRITIES_2f3b_0001,Aliens
CELEBRITIES_OPT_a646_000A,CELEBRITIES_4196_0002,"Charlie and the Chocolate Factory"
CELEBRITIES_OPT_2499_000B,CELEBRITIES_4196_0002,"Ed Wood"
CELEBRITIES_OPT_5449_000C,CELEBRITIES_4196_0002,"Sleepy Hollow"
CELEBRITIES_OPT_61b7_000D,CELEBRITIES_4196_0002,"Edward Scissorhands"
CELEBRITIES_OPT_c99a_000A,CELEBRITIES_edd7_0003,"John Dunne"
CELEBRITIES_OPT_1c32_000B,CELEBRITIES_edd7_0003,"George Eliot"
CELEBRITIES_OPT_b1a2_000C,CELEBRITIES_edd7_0003,"Joseph Grimm"
CELEBRITIES_OPT_c9ca_000D,CELEBRITIES_edd7_0003,"James Barrie"
CELEBRITIES_OPT_a616_000A,CELEBRITIES_8c6c_0004,True
CELEBRITIES_OPT_525b_000B,CELEBRITIES_8c6c_0004,False
CELEBRITIES_OPT_4bd3_000A,CELEBRITIES_bd75_0005,Tom
CELEBRITIES_OPT_2536_000B,CELEBRITIES_bd75_0005,Alan
CELEBRITIES_OPT_0e24_000C,CELEBRITIES_bd75_0005,Lou
CELEBRITIES_OPT_0090_000D,CELEBRITIES_bd75_0005,Mort
CELEBRITIES_OPT_c2a0_000A,CELEBRITIES_0d81_0006,"From Hell"
CELEBRITIES_OPT_0ad0_000B,CELEBRITIES_0d81_0006,"Nick of Time"
CELEBRITIES_OPT_8681_000C,CELEBRITIES_0d81_0006,Chocolat
CELEBRITIES_OPT_ce3c_000D,CELEBRITIES_0d81_0006,"The Astronauts Wife"
CELEBRITIES_OPT_eef9_000A,CELEBRITIES_23d5_0007,"Jim Morrison"
CELEBRITIES_OPT_ca08_000B,CELEBRITIES_23d5_0007,"Ozzy Osbourne"
CELEBRITIES_OPT_e0e6_000C,CELEBRITIES_23d5_0007,"Mick Jagger"
CELEBRITIES_OPT_3f87_000D,CELEBRITIES_23d5_0007,"Keith Richards"
CELEBRITIES_OPT_cfdf_000A,CELEBRITIES_65ab_0008,False
CELEBRITIES_OPT_6135_000B,CELEBRITIES_65ab_0008,True
CELEBRITIES_OPT_2f22_000A,CELEBRITIES_8f7e_0009,"January 8, 1935"
CELEBRITIES_OPT_9fbb_000B,CELEBRITIES_8f7e_0009,"January 8, 1977"
CELEBRITIES_OPT_f487_000C,CELEBRITIES_8f7e_0009,"August 16, 1935"
CELEBRITIES_OPT_2fc9_000D,CELEBRITIES_8f7e_0009,"August 8, 1977"
CELEBRITIES_OPT_44c1_000A,CELEBRITIES_8b4b_0010,"Billy and Joseph"
CELEBRITIES_OPT_18e1_000B,CELEBRITIES_8b4b_0010,"Gladys and Vernon"
CELEBRITIES_OPT_1b10_000C,CELEBRITIES_8b4b_0010,"Lisa Marie and Vernon"
CELEBRITIES_OPT_1443_000D,CELEBRITIES_8b4b_0010,"Priscilla and Dee"
CELEBRITIES_OPT_5afa_000A,CELEBRITIES_734c_0011,Neverland
CELEBRITIES_OPT_a03a_000B,CELEBRITIES_734c_0011,Swampland
CELEBRITIES_OPT_df4f_000C,CELEBRITIES_734c_0011,Kingstown
CELEBRITIES_OPT_8665_000D,CELEBRITIES_734c_0011,Graceland
CELEBRITIES_OPT_2239_000A,CELEBRITIES_9075_0012,Branson
CELEBRITIES_OPT_e93b_000B,CELEBRITIES_9075_0012,Memphis
CELEBRITIES_OPT_8656_000C,CELEBRITIES_9075_0012,Tupelo
CELEBRITIES_OPT_3cbe_000D,CELEBRITIES_9075_0012,Nashville
CELEBRITIES_OPT_26ad_000A,CELEBRITIES_6150_0013,"Adam Rich"
CELEBRITIES_OPT_b53e_000B,CELEBRITIES_6150_0013,"Jason Bateman"
CELEBRITIES_OPT_e2d5_000C,CELEBRITIES_6150_0013,"Meeno Peluce"
CELEBRITIES_OPT_b1a8_000D,CELEBRITIES_6150_0013,"Danny Pintauro"
CELEBRITIES_OPT_0a6f_000A,CELEBRITIES_12a5_0014,"Brandy Norwood"
CELEBRITIES_OPT_37dd_000B,CELEBRITIES_12a5_0014,"Nia Long"
CELEBRITIES_OPT_c3d2_000C,CELEBRITIES_12a5_0014,"Jada Pinkett"
CELEBRITIES_OPT_8c54_000D,CELEBRITIES_12a5_0014,"Shia LeBeouf"
CELEBRITIES_OPT_9661_000A,CELEBRITIES_5045_0015,"John McEnroe"
CELEBRITIES_OPT_93ae_000B,CELEBRITIES_5045_0015,"Boris Becker"
CELEBRITIES_OPT_159a_000C,CELEBRITIES_5045_0015,"Andre Agassi"
CELEBRITIES_OPT_e84a_000D,CELEBRITIES_5045_0015,"Jimmy Connors"
CELEBRITIES_OPT_6b3c_000A,CELEBRITIES_4245_0016,"Kristen Davis"
CELEBRITIES_OPT_becd_000B,CELEBRITIES_4245_0016,"Sarah Jessica Parker"
CELEBRITIES_OPT_b618_000C,CELEBRITIES_4245_0016,"Cynthia Nixon"
CELEBRITIES_OPT_c89f_000D,CELEBRITIES_4245_0016,"Kim Catrall"
CELEBRITIES_OPT_fb98_000A,CELEBRITIES_bffd_0017,"Kirk Douglas"
CELEBRITIES_OPT_7330_000B,CELEBRITIES_bffd_0017,"Michael Douglas"
CELEBRITIES_OPT_054b_000C,CELEBRITIES_bffd_0017,"Jeff Bridges"
CELEBRITIES_OPT_cc73_000D,CELEBRITIES_bffd_0017,"Lloyd Bridges"
CELEBRITIES_OPT_1d1f_000A,CELEBRITIES_4fbb_0018,"Aretha Franklin"
CELEBRITIES_OPT_47d4_000B,CELEBRITIES_4fbb_0018,"Barbra Streisand"
CELEBRITIES_OPT_0843_000C,CELEBRITIES_4fbb_0018,"Bette Midler"
CELEBRITIES_OPT_70c4_000D,CELEBRITIES_4fbb_0018,"Maria Muldaur"
CELEBRITIES_OPT_f5fa_000A,CELEBRITIES_54fa_0019,"Dave Grohl"
CELEBRITIES_OPT_dd21_000B,CELEBRITIES_54fa_0019,"Enrique Iglesias"
CELEBRITIES_OPT_42a1_000C,CELEBRITIES_54fa_0019,"Gavin Rossdale"
CELEBRITIES_OPT_8021_000D,CELEBRITIES_54fa_0019,"Mark Anthony"
CELEBRITIES_OPT_cae8_000A,CELEBRITIES_deb2_0020,"Pam Anderson"
CELEBRITIES_OPT_d641_000B,CELEBRITIES_deb2_0020,"Nikki Taylor"
CELEBRITIES_OPT_a471_000C,CELEBRITIES_deb2_0020,"Christine Taylor"
CELEBRITIES_OPT_fdf3_000D,CELEBRITIES_deb2_0020,"Heather Graham"
CELEBRITIES_OPT_08a1_000A,CELEBRITIES_e2e0_0021,"Ross Gavindale"
CELEBRITIES_OPT_c4d8_000B,CELEBRITIES_e2e0_0021,"Nigel Pulsford"
CELEBRITIES_OPT_392c_000C,CELEBRITIES_e2e0_0021,"Gavin Rossdale"
CELEBRITIES_OPT_f51d_000D,CELEBRITIES_e2e0_0021,"Chris Traynor"
CELEBRITIES_OPT_bf56_000A,CELEBRITIES_04b9_0022,"Ashton Kutcher"
CELEBRITIES_OPT_ea8a_000B,CELEBRITIES_04b9_0022,"Bruce Willis"
CELEBRITIES_OPT_93be_000C,CELEBRITIES_04b9_0022,"Brendan Fraser"
CELEBRITIES_OPT_7ff3_000D,CELEBRITIES_04b9_0022,"Patrick Dempsey"
CELEBRITIES_OPT_95e3_000A,CELEBRITIES_2d4f_0023,"Matt Houston"
CELEBRITIES_OPT_eaec_000B,CELEBRITIES_2d4f_0023,"Matt Damon"
CELEBRITIES_OPT_de12_000C,CELEBRITIES_2d4f_0023,"Ben Affleck"
CELEBRITIES_OPT_a4c7_000D,CELEBRITIES_2d4f_0023,"John Stamos"
CELEBRITIES_OPT_ffc1_000A,CELEBRITIES_59f4_0024,"Dean Cain"
CELEBRITIES_OPT_ecef_000B,CELEBRITIES_59f4_0024,"Jim Carrey"
CELEBRITIES_OPT_774f_000C,CELEBRITIES_59f4_0024,"Matt Dillon"
CELEBRITIES_OPT_391e_000D,CELEBRITIES_59f4_0024,"Alan Cumming"
CELEBRITIES_OPT_c594_000A,CELEBRITIES_8195_0025,"Yaphet Kotto"
CELEBRITIES_OPT_116e_000B,CELEBRITIES_8195_0025,"Nicholas Downs"
CELEBRITIES_OPT_55ad_000C,CELEBRITIES_8195_0025,"Dana Carvey"
CELEBRITIES_OPT_cc3d_000D,CELEBRITIES_8195_0025,"George Chakiris"
CELEBRITIES_OPT_f751_000A,CELEBRITIES_d313_0026,"Yaphet Kotto"
CELEBRITIES_OPT_b575_000B,CELEBRITIES_d313_0026,"Sean Astin"
CELEBRITIES_OPT_d792_000C,CELEBRITIES_d313_0026,"Samuel Sarpong"
CELEBRITIES_OPT_22d1_000D,CELEBRITIES_d313_0026,"Oliver Phelps"
CELEBRITIES_OPT_7d2f_000A,CELEBRITIES_fc6d_0027,"Orlando Bloom"
CELEBRITIES_OPT_3a8f_000B,CELEBRITIES_fc6d_0027,"Garrett Hedlund"
CELEBRITIES_OPT_510b_000C,CELEBRITIES_fc6d_0027,"Sean Astin"
CELEBRITIES_OPT_f11f_000D,CELEBRITIES_fc6d_0027,"Norman Reedus"
CELEBRITIES_OPT_c62c_000A,CELEBRITIES_5bc9_0028,"Steve Buscemi"
CELEBRITIES_OPT_86ea_000B,CELEBRITIES_5bc9_0028,"Nicholas Cage"
CELEBRITIES_OPT_5b84_000C,CELEBRITIES_5bc9_0028,"Macaulay Culkin"
CELEBRITIES_OPT_5930_000D,CELEBRITIES_5bc9_0028,"Danny Glover"
CELEBRITIES_OPT_6502_000A,CELEBRITIES_0a1e_0029,"Ian McKellen"
CELEBRITIES_OPT_5966_000B,CELEBRITIES_0a1e_0029,"Ryan Reynolds"
CELEBRITIES_OPT_329a_000C,CELEBRITIES_0a1e_0029,"Norman Wisdom"
CELEBRITIES_OPT_4b2f_000D,CELEBRITIES_0a1e_0029,"Ewan McGregor"
CELEBRITIES_OPT_f9fc_000A,CELEBRITIES_dd48_0030,"Stephen Dorff"
CELEBRITIES_OPT_17a7_000B,CELEBRITIES_dd48_0030,"Matthew Broderick"
