question,QID,answer,answer_OID
"LFD2 was banned in Australia.",WORLD_f4d2_0001,True,WORLD_OPT_110a_000B
"One of the remnants of this states former status as a possession of France is the fact that it was named after a French king.",WORLD_2315_0002,Louisiana,WORLD_OPT_baa3_000C
"No state has as many different species of mammals as this one. The average square mile of land contains 1.4 elk, 1.4 pronghorn antelope, and 3.3 deer.",WORLD_ce64_0003,Montana,WORLD_OPT_ec50_000D
"Arizona became the 48th state on February 14, 1912.",WORLD_d858_0004,True,WORLD_OPT_dc37_000B
"The largest lake in this state is Lake Okeechobee. The state is also home to one of the two naturally round lakes in the world.",WORLD_b4ee_0005,Florida,WORLD_OPT_430e_000C
"One of the following pairs (state - its capital) is wrong.",WORLD_58a0_0006,"North Dakota - Fargo",WORLD_OPT_7e58_000D
"The 3rd Monday in April is Patriots Day - a legal holiday in this state.",WORLD_7130_0007,Massachusetts,WORLD_OPT_e8a2_000D
"Francis Drake was 66 years old at his inauguration and the oldest governor of this state.",WORLD_b1ff_0008,Iowa,WORLD_OPT_e4f8_000D
"What is the state capital of Washington?",WORLD_11d7_0009,Olympia,WORLD_OPT_c067_000A
"What is the state capital of Oregon?",WORLD_07f3_0010,Salem,WORLD_OPT_59ed_000D
"What is the state capital of California?",WORLD_4ee3_0011,Sacramento,WORLD_OPT_fc00_000A
"What is the state capital of Idaho?",WORLD_d59a_0012,Boise,WORLD_OPT_4d0a_000A
"What is the state capital of Nevada?",WORLD_b14a_0013,"Carson City",WORLD_OPT_16de_000C
"What is the state capital of Utah?",WORLD_6c69_0014,"Salt Lake city",WORLD_OPT_9432_000D
"What is the state capital of Arizona?",WORLD_003e_0015,Phoenix,WORLD_OPT_7c7d_000A
"What is the state capital of Alaska?",WORLD_e9fd_0016,Juneau,WORLD_OPT_5fbe_000B
"During World War II, this country was able to successfully defend its freedom and resist invasions by the Soviet Union - despite some loss of territory. It joined the European Union in 1995.",WORLD_8178_0017,Finland,WORLD_OPT_6eb6_000C
"This country shares common boundaries with every South American country except Chile and Ecuador.",WORLD_9cb9_0018,Brazil,WORLD_OPT_1cf1_000D
"After gaining its independence in 1991, it has retained closer political and economic ties to Russia than any of the other former Soviet republics.",WORLD_4a82_0019,Belarus,WORLD_OPT_07cc_000D
"It was once the center of power for an empire.  Occupied by the allies in 1945, a state treaty ended its occupation in 1955 and recognized its independence.",WORLD_6c3d_0020,Austria,WORLD_OPT_2e34_000C
"This country is home to the northernmost capital in mainland Europe?",WORLD_f7c7_0021,Finland,WORLD_OPT_f175_000C
"It is the sixth largest country and home of The Doctor breeze.",WORLD_8e8b_0022,Australia,WORLD_OPT_93e7_000C
"Its three-year-old Socialist government was overthrown in 1973 by a dictatorial military regime led by Augusto Pinochet.",WORLD_2d47_0023,Chile,WORLD_OPT_4b58_000C
"This country dominates the Aegian Sea and possesses an archipelago of about 2,000 islands.",WORLD_07e6_0024,Greece,WORLD_OPT_2ee3_000C
