OID,QID,text
ANIMAL_OPT_6c95_000A,ANIMAL_b639_0001,Mouse
ANIMAL_OPT_5c5f_000B,ANIMAL_ccfd_0001,Sloth
ANIMAL_OPT_4472_000C,ANIMAL_6989_0001,Frog
ANIMAL_OPT_5466_000D,ANIMAL_3a54_0001,Snake
ANIMAL_OPT_b383_000A,ANIMAL_05c6_0002,Fox
ANIMAL_OPT_260e_000B,ANIMAL_b7b4_0002,Mouse
ANIMAL_OPT_b65d_000C,ANIMAL_f4ce_0002,Opossum
ANIMAL_OPT_bafd_000D,ANIMAL_36be_0002,Snail
ANIMAL_OPT_bc12_000A,ANIMAL_2766_0003,"Melursus ursinus"
ANIMAL_OPT_dfd0_000B,ANIMAL_a4fb_0003,"Helarctos malayanus"
ANIMAL_OPT_659f_000C,ANIMAL_4155_0003,"Ursus minimus"
ANIMAL_OPT_a0ff_000D,ANIMAL_ab68_0003,"Felis silvestris catus"
ANIMAL_OPT_2980_000A,ANIMAL_1f2e_0004,Platypus
ANIMAL_OPT_ea23_000B,ANIMAL_04cb_0004,Dingo
ANIMAL_OPT_8442_000C,ANIMAL_78e0_0004,Echidna
ANIMAL_OPT_abe7_000D,ANIMAL_d45e_0004,Sloth
ANIMAL_OPT_3d3f_000A,ANIMAL_2394_0005,Lizards
ANIMAL_OPT_53ab_000B,ANIMAL_adef_0005,Scorpions
ANIMAL_OPT_4600_000C,ANIMAL_7171_0005,Frogs
ANIMAL_OPT_2a9e_000D,ANIMAL_3e7d_0005,Mosquitos
ANIMAL_OPT_b12e_000A,ANIMAL_c05a_0006,Penguins
ANIMAL_OPT_a982_000B,ANIMAL_53c9_0006,Snakes
ANIMAL_OPT_64f2_000C,ANIMAL_7d57_0006,Insects
ANIMAL_OPT_3c89_000D,ANIMAL_896f_0006,Crustaceans
ANIMAL_OPT_4b20_000A,ANIMAL_c3f3_0007,True
ANIMAL_OPT_f304_000B,ANIMAL_6408_0007,False
ANIMAL_OPT_74a3_000A,ANIMAL_4acf_0008,"Polar bears"
ANIMAL_OPT_83ba_000B,ANIMAL_4a2c_0008,Foxes
ANIMAL_OPT_5aed_000C,ANIMAL_0fd7_0008,Bats
ANIMAL_OPT_b2ad_000D,ANIMAL_35b0_0008,Elephants
ANIMAL_OPT_8098_000A,ANIMAL_e20c_0009,10%
ANIMAL_OPT_ce17_000B,ANIMAL_1a29_0009,20%
ANIMAL_OPT_4162_000C,ANIMAL_f922_0009,15%
ANIMAL_OPT_fb59_000D,ANIMAL_e104_0009,25%
ANIMAL_OPT_660f_000A,ANIMAL_b740_0010,Herbivorous
ANIMAL_OPT_a2a7_000B,ANIMAL_9768_0010,Omnivorous
ANIMAL_OPT_2e9d_000C,ANIMAL_3eb4_0010,Carnivorous
ANIMAL_OPT_41a4_000D,ANIMAL_d89f_0010,Vegetarian
ANIMAL_OPT_aa90_000A,ANIMAL_bd3c_0011,Breathing
ANIMAL_OPT_94d6_000B,ANIMAL_d5c5_0011,Absorption
ANIMAL_OPT_801b_000C,ANIMAL_3dc8_0011,Swallowing
ANIMAL_OPT_857c_000D,ANIMAL_6680_0011,Chewing
ANIMAL_OPT_8eff_000A,ANIMAL_85b6_0012,True
ANIMAL_OPT_b4c9_000B,ANIMAL_72e3_0012,False
ANIMAL_OPT_e2c7_000A,ANIMAL_fc0f_0013,True
ANIMAL_OPT_755e_000B,ANIMAL_ff5e_0013,False
ANIMAL_OPT_8a5f_000A,ANIMAL_1612_0014,True
ANIMAL_OPT_755e_000B,ANIMAL_1e0e_0014,False
ANIMAL_OPT_0d68_000A,ANIMAL_0870_0015,Invertebrates
ANIMAL_OPT_29f7_000B,ANIMAL_156a_0015,Lizards
ANIMAL_OPT_6559_000C,ANIMAL_11a9_0015,Reptiles
ANIMAL_OPT_fca6_000D,ANIMAL_f3cc_0015,Mammals
ANIMAL_OPT_9fce_000A,ANIMAL_77f2_0016,Pisciculturist
ANIMAL_OPT_a453_000B,ANIMAL_2208_0016,Ornithologist
ANIMAL_OPT_a03e_000C,ANIMAL_48ec_0016,Ophiologist
ANIMAL_OPT_1246_000D,ANIMAL_231a_0016,Herpetologist
ANIMAL_OPT_0895_000A,ANIMAL_5ca9_0017,"Horned adder"
ANIMAL_OPT_e630_000B,ANIMAL_aa5a_0017,"Grass snake"
ANIMAL_OPT_d24b_000C,ANIMAL_62ac_0017,Viper
ANIMAL_OPT_3608_000D,ANIMAL_1552_0017,Asp
ANIMAL_OPT_8016_000A,ANIMAL_c404_0018,True
ANIMAL_OPT_954b_000B,ANIMAL_d32c_0018,False
ANIMAL_OPT_8977_000A,ANIMAL_0b0e_0019,"South America and Asia"
ANIMAL_OPT_c8a1_000B,ANIMAL_f319_0019,"Asia and Africa"
ANIMAL_OPT_00a7_000C,ANIMAL_3e27_0019,"Asia and Australia"
ANIMAL_OPT_9343_000D,ANIMAL_64ab_0019,"South America and Australia"
ANIMAL_OPT_849e_000A,ANIMAL_754f_0020,"Balance control"
ANIMAL_OPT_9ade_000B,ANIMAL_37ce_0020,"Heat collection from sun rays"
ANIMAL_OPT_ea23_000C,ANIMAL_f2e6_0020,Camouflage
