question,QID,answer,answer_OID
"This drink contains caffeine.",GENERAL_e740_0001,Coffee,GENERAL_OPT_6b20_000C
"Finish the proverb: Poets are born, ________.",GENERAL_c6d6_0002,"...not made.",GENERAL_OPT_beee_000A
"If a TV program is rated G then this is true.",GENERAL_ede4_0003,"It is suitable for all audiences.",GENERAL_OPT_b242_000C
"The theory of relativity was introduced in physics by this man.",GENERAL_8d0d_0004,"Albert Einstein",GENERAL_OPT_201e_000B
"The symbol for the chemical element iron is this.",GENERAL_6b5c_0005,Fe,GENERAL_OPT_261e_000B
"The author of the novel A Portrait of the Artist as a Young Man is this writer.",GENERAL_f372_0006,"James Joyce",GENERAL_OPT_f3bf_000D
"The capital of Mongolia is this city.",GENERAL_6afd_0007,Ulaanbaatar,GENERAL_OPT_0c74_000D
"Mitochondrias function in cells is to perform this.",GENERAL_3ec6_0008,"To convert organic materials into energy",GENERAL_OPT_449c_000C
"The US bought Alaska in this year.",GENERAL_d2c5_0009,1867,GENERAL_OPT_defe_000D
"The 23rd US President was in office during this period.",GENERAL_fca7_0010,"1889 - 1893",GENERAL_OPT_a75f_000B
"One of these actors did not star in the 1971 movie A Clockwork Orange.",GENERAL_c748_0011,"Warren Brown",GENERAL_OPT_dbc1_000C
"The first Bulgarian state was formed in this year.",GENERAL_d102_0012,"681 AD",GENERAL_OPT_9ca6_000B
"The 1962 Soccer World Cup tournament was held in this country.",GENERAL_6ec5_0013,Chile,GENERAL_OPT_b7ef_000C
"The Meryas were a probably Finno-Ugric tribe who lived in the region of modern Russia. This is the first historian to mention them.",GENERAL_b320_0014,Jordanes,GENERAL_OPT_6dcf_000B
"The word abacus derives from a Hebrew word, meaning this.",GENERAL_9b01_0015,Dust,GENERAL_OPT_324d_000C
"The Chevy Nova sold poorly in Mexico because no va means doesnt go in Spanish.",GENERAL_93d6_0016,False,GENERAL_OPT_a83c_000A
"A car that gets over 200 miles per gallon is reclaimed by the factory, after its owner calls to congratulate the manufacturers about its excellent performance.",GENERAL_2ce9_0017,False,GENERAL_OPT_4c01_000B
"A very complicated Honda Accord commercial required 606 takes and was done without the use of any computer-generated images.",GENERAL_3e26_0018,True,GENERAL_OPT_32a9_000A
"Putting sugar in the gas tank of a carburetor-equipped vehicle will ruin the engine.",GENERAL_f611_0019,False,GENERAL_OPT_73f6_000A
"Man bought an old motorcycle only to discover that it was once owned by Elvis Presley.",GENERAL_7a19_0020,False,GENERAL_OPT_e49c_000A
"Cars were stolen by thieves who wrote down VINs (car serial numbers)  and used them to obtain duplicate keys through auto dealerships.",GENERAL_3b44_0021,True,GENERAL_OPT_37cd_000A
"After an earthquake in  1989, a car thief was found crushed under a collapsed freeway overpass in the vehicle hed stolen.",GENERAL_1bae_0022,False,GENERAL_OPT_647b_000A
"An artist painted a 60 ft. tall image of a naked woman above a tunnel in Malibu Canyon in 1966.",GENERAL_2851_0023,True,GENERAL_OPT_c873_000B
"Police officers who use slimjims to assist locked out motorists have been killed by airbags.",GENERAL_ff1a_0024,False,GENERAL_OPT_f055_000A
"A speeder caught by photo radar, sends the police a photograph of money to pay his fine.",GENERAL_038e_0025,True,GENERAL_OPT_9ad7_000A
"Sean Connery, George Lazenby, Roger Moore, Timothy Dalton and Pierce Brosnan have all played the role of a fictional British spy. Who was that character?",GENERAL_4078_0026,"James Bond",GENERAL_OPT_98c5_000A
"Man On The Moon, Amadeus and One Flew Over the Cuckoos Nest are all movies directed by him.",GENERAL_d3b9_0027,"Miloš Forman",GENERAL_OPT_372a_000B
"Across the Hall, Friends Like Us, Insomnia Caf� and Six of One are all working titles of one of famous US TV-series.  Name the series.",GENERAL_77fb_0028,Friends,GENERAL_OPT_3cce_000A
"The common link between these four movies -Chicken Run, Harry Potter, The Mummy Returns and Cast Away, is that...?",GENERAL_62bb_0029,"They all are produced by one and the same company.",GENERAL_OPT_c340_000B
"Three of the following movies are produced by 20th Century Fox. Which is the odd one?",GENERAL_342d_0030,"House of Wax",GENERAL_OPT_1b04_000D
"David Suchet and Peter Ustinov are two actors who have played the role of the famous detective Sherlock Holmes.",GENERAL_2cb4_0031,False,GENERAL_OPT_ff20_000A
"Tom Cruise had a lead role in all, but one of these movies.  Which one?",GENERAL_9506_0032,"Endless Love",GENERAL_OPT_237b_000D
