OID,QID,text
GENERAL_OPT_da9c_000A,GENERAL_e740_0001,"Mineral water"
GENERAL_OPT_3a92_000B,GENERAL_e740_0001,"Orange juice"
GENERAL_OPT_6b20_000C,GENERAL_e740_0001,Coffee
GENERAL_OPT_fc70_000D,GENERAL_e740_0001,Beer
GENERAL_OPT_beee_000A,GENERAL_c6d6_0002,"...not made."
GENERAL_OPT_35a1_000B,GENERAL_c6d6_0002,"...but can also be made."
GENERAL_OPT_6384_000C,GENERAL_c6d6_0002,"...but thats not for sure."
GENERAL_OPT_75f2_000D,GENERAL_c6d6_0002,"..., long live the poets!"
GENERAL_OPT_8c31_000A,GENERAL_ede4_0003,"It contains moderate violence."
GENERAL_OPT_ca48_000B,GENERAL_ede4_0003,"It contains mild sexual situations."
GENERAL_OPT_b242_000C,GENERAL_ede4_0003,"It is suitable for all audiences."
GENERAL_OPT_80fd_000D,GENERAL_ede4_0003,"It is suitable for young children."
GENERAL_OPT_82c0_000A,GENERAL_8d0d_0004,"Galileo Galilei"
GENERAL_OPT_201e_000B,GENERAL_8d0d_0004,"Albert Einstein"
GENERAL_OPT_d195_000C,GENERAL_8d0d_0004,Archimedes
GENERAL_OPT_a3c5_000D,GENERAL_8d0d_0004,"Isaac Newton"
GENERAL_OPT_961b_000A,GENERAL_6b5c_0005,I
GENERAL_OPT_261e_000B,GENERAL_6b5c_0005,Fe
GENERAL_OPT_5359_000C,GENERAL_6b5c_0005,Zn
GENERAL_OPT_5052_000D,GENERAL_6b5c_0005,Br
GENERAL_OPT_4ffb_000A,GENERAL_f372_0006,"T. S. Eliot"
GENERAL_OPT_b80c_000B,GENERAL_f372_0006,"Samuel Beckett"
GENERAL_OPT_c8d9_000C,GENERAL_f372_0006,"William Faulkner"
GENERAL_OPT_f3bf_000D,GENERAL_f372_0006,"James Joyce"
GENERAL_OPT_81ea_000A,GENERAL_6afd_0007,Davao
GENERAL_OPT_70a9_000B,GENERAL_6afd_0007,Islamabad
GENERAL_OPT_ed27_000C,GENERAL_6afd_0007,Quezon
GENERAL_OPT_0c74_000D,GENERAL_6afd_0007,Ulaanbaatar
GENERAL_OPT_13be_000A,GENERAL_3ec6_0008,"To control chemical reactions within the cytoplasm"
GENERAL_OPT_d87a_000B,GENERAL_3ec6_0008,"To store information needed for cellular division"
GENERAL_OPT_449c_000C,GENERAL_3ec6_0008,"To convert organic materials into energy"
GENERAL_OPT_12bb_000D,GENERAL_3ec6_0008,"To process proteins targeted to the plasma membrane"
GENERAL_OPT_5f14_000A,GENERAL_d2c5_0009,1942
GENERAL_OPT_a197_000B,GENERAL_d2c5_0009,1882
GENERAL_OPT_f7e1_000C,GENERAL_d2c5_0009,1854
GENERAL_OPT_defe_000D,GENERAL_d2c5_0009,1867
GENERAL_OPT_b370_000A,GENERAL_fca7_0010,"1909 - 1913"
GENERAL_OPT_a75f_000B,GENERAL_fca7_0010,"1889 - 1893"
GENERAL_OPT_a51d_000C,GENERAL_fca7_0010,"1837 - 1841"
GENERAL_OPT_9a21_000D,GENERAL_fca7_0010,"1877 - 1881"
GENERAL_OPT_0de8_000A,GENERAL_c748_0011,"Michael Bates"
GENERAL_OPT_82d4_000B,GENERAL_c748_0011,"Patrick Magee"
GENERAL_OPT_dbc1_000C,GENERAL_c748_0011,"Warren Brown"
GENERAL_OPT_1aa6_000D,GENERAL_c748_0011,"Malcolm McDowell"
GENERAL_OPT_5ea2_000A,GENERAL_d102_0012,"429 AD"
GENERAL_OPT_9ca6_000B,GENERAL_d102_0012,"681 AD"
GENERAL_OPT_3d50_000C,GENERAL_d102_0012,"712 AD"
GENERAL_OPT_6383_000D,GENERAL_d102_0012,"651 AD"
GENERAL_OPT_b670_000A,GENERAL_6ec5_0013,Switzerland
GENERAL_OPT_ed4a_000B,GENERAL_6ec5_0013,Mexico
GENERAL_OPT_b7ef_000C,GENERAL_6ec5_0013,Chile
GENERAL_OPT_cad1_000D,GENERAL_6ec5_0013,Italy
GENERAL_OPT_73f4_000A,GENERAL_b320_0014,"Eusebius of Caesarea"
GENERAL_OPT_6dcf_000B,GENERAL_b320_0014,Jordanes
GENERAL_OPT_5fac_000C,GENERAL_b320_0014,Priscus
GENERAL_OPT_6da8_000D,GENERAL_b320_0014,"Sima Guang"
GENERAL_OPT_bf02_000A,GENERAL_9b01_0015,Movement
GENERAL_OPT_fc03_000B,GENERAL_9b01_0015,Sky
GENERAL_OPT_324d_000C,GENERAL_9b01_0015,Dust
GENERAL_OPT_74d7_000D,GENERAL_9b01_0015,Wood
GENERAL_OPT_a83c_000A,GENERAL_93d6_0016,False
GENERAL_OPT_b4ab_000B,GENERAL_93d6_0016,True
GENERAL_OPT_3074_000A,GENERAL_2ce9_0017,True
GENERAL_OPT_4c01_000B,GENERAL_2ce9_0017,False
GENERAL_OPT_32a9_000A,GENERAL_3e26_0018,True
GENERAL_OPT_557b_000B,GENERAL_3e26_0018,False
GENERAL_OPT_73f6_000A,GENERAL_f611_0019,False
GENERAL_OPT_97ca_000B,GENERAL_f611_0019,True
GENERAL_OPT_e49c_000A,GENERAL_7a19_0020,False
GENERAL_OPT_ee29_000B,GENERAL_7a19_0020,True
GENERAL_OPT_37cd_000A,GENERAL_3b44_0021,True
GENERAL_OPT_1b09_000B,GENERAL_3b44_0021,False
GENERAL_OPT_647b_000A,GENERAL_1bae_0022,False
GENERAL_OPT_284d_000B,GENERAL_1bae_0022,True
GENERAL_OPT_0be8_000A,GENERAL_2851_0023,False
GENERAL_OPT_c873_000B,GENERAL_2851_0023,True
GENERAL_OPT_f055_000A,GENERAL_ff1a_0024,False
GENERAL_OPT_69d7_000B,GENERAL_ff1a_0024,True
GENERAL_OPT_9ad7_000A,GENERAL_038e_0025,True
GENERAL_OPT_f5d9_000B,GENERAL_038e_0025,False
GENERAL_OPT_98c5_000A,GENERAL_4078_0026,"James Bond"
GENERAL_OPT_edde_000B,GENERAL_4078_0026,"Johnny English"
GENERAL_OPT_b1e8_000C,GENERAL_4078_0026,"Jim Malone"
GENERAL_OPT_7f6c_000D,GENERAL_4078_0026,"Eliot Ness"
GENERAL_OPT_1ba1_000A,GENERAL_d3b9_0027,"Stanley Kubrick"
GENERAL_OPT_372a_000B,GENERAL_d3b9_0027,"Miloš Forman"
GENERAL_OPT_2c6e_000C,GENERAL_d3b9_0027,"Pedro Almodóvar"
GENERAL_OPT_b184_000D,GENERAL_d3b9_0027,"Martin Scorsese"
GENERAL_OPT_3cce_000A,GENERAL_77fb_0028,Friends
GENERAL_OPT_813e_000B,GENERAL_77fb_0028,"Sex and the City"
GENERAL_OPT_abf8_000C,GENERAL_77fb_0028,ALF
GENERAL_OPT_2f64_000D,GENERAL_77fb_0028,"One Tree Hill"
GENERAL_OPT_cb96_000A,GENERAL_62bb_0029,"They all treat one and the same social problem."
GENERAL_OPT_c340_000B,GENERAL_62bb_0029,"They all are produced by one and the same company."
GENERAL_OPT_5049_000C,GENERAL_62bb_0029,"One and the same actor is starring in all of them."
GENERAL_OPT_9165_000D,GENERAL_62bb_0029,"They all refer to one and the same social class."
GENERAL_OPT_d9d7_000A,GENERAL_342d_0030,"Me, Myself  Irene"
GENERAL_OPT_f264_000B,GENERAL_342d_0030,"Dr. Dolittle 2"
GENERAL_OPT_aa66_000C,GENERAL_342d_0030,"Cast Away"
GENERAL_OPT_1b04_000D,GENERAL_342d_0030,"House of Wax"
GENERAL_OPT_ff20_000A,GENERAL_2cb4_0031,False
GENERAL_OPT_9452_000B,GENERAL_2cb4_0031,True
GENERAL_OPT_36e9_000A,GENERAL_9506_0032,"Rain Man"
GENERAL_OPT_3721_000B,GENERAL_9506_0032,"The Firm"
GENERAL_OPT_a2e4_000C,GENERAL_9506_0032,Magnolia
GENERAL_OPT_237b_000D,GENERAL_9506_0032,"Endless Love"
GENERAL_OPT_c6c6_000A,GENERAL_1118_0033,"They both can be classified as dramas."
GENERAL_OPT_027b_000B,GENERAL_1118_0033,"They both are produced by Spielberg."
GENERAL_OPT_95fa_000C,GENERAL_1118_0033,"Tom Hanks stars in them both."
GENERAL_OPT_a851_000D,GENERAL_1118_0033,"Leonardo DiCaprio stars in them both."
GENERAL_OPT_6c7e_000A,GENERAL_306f_0034,"Meet Joe Black"
GENERAL_OPT_9e1d_000B,GENERAL_306f_0034,"Mr.  Mrs. Smith"
GENERAL_OPT_c61d_000C,GENERAL_306f_0034,"Oceans Eleven"
GENERAL_OPT_f2c2_000D,GENERAL_306f_0034,"The Beach"
GENERAL_OPT_85cf_000A,GENERAL_39d5_0035,Women
GENERAL_OPT_4c53_000B,GENERAL_39d5_0035,Dead
GENERAL_OPT_6749_000C,GENERAL_39d5_0035,Insane
GENERAL_OPT_1b9e_000D,GENERAL_39d5_0035,"Bed-ridden and sick"
GENERAL_OPT_de35_000A,GENERAL_48cd_0036,False
GENERAL_OPT_2c41_000B,GENERAL_48cd_0036,True
GENERAL_OPT_7aac_000A,GENERAL_5367_0037,"She does not have a ghost."
GENERAL_OPT_8e2b_000B,GENERAL_5367_0037,"Her ghost is male."
GENERAL_OPT_9846_000C,GENERAL_5367_0037,"Her ghost is without hands."
GENERAL_OPT_3a9b_000D,GENERAL_5367_0037,"Her ghost is without a head."
GENERAL_OPT_c590_000A,GENERAL_1313_0038,"They are always depicted of a human size and shape."
GENERAL_OPT_89fa_000B,GENERAL_1313_0038,"Ghosts do not have a gross physical body."
GENERAL_OPT_458f_000C,GENERAL_1313_0038,"Sometimes they might manifest their presence by moving other objects or producing noises."
GENERAL_OPT_13c5_000D,GENERAL_1313_0038,"They are usually portrayed as silvery, shadowy and fog-like."
GENERAL_OPT_ad5a_000A,GENERAL_a9aa_0039,"Basilica di San Giovanni in Laterano"
GENERAL_OPT_5f2c_000B,GENERAL_a9aa_0039,"Amphitheatrum Castrense"
GENERAL_OPT_dd3b_000C,GENERAL_a9aa_0039,"The Lamian Gardens of Rome"
GENERAL_OPT_7c59_000D,GENERAL_a9aa_0039,"Great Synagogue of Rome"
GENERAL_OPT_9494_000A,GENERAL_c50b_0040,Renaissance
GENERAL_OPT_27a4_000B,GENERAL_c50b_0040,"Middle Ages"
GENERAL_OPT_5989_000C,GENERAL_c50b_0040,Romanticism
GENERAL_OPT_d9ea_000D,GENERAL_c50b_0040,Baroque
GENERAL_OPT_0baa_000A,GENERAL_f068_0041,"They are three writers that produce modern urban legends."
GENERAL_OPT_a404_000B,GENERAL_f068_0041,"They are three writers that produced the first urban legends."
GENERAL_OPT_a563_000C,GENERAL_f068_0041,"They are three ghost from the modern urban legends."
GENERAL_OPT_308b_000D,GENERAL_f068_0041,"They are three ghosts from the first urban legends."
GENERAL_OPT_94c5_000A,GENERAL_8c3c_0042,Yes
GENERAL_OPT_9ca3_000B,GENERAL_8c3c_0042,No
GENERAL_OPT_6d3a_000A,GENERAL_0624_0043,False
GENERAL_OPT_91c7_000B,GENERAL_0624_0043,True
GENERAL_OPT_f940_000A,GENERAL_c2bd_0044,"The number of vehicular accidents is lower on Friday the 13th"
GENERAL_OPT_f005_000B,GENERAL_c2bd_0044,"The results were inconclusive"
GENERAL_OPT_4e73_000C,GENERAL_c2bd_0044,"Friday the 13th doesnt have any affect on the number of vehicular accidents"
GENERAL_OPT_d3bf_000D,GENERAL_c2bd_0044,"Friday the 13th actually affects the number of vehicular accidents"
GENERAL_OPT_384e_000A,GENERAL_382f_0045,Paraskevidekatriaphobia
GENERAL_OPT_808a_000B,GENERAL_382f_0045,Aphenphosmphobia
GENERAL_OPT_9d63_000C,GENERAL_382f_0045,Chronomentrophobia
GENERAL_OPT_3aa5_000D,GENERAL_382f_0045,Coitophobia
GENERAL_OPT_804b_000A,GENERAL_b4e3_0046,True
GENERAL_OPT_8901_000B,GENERAL_b4e3_0046,False
GENERAL_OPT_896c_000A,GENERAL_eba8_0047,Loki
GENERAL_OPT_9ea0_000B,GENERAL_eba8_0047,Tor
GENERAL_OPT_086f_000C,GENERAL_eba8_0047,Odin
GENERAL_OPT_ab62_000D,GENERAL_eba8_0047,Hod
GENERAL_OPT_6a6d_000A,GENERAL_a36b_0048,"Parade day"
GENERAL_OPT_2d51_000B,GENERAL_a36b_0048,"Tax day"
GENERAL_OPT_f127_000C,GENERAL_a36b_0048,"Execution day"
GENERAL_OPT_fc49_000D,GENERAL_a36b_0048,"Day for prayers"
GENERAL_OPT_3599_000A,GENERAL_34f3_0049,False
GENERAL_OPT_4727_000B,GENERAL_34f3_0049,True
GENERAL_OPT_9ff4_000A,GENERAL_7e46_0050,"The Ancient and Illustrious Order Knights of Malta"
GENERAL_OPT_5c4c_000B,GENERAL_7e46_0050,"Ancient Order Knights of the Mystic Chain"
GENERAL_OPT_0e8d_000C,GENERAL_7e46_0050,"The Knights Templar"
GENERAL_OPT_8bcf_000D,GENERAL_7e46_0050,"Teutonic Order"
GENERAL_OPT_e950_000A,GENERAL_d124_0051,True
GENERAL_OPT_374d_000B,GENERAL_d124_0051,False
GENERAL_OPT_c00c_000A,GENERAL_4d67_0052,Hardy
GENERAL_OPT_d0c6_000B,GENERAL_4d67_0052,Vorhees
GENERAL_OPT_c8bb_000C,GENERAL_4d67_0052,Christy
GENERAL_OPT_ac4b_000D,GENERAL_4d67_0052,Burrell
GENERAL_OPT_e117_000A,GENERAL_3447_0053,Sunday
GENERAL_OPT_cccc_000B,GENERAL_3447_0053,Monday
GENERAL_OPT_a983_000C,GENERAL_3447_0053,Wednesday
GENERAL_OPT_4242_000D,GENERAL_3447_0053,Friday
GENERAL_OPT_c918_000A,GENERAL_68f2_0054,"The Blue Max"
GENERAL_OPT_bb2f_000B,GENERAL_68f2_0054,"The Blue Baron"
GENERAL_OPT_2d7a_000C,GENERAL_68f2_0054,"The Red Baron"
GENERAL_OPT_d1b4_000D,GENERAL_68f2_0054,"The Black Knight"
GENERAL_OPT_d2a0_000A,GENERAL_5a78_0055,"A Backward Peach"
GENERAL_OPT_6945_000B,GENERAL_5a78_0055,"A Future of  Red"
GENERAL_OPT_bea5_000C,GENERAL_5a78_0055,"A Clockwork Orange"
GENERAL_OPT_d622_000D,GENERAL_5a78_0055,"Soylent Green"
GENERAL_OPT_5612_000A,GENERAL_6527_0056,False
GENERAL_OPT_5df3_000B,GENERAL_6527_0056,True
GENERAL_OPT_6d0f_000A,GENERAL_8a93_0057,"by detonating a nuclear device inside the Pentagon"
GENERAL_OPT_2272_000B,GENERAL_8a93_0057,"by detonating a bomb, housed in the undercarriage of a blimp, over a football stadium during the Super Bowl"
GENERAL_OPT_761e_000C,GENERAL_8a93_0057,"by hijacking a 747 and taking it to Syria"
GENERAL_OPT_e16c_000D,GENERAL_8a93_0057,"by infecting a water supply with the black plague"
GENERAL_OPT_641c_000A,GENERAL_055c_0058,False
GENERAL_OPT_0b4b_000B,GENERAL_055c_0058,True
GENERAL_OPT_699a_000A,GENERAL_b250_0059,"It was a laser guided sub that tracks 24 targets at the same time."
GENERAL_OPT_3095_000B,GENERAL_b250_0059,"It was built with a revolutionary stealth propulsion system called the caterpillar drive,"
GENERAL_OPT_32ff_000C,GENERAL_b250_0059,"Its stealth armor confuses the enemy sonar"
GENERAL_OPT_01a2_000D,GENERAL_b250_0059,"None of these"
GENERAL_OPT_23a2_000A,GENERAL_e00b_0060,"The Man With One Red Shoe"
GENERAL_OPT_1d5e_000B,GENERAL_e00b_0060,"The Woman In Red"
GENERAL_OPT_d4be_000C,GENERAL_e00b_0060,"The Masque of the Red Death"
GENERAL_OPT_f5cd_000D,GENERAL_e00b_0060,Reds
