question,QID,answer,answer_OID
"What Hollywood actor portrayed Casanova in the 2005 movie entitled Casanova, based on the life of the popular adventurer?",RELIGION_700b_0001,"Heath Ledger",RELIGION_OPT_efac_000C
"Which of these is NOT a son of Adam and Eve?",RELIGION_4546_0002,Enoch,RELIGION_OPT_95a5_000A
"Noah sent these two birds out of the ark to search for land:",RELIGION_0cd8_0003,"raven and dove",RELIGION_OPT_5f7a_000C
"Jacob had 12 sons.  Which of his wives/maids bore the most babies?",RELIGION_9f9d_0004,Leah,RELIGION_OPT_3771_000B
"Which of these animals did the Israelites worship while Moses was on the mountain?",RELIGION_1b46_0005,calf,RELIGION_OPT_6bc6_000B
"Many of King Solomons wise sayings are recorded in Book 10 of Proverbs.  Which of these is NOT found there?",RELIGION_8a62_0006,"When you see trouble coming, dont be stupid and walk right into it--be smart and hide.",RELIGION_OPT_e9d7_000A
"Mary was visited by this angel.",RELIGION_483a_0007,Gabriel,RELIGION_OPT_923f_000C
"Jesus was fond of using parables to give his messages.  Which of these was NOT one he used?",RELIGION_38e7_0008,"The Parable of the Old Men and the Young",RELIGION_OPT_7cf9_000B
"Which of the Horsemen of the Apocalypse is the first to be called out?",RELIGION_aa95_0009,"White Horse (Conquest )",RELIGION_OPT_9973_000C
"Complete the following quote from Matthew 5:3: Blessed are the poor in spirit, for ________",RELIGION_e75a_0010,"theirs is the Kindgom of Heaven.",RELIGION_OPT_9cd9_000D
"Who wrote the first five books of the Bible?",RELIGION_7031_0011,Moses,RELIGION_OPT_c938_000C
"In the Bible, how many wives and concubines did Solomon have?",RELIGION_54c8_0012,1000,RELIGION_OPT_d080_000C
"Who wrote most of the books in the New Testament?",RELIGION_ea32_0013,Paul,RELIGION_OPT_2369_000D
"Who wrote the Book of Revelation while in exile?",RELIGION_a6d2_0014,John,RELIGION_OPT_a763_000D
"According to the accepted theory, how old was Jesus when He was crucified?",RELIGION_efc3_0015,33,RELIGION_OPT_08e5_000A
"How old was Jesus when He performed His first miracle (Biblical, not Apocriphal)?",RELIGION_a83e_0016,30,RELIGION_OPT_97b0_000D
"David, the famous ancient King of Israel, was the oldest child in the family.",RELIGION_04ed_0017,False,RELIGION_OPT_c2a3_000B
"It is stated in the Bible that God told Moses to build the Temple in Jerusalem.",RELIGION_f6ce_0018,False,RELIGION_OPT_2456_000B
"According to the New Testament, who obtained permission to take Jesus Christs body down from the cross and place it in the tomb?",RELIGION_3420_0019,"Joseph of Arimathea",RELIGION_OPT_d1e4_000A
"Apostle Paul was a kind, friendly and peace-loving man who always helped Christians even before his conversion to Christianity.",RELIGION_e6c7_0020,False,RELIGION_OPT_514b_000A
"Seven people went on the ark with Noah according to the Bible, Genesis, chapters 6 to 9.",RELIGION_e1aa_0021,True,RELIGION_OPT_40bc_000A
